Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Usaha,Beban Penyusutan,Beban Karyawan,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi Dan Pengendalian Bersama Entitas,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Keuntungan (Rugi) Atas Transaksi Derivatif,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,18689133000000.000000,18689133000000.000000,18689133000000.000000,-13925854000000.000000,-4555891000000.000000,-1638993000000.000000,-918124000000.000000,-737432000000.000000,,,,-6075414000000.000000,-13925854000000.000000,4763279000000.000000,-2408164000000.000000,460089000000.000000,-1858294000000.000000,-885729000000.000000,136603000000.000000,,-260833000000.000000,-2408164000000.000000,2355115000000.000000,-419830000000.000000,1935285000000.000000,-26763000000.000000,1908522000000.000000,,,1473115000000.000000,1495302000000.000000,-22187000000.000000,1473115000000.000000,,,,
12M 2009,18393016000000.000000,18393016000000.000000,18393016000000.000000,-15180001000000.000000,-5561390000000.000000,-1451560000000.000000,-816934000000.000000,-693437000000.000000,,,,-6656680000000.000000,-15180001000000.000000,3213015000000.000000,-981022000000.000000,138951000000.000000,-1872967000000.000000,1656407000000.000000,-517655000000.000000,,-385758000000.000000,-981022000000.000000,2231993000000.000000,-677265000000.000000,1554728000000.000000,-56483000000.000000,1498245000000.000000,,,1449908000000.000000,1489358000000.000000,-39450000000.000000,1449908000000.000000,,,,
12M 2010,19796515000000.000000,19796515000000.000000,19796515000000.000000,-16322571000000.000000,-6151911000000.000000,-1411244000000.000000,-986019000000.000000,-659987000000.000000,,,,-7113410000000.000000,-16322571000000.000000,3473944000000.000000,-2392127000000.000000,143402000000.000000,-2271628000000.000000,492401000000.000000,-418092000000.000000,,-338210000000.000000,-2392127000000.000000,1081817000000.000000,-357798000000.000000,724019000000.000000,-76845000000.000000,647174000000.000000,,,530914000000.000000,580363000000.000000,-49449000000.000000,530914000000.000000,,,,
12M 2011,20576893000000.000000,20576893000000.000000,20576893000000.000000,-17746794000000.000000,-6580754000000.000000,-1891940000000.000000,-1023698000000.000000,-662694000000.000000,,,,-7587708000000.000000,-17746794000000.000000,2830099000000.000000,-1648199000000.000000,81477000000.000000,-1789687000000.000000,36731000000.000000,57944000000.000000,,-34664000000.000000,-1648199000000.000000,1181900000000.000000,-249397000000.000000,932503000000.000000,,932503000000.000000,401000000.000000,932904000000.000000,1056159000000.000000,992019000000.000000,64140000000.000000,1056159000000.000000,932904000000.000000,835376000000.000000,97528000000.000000,932904000000.000000
12M 2012,22418812000000.000000,22418812000000.000000,22418812000000.000000,-19228789000000.000000,-8272824000000.000000,-1427194000000.000000,-920296000000.000000,-625540000000.000000,44793000000.000000,,,-8027728000000.000000,-19228789000000.000000,3190023000000.000000,-2728405000000.000000,133544000000.000000,-2077350000000.000000,-789438000000.000000,4964000000.000000,-125000000.000000,,-2728405000000.000000,461618000000.000000,25798000000.000000,487416000000.000000,,487416000000.000000,388444000000.000000,875860000000.000000,1701295000000.000000,1628413000000.000000,72882000000.000000,1701295000000.000000,875860000000.000000,763550000000.000000,112310000000.000000,875860000000.000000
12M 2013,23855272000000.000000,23855272000000.000000,23855272000000.000000,-22346056000000.000000,-8958393000000.000000,-1727594000000.000000,-893574000000.000000,-901534000000.000000,224518000000.000000,,,-10089479000000.000000,-22346056000000.000000,1509216000000.000000,-4843053000000.000000,107193000000.000000,-2212095000000.000000,-3011410000000.000000,273259000000.000000,,,-4843053000000.000000,-3333837000000.000000,667378000000.000000,-2666459000000.000000,,-2666459000000.000000,22372000000.000000,-2644087000000.000000,-1675379000000.000000,-1766219000000.000000,90840000000.000000,-1675379000000.000000,-2644087000000.000000,-2759627000000.000000,115540000000.000000,-2644087000000.000000
12M 2014,24085101000000.000000,24085101000000.000000,24085101000000.000000,-23412169000000.000000,-8226063000000.000000,-1712518000000.000000,-1044884000000.000000,-859529000000.000000,-152247000000.000000,,,-11416928000000.000000,-23412169000000.000000,672932000000.000000,-2608833000000.000000,142803000000.000000,-2406536000000.000000,-243173000000.000000,-101927000000.000000,,,-2608833000000.000000,-1935901000000.000000,77879000000.000000,-1858022000000.000000,,-1858022000000.000000,-3871000000.000000,-1861893000000.000000,-1235821000000.000000,-1322998000000.000000,87177000000.000000,-1235821000000.000000,-1861893000000.000000,-1991041000000.000000,129148000000.000000,-1861893000000.000000
12M 2015,26768525000000.000000,26768525000000.000000,26768525000000.000000,-24406415000000.000000,-8769147000000.000000,-1921071000000.000000,-1236679000000.000000,-923567000000.000000,-306648000000.000000,,,-11249303000000.000000,-24406415000000.000000,2362110000000.000000,-4147945000000.000000,218555000000.000000,-2829464000000.000000,-1292516000000.000000,-244520000000.000000,,,-4147945000000.000000,-1785835000000.000000,622357000000.000000,-1163478000000.000000,,-1163478000000.000000,176774000000.000000,-986704000000.000000,-1014103000000.000000,-1122335000000.000000,108232000000.000000,-1014103000000.000000,-986704000000.000000,-1135001000000.000000,148297000000.000000,-986704000000.000000
12M 2016,29184624000000.000000,29184624000000.000000,29184624000000.000000,-25244071000000.000000,-8972570000000.000000,-2114754000000.000000,-1237831000000.000000,-1049399000000.000000,-5842000000.000000,,,-11863675000000.000000,-25244071000000.000000,3940553000000.000000,-2145290000000.000000,111474000000.000000,-2256285000000.000000,273805000000.000000,-274284000000.000000,,,-2145290000000.000000,1795263000000.000000,-519608000000.000000,1275655000000.000000,,1275655000000.000000,-236945000000.000000,1038710000000.000000,1275655000000.000000,1105042000000.000000,170613000000.000000,1275655000000.000000,1038710000000.000000,867368000000.000000,171342000000.000000,1038710000000.000000
12M 2017,29926098000000.000000,29926098000000.000000,29926098000000.000000,-25893599000000.000000,-8852812000000.000000,-2022021000000.000000,-1282788000000.000000,-1213988000000.000000,20410000000.000000,,,-12542400000000.000000,-25893599000000.000000,4032499000000.000000,-2092073000000.000000,64643000000.000000,-2121246000000.000000,3185000000.000000,-38655000000.000000,,,-2092073000000.000000,1940426000000.000000,-638497000000.000000,1301929000000.000000,,1301929000000.000000,-103497000000.000000,1198432000000.000000,1301929000000.000000,1135783000000.000000,166146000000.000000,1301929000000.000000,1198432000000.000000,1033561000000.000000,164871000000.000000,1198432000000.000000
