Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari:,Pelanggan,Penerimaan Dari Proses Likuidasi Entitas Anak,Pengembalian Pajak Penghasilan Badan,Pengembalian Pajak Pertambahan Nilai,Pendapatan Bunga,Penyelesaian Kontrak Forward Valuta Asing,Penyelesaian Kontrak Swap Valuta Asing,Penyelesaian Kontrak Derivatif,Pengembalian Pajak Lain-Lain,Total Penerimaan Kas Dari:,Pengeluaran Kas Kepada/Untuk:,"Pihak Otoritas, Operator Lain, Pemasok Dan Lainnya",Beban Pendanaan,Karyawan,Pajak Penghasilan,Penyelesaian Kontrak Forward Valuta Asing,Kontrak Swap Suku Bunga,Margin Swap Suku Bunga,Beban Swap Dari Kontrak Swap Valuta Asing,Penyelesaian Kontrak Swap Suku Bunga,Total Pengeluaran Kas Kepada/Untuk:,Izin Dibayar Di Muka Jangka Panjang,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Aset Tetap,Penerimaan Dari Penjualan Aset Tetap Yang Diklasifikasikan Sebagai Dimiliki Untuk Dijual,Perolehan Aset Tetap,Kenaikan Uang Muka Jangka Panjang Untuk Pembelian Aset Tetap,Penambahan Aset Tidak Berwujud,Penerimaan Kas Dari Penggabungan Usaha,Penerimaan Yang Dapat Diatribusikan Dari Proporsi Hak Yang Dialihkan Ke Pembeli-Pesewa,Penerimaan Dari Penjualan Entitas Asosiasi,Pembelian Investasi Pada Perusahaan Asosiasi,Penerimaan Kas Dari Perolehan Entitas Anak,Penerimaan Dari Penjualan Kepemilikan Di Entitas Anak,Penerimaan Kas Dari Transaksi Dengan Pihak Non-Pengendali,Perolehan Kepemilikan Kepentingan Non-Pengendali Di Entitas Anak,Penerimaan Dari Penjualan Aset Keuangan,Penerimaan Kas Dari Penjualan Instrumen Utang,Penambahan Investasi Pada Instrumen Utang,Penerimaan Dari Penjualan Investasi Jangka Pendek,Penerimaan Investasi Jangka Panjang Lainnya,Penerimaan Bersih Dari Penjualan Investasi Jangka Panjang,Penerimaan Dividen Kas Dari Investasi Jangka Panjang Lainnya,Penerimaan Dividen Kas Dari Entitas Asosiasi Dan Ventura Bersama,Penerimaan Klaim Asuransi Satelit Palapa-D,Pembayaran Upfront Fee Atas Izin Frekuensi,Saldo Akhir Kas Dan Setara Kas Entitas Anak Yang Tidak Dikonsolidasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Hutang Jangka Panjang,Pembayaran Hutang Jangka Panjang,Penerimaan Dari Hutang Bank Jangka Pendek,Pembayaran Hutang Bank Jangka Pendek,Penerimaan Dari Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek,Penerimaan Dari Hutang Obligasi,Pembayaran Hutang Obligasi,Penerimaan Yang Dapat Diatribusikan Dari Proporsi Aset Hak-Guna Atas Aset Pendasar Yang Dipertahankan,Penerimaan Tambahan Dari Take Or Pay (Topa),Pembayaran Dividen Kas Oleh Perusahaan,Pembayaran Dividen Kas Oleh Entitas Anak Ke Kepentingan Nonpengendali,Kenaikan Pada Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penurunan Pada Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penyelesaian Kontrak Derivatif,Beban Swap Dari Kontrak Swap Valuta Asing,Penerimaan Dari Kontrak Swap Valuta Asing,Kontribusi Dari Kepentingan Non Pengendali,Akuisisi Dari Kepentingan Non Pengendali,Penerimaan Dari Insentif Sewa,Pengembalian Insentif Sewa,Pembayaran Kewajiban Sewa Pembiayaan,Penerimaan Dari Penjualan Saham Treasuri,Pembelian Saham Treasuri,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Dari Perolehan Perusahaan,Kas Dan Setara Kas Dari Anak Perusahaan Yang Dilikuidasi,Kas Dan Setara Kas Dari Anak Perusahaan Yang Diakuisisi,Kas Dan Setara Kas Akhir Periode
12M 2008,6513265000000.000000,,18336914000000.000000,,,271321000000.000000,460020000000.000000,,,58375000000.000000,,19126630000000.000000,,-7992693000000.000000,-1776934000000.000000,-1708174000000.000000,-897161000000.000000,,-2432000000.000000,,-235971000000.000000,,-12613365000000.000000,,6513265000000.000000,-10286855000000.000000,1131000000.000000,,-10307932000000.000000,,-6952000000.000000,,,,-700000000.000000,,,,,,,,1250000000.000000,,,26348000000.000000,,,,,-10286855000000.000000,1458450000000.000000,5126570000000.000000,-506220000000.000000,,,,,1650000000000.000000,-3828827000000.000000,,,-1021037000000.000000,-11326000000.000000,,4200000000.000000,109099000000.000000,-64009000000.000000,,,,,,,,,1458450000000.000000,-2315140000000.000000,,8053006000000.000000,,,,5737866000000.000000
12M 2009,4051209000000.000000,,18415890000000.000000,,,84650000000.000000,146826000000.000000,,,,,18647366000000.000000,,-10116183000000.000000,-1730149000000.000000,-1359817000000.000000,-878137000000.000000,,-47715000000.000000,,-125748000000.000000,,-14257749000000.000000,-338408000000.000000,4051209000000.000000,-10670707000000.000000,2253000000.000000,,-10684690000000.000000,,-15044000000.000000,,,,,,,,,,,,,,,26774000000.000000,,,,,-10670707000000.000000,3724651000000.000000,3892786000000.000000,-632814000000.000000,,,,,1500000000000.000000,-14453000000.000000,,,-939255000000.000000,-9291000000.000000,,-18206000000.000000,,-54116000000.000000,,,,,,,,,3724651000000.000000,-2894847000000.000000,,5737866000000.000000,,-7020000000.000000,,2835999000000.000000
12M 2010,6838884000000.000000,,19678609000000.000000,,,41753000000.000000,145067000000.000000,,,-24431000000.000000,,19840998000000.000000,,-9061007000000.000000,-2175997000000.000000,-1310556000000.000000,-215874000000.000000,,-117231000000.000000,,-121449000000.000000,,-13002114000000.000000,,6838884000000.000000,-5970713000000.000000,7741000000.000000,,-6495146000000.000000,,-40052000000.000000,,,,-194000000.000000,,,,,,,,,,,19281000000.000000,,537657000000.000000,,,-5970713000000.000000,-1629655000000.000000,1092059000000.000000,-4098277000000.000000,,,,,5851301000000.000000,-3720815000000.000000,,,-749122000000.000000,-21436000000.000000,,2846000000.000000,59925000000.000000,-46136000000.000000,,,,,,,,,-1629655000000.000000,-761484000000.000000,,2835999000000.000000,,,755000000.000000,2075270000000.000000
12M 2011,7320081000000.000000,,20620790000000.000000,,,141271000000.000000,81336000000.000000,55371000000.000000,,20626000000.000000,,20919394000000.000000,,-9102182000000.000000,-2003642000000.000000,-1739810000000.000000,-563320000000.000000,,-119521000000.000000,,-70838000000.000000,,-13599313000000.000000,,7320081000000.000000,-6037912000000.000000,6708000000.000000,,-6047958000000.000000,,-10452000000.000000,,,,,,,,,,,,,,,13790000000.000000,,,,,-6037912000000.000000,-1135446000000.000000,2322900000000.000000,-3505063000000.000000,1500000000000.000000,,,,,-1100000000000.000000,,,-323591000000.000000,-29692000000.000000,,,,,,,,,,,,,-1135446000000.000000,146723000000.000000,2213000000.000000,2075270000000.000000,,,,2224206000000.000000
12M 2012,6989453000000.000000,,21960377000000.000000,,,179478000000.000000,131804000000.000000,116147000000.000000,34410000000.000000,,,22422216000000.000000,,-11607302000000.000000,-2026450000000.000000,-1252470000000.000000,-424538000000.000000,,-82306000000.000000,,-39697000000.000000,,-15432763000000.000000,,6989453000000.000000,-2688906000000.000000,3100109000000.000000,,-5765942000000.000000,,-23073000000.000000,,,,,,,,,,,,,,,,,,,,-2688906000000.000000,-2647488000000.000000,1700000000000.000000,-5455925000000.000000,700000000000.000000,-1900000000000.000000,,,3000000000000.000000,-241989000000.000000,,,-417489000000.000000,-32085000000.000000,,,,,,,,,,,,,-2647488000000.000000,1653059000000.000000,39971000000.000000,2224206000000.000000,,,,3917236000000.000000
12M 2013,8393179000000.000000,,23288619000000.000000,,,352444000000.000000,109626000000.000000,134477000000.000000,26149000000.000000,,,23911315000000.000000,,-11563977000000.000000,-2145722000000.000000,-1443524000000.000000,-311134000000.000000,,-32000000000.000000,-17853000000.000000,-3926000000.000000,,-15518136000000.000000,,8393179000000.000000,-9067977000000.000000,208024000000.000000,,-9322410000000.000000,,-6732000000.000000,,,,,,,,,,,,,,,53141000000.000000,,,,,-9067977000000.000000,-749923000000.000000,2950000000000.000000,-3366200000000.000000,1300000000000.000000,-100000000000.000000,,,,-1330000000000.000000,,,-187579000000.000000,-31945000000.000000,,15801000000.000000,,,,,,,,,,,-749923000000.000000,-1424721000000.000000,-221260000000.000000,3917236000000.000000,,-37723000000.000000,,2233532000000.000000
12M 2014,7348789000000.000000,,24757946000000.000000,,,79450000000.000000,138909000000.000000,32848000000.000000,,,,25009153000000.000000,,-13232721000000.000000,-2378199000000.000000,-1658546000000.000000,-370543000000.000000,,,-17244000000.000000,-3111000000.000000,,-17660364000000.000000,,7348789000000.000000,-5003627000000.000000,40990000000.000000,,-6432134000000.000000,,-11306000000.000000,,,,,,,,,,,,,-3552000000.000000,1379114000000.000000,23261000000.000000,,,,,-5003627000000.000000,-1057422000000.000000,1665750000000.000000,-2166163000000.000000,1400000000000.000000,-2050000000000.000000,,,2500000000000.000000,-2358000000000.000000,,,,-46041000000.000000,,-2968000000.000000,,,,,,,,,,,-1057422000000.000000,1287740000000.000000,-41261000000.000000,2233532000000.000000,,,,3480011000000.000000
12M 2015,8264993000000.000000,,26230342000000.000000,,363537000000.000000,103077000000.000000,219748000000.000000,105785000000.000000,,,,27022489000000.000000,,-13905023000000.000000,-2658816000000.000000,-1969175000000.000000,-209170000000.000000,,,-15312000000.000000,,,-18757496000000.000000,,8264993000000.000000,-7145364000000.000000,261226000000.000000,,-7344833000000.000000,,-9670000000.000000,,,,,,,,,,,,,-72370000000.000000,,20283000000.000000,,,,,-7145364000000.000000,-1085398000000.000000,10688530000000.000000,-6978781000000.000000,925000000000.000000,-325000000000.000000,,,4000000000000.000000,-9347137000000.000000,,,,-47044000000.000000,,,,,,1519000000.000000,-2485000000.000000,,,,,,-1085398000000.000000,34231000000.000000,109104000000.000000,3480011000000.000000,,,,3623346000000.000000
12M 2016,9751515000000.000000,,28724605000000.000000,,194839000000.000000,230068000000.000000,114333000000.000000,,,,,29263845000000.000000,,-14791085000000.000000,-2238752000000.000000,-1687223000000.000000,-235619000000.000000,-550014000000.000000,,-9637000000.000000,,,-19512330000000.000000,,9751515000000.000000,-7291386000000.000000,43954000000.000000,,-7207477000000.000000,,-85122000000.000000,,,,,,,,,,,,,-91970000000.000000,,49229000000.000000,,,,,-7291386000000.000000,-4251347000000.000000,4670000000000.000000,-9053865000000.000000,1150000000000.000000,-2200000000000.000000,,,3460000000000.000000,-1381000000000.000000,,,,-125432000000.000000,,,,,,,,,,-771050000000.000000,,,-4251347000000.000000,-1791218000000.000000,18297000000.000000,3623346000000.000000,,,,1850425000000.000000
12M 2017,8960936000000.000000,,28590810000000.000000,,36446000000.000000,333299000000.000000,65325000000.000000,,,,,29025880000000.000000,,-14956035000000.000000,-2101469000000.000000,-2032806000000.000000,-936165000000.000000,-33326000000.000000,,-5143000000.000000,,,-20064944000000.000000,,8960936000000.000000,-6772642000000.000000,108748000000.000000,,-5831242000000.000000,,-209240000000.000000,,,,,,,,,,,,,-36169000000.000000,3442000000.000000,37987000000.000000,,,-846168000000.000000,,-6772642000000.000000,-2115406000000.000000,5726290000000.000000,-8779922000000.000000,,-400000000000.000000,,,6420000000000.000000,-3622000000000.000000,,,-386788000000.000000,-127349000000.000000,,,,,,,,,,-945637000000.000000,,,-2115406000000.000000,72888000000.000000,3003000000.000000,1850425000000.000000,,,,1926316000000.000000
