Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Sewa Pembiayaan,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Others,Total Aset Tetap,Goodwill,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Keuangan,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sukuk,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Keuangan Lainnya,Others,Total Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Utang Sewa Pembiayaan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Dari Pihak Ketiga,Utang Obligasi,Utang Sukuk,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,5737866000000.000000,,1340706000000.000000,76078000000.000000,1264628000000.000000,1340706000000.000000,16914000000.000000,241991000000.000000,2354296000000.000000,9691773000000.000000,,42496000000.000000,,68445000000.000000,700000000.000000,38394073000000.000000,,38394073000000.000000,1833392000000.000000,,1662444000000.000000,42001550000000.000000,51693323000000.000000,,,10675245000000.000000,,,12109000000.000000,596645000000.000000,608754000000.000000,268891000000.000000,,268891000000.000000,1512533000000.000000,315866000000.000000,,,,572469000000.000000,56442000000.000000,,628911000000.000000,,,,7340290000000.000000,10675245000000.000000,23319519000000.000000,14699000000.000000,1305185000000.000000,,,,1596142000000.000000,9216018000000.000000,10315616000000.000000,,,21127776000000.000000,,871859000000.000000,23319519000000.000000,33994764000000.000000,,543393000000.000000,1546587000000.000000,14902246000000.000000,100678000000.000000,14801568000000.000000,14902246000000.000000,288938000000.000000,417395000000.000000,17698559000000.000000,51693323000000.000000,5433933500.000000
12M 2009,,,2835999000000.000000,,1356697000000.000000,125912000000.000000,1230785000000.000000,1356697000000.000000,593287000000.000000,112260000000.000000,2241384000000.000000,7139627000000.000000,,7215000000.000000,,85812000000.000000,422000000.000000,44428807000000.000000,,44428807000000.000000,1580080000000.000000,,1799524000000.000000,47901860000000.000000,55041487000000.000000,,,13068122000000.000000,,,38670000000.000000,498806000000.000000,537476000000.000000,161820000000.000000,,161820000000.000000,1583732000000.000000,200202000000.000000,,,,1440259000000.000000,2840662000000.000000,,4280921000000.000000,,,,6303971000000.000000,13068122000000.000000,23685082000000.000000,13764000000.000000,1535202000000.000000,,,,2192489000000.000000,10528819000000.000000,8472175000000.000000,,,21193483000000.000000,,942633000000.000000,23685082000000.000000,36753204000000.000000,,543393000000.000000,1546587000000.000000,15461237000000.000000,119464000000.000000,15341773000000.000000,15461237000000.000000,330593000000.000000,406473000000.000000,18288283000000.000000,55041487000000.000000,5433933500.000000
12M 2010,,,2075270000000.000000,,1548426000000.000000,222506000000.000000,1325920000000.000000,1548426000000.000000,10031000000.000000,105885000000.000000,2419242000000.000000,6158854000000.000000,,8421000000.000000,,95018000000.000000,,43571010000000.000000,43571010000000.000000,43571010000000.000000,1374060000000.000000,,1610824000000.000000,46659333000000.000000,52818187000000.000000,,,11946853000000.000000,,,22260000000.000000,623245000000.000000,645505000000.000000,169445000000.000000,,169445000000.000000,1710885000000.000000,215403000000.000000,,,,3184147000000.000000,1098131000000.000000,,4282278000000.000000,23127000000.000000,,23127000000.000000,4900210000000.000000,11946853000000.000000,22634848000000.000000,22099000000.000000,1772337000000.000000,,,,997045000000.000000,6669759000000.000000,12114104000000.000000,,872407000000.000000,20653315000000.000000,,187097000000.000000,22634848000000.000000,34581701000000.000000,,543393000000.000000,1546587000000.000000,15359289000000.000000,134446000000.000000,15224843000000.000000,15359289000000.000000,385840000000.000000,401377000000.000000,18236486000000.000000,52818187000000.000000,5433933500.000000
12M 2011,,,2224206000000.000000,,1441069000000.000000,257537000000.000000,1183532000000.000000,1441069000000.000000,5660000000.000000,75890000000.000000,2832614000000.000000,6579439000000.000000,,10654000000.000000,,114114000000.000000,,42573369000000.000000,,42573369000000.000000,1366853000000.000000,,1527882000000.000000,45592872000000.000000,52172311000000.000000,,,11952171000000.000000,1499256000000.000000,,23581000000.000000,295477000000.000000,319058000000.000000,88563000000.000000,,88563000000.000000,1891477000000.000000,138189000000.000000,,,,3300537000000.000000,41989000000.000000,,3342526000000.000000,16072000000.000000,,16072000000.000000,4657030000000.000000,11952171000000.000000,21404167000000.000000,15480000000.000000,1920787000000.000000,,6425779000000.000000,,,,12138353000000.000000,,787313000000.000000,19351445000000.000000,,116455000000.000000,21404167000000.000000,33356338000000.000000,,543393000000.000000,1546587000000.000000,15870673000000.000000,134446000000.000000,15736227000000.000000,15870673000000.000000,453542000000.000000,401778000000.000000,18815973000000.000000,52172311000000.000000,5433933500.000000
12M 2012,,,3917236000000.000000,,2038719000000.000000,574650000000.000000,1464069000000.000000,2038719000000.000000,22441000000.000000,52556000000.000000,2277858000000.000000,8308810000000.000000,,10358000000.000000,,100693000000.000000,,41964793000000.000000,,41964793000000.000000,1373707000000.000000,,3466700000000.000000,46916251000000.000000,55225061000000.000000,,,11015751000000.000000,299529000000.000000,,22650000000.000000,209087000000.000000,231737000000.000000,95599000000.000000,,95599000000.000000,1961285000000.000000,81241000000.000000,,,,2669218000000.000000,1329175000000.000000,,3998393000000.000000,289164000000.000000,,289164000000.000000,4058803000000.000000,11015751000000.000000,24813926000000.000000,42789000000.000000,1684270000000.000000,,,3101910000000.000000,,3703822000000.000000,13986507000000.000000,,926224000000.000000,21718463000000.000000,69273000000.000000,1299131000000.000000,24813926000000.000000,35829677000000.000000,,543393000000.000000,1546587000000.000000,15981167000000.000000,134446000000.000000,15846721000000.000000,15981167000000.000000,534015000000.000000,790222000000.000000,19395384000000.000000,55225061000000.000000,5433933500.000000
12M 2013,,,2233532000000.000000,,2268339000000.000000,632203000000.000000,1636136000000.000000,2268339000000.000000,16294000000.000000,36004000000.000000,2614848000000.000000,7169017000000.000000,,7167000000.000000,,96057000000.000000,,42190111000000.000000,,42190111000000.000000,1362600000000.000000,,3695939000000.000000,47351874000000.000000,54520891000000.000000,,,13494437000000.000000,1499849000000.000000,,47603000000.000000,291707000000.000000,339310000000.000000,89260000000.000000,,89260000000.000000,2107467000000.000000,36903000000.000000,,,,2443367000000.000000,2356310000000.000000,,4799677000000.000000,362448000000.000000,,362448000000.000000,4259523000000.000000,13494437000000.000000,24508856000000.000000,33301000000.000000,893285000000.000000,,4345267000000.000000,3594112000000.000000,,,13285207000000.000000,,1046414000000.000000,22271000000000.000000,82855000000.000000,1228415000000.000000,24508856000000.000000,38003293000000.000000,,543393000000.000000,1546587000000.000000,13011589000000.000000,134446000000.000000,12877143000000.000000,13011589000000.000000,603435000000.000000,812594000000.000000,16517598000000.000000,54520891000000.000000,5433933500.000000
12M 2014,,,3480011000000.000000,,2092112000000.000000,518952000000.000000,1573160000000.000000,2092112000000.000000,9015000000.000000,49408000000.000000,2961138000000.000000,8591684000000.000000,,3496000000.000000,,85181000000.000000,,40775907000000.000000,,40775907000000.000000,1356562000000.000000,,2442011000000.000000,44663157000000.000000,53254841000000.000000,,,21147849000000.000000,849448000000.000000,,30532000000.000000,660027000000.000000,690559000000.000000,75368000000.000000,,75368000000.000000,2150949000000.000000,31740000000.000000,,,,2613500000000.000000,8333611000000.000000,,10947111000000.000000,423029000000.000000,,423029000000.000000,5979645000000.000000,21147849000000.000000,17911028000000.000000,30159000000.000000,662929000000.000000,,3727118000000.000000,3631591000000.000000,,,7622485000000.000000,,1091315000000.000000,16072509000000.000000,17049000000.000000,1128382000000.000000,17911028000000.000000,39058877000000.000000,,543393000000.000000,1546587000000.000000,11024419000000.000000,134446000000.000000,10889973000000.000000,11024419000000.000000,686542000000.000000,395023000000.000000,14195964000000.000000,53254841000000.000000,5433933500.000000
12M 2015,,,3623346000000.000000,,2730175000000.000000,510539000000.000000,2219636000000.000000,2730175000000.000000,11232000000.000000,39346000000.000000,3514578000000.000000,9918677000000.000000,,2758000000.000000,,114226000000.000000,78521000000.000000,41821703000000.000000,,41821703000000.000000,1351431000000.000000,,2101201000000.000000,45469840000000.000000,55388517000000.000000,,,20052600000000.000000,1449022000000.000000,,123652000000.000000,640490000000.000000,764142000000.000000,,98240000000.000000,98240000000.000000,1730483000000.000000,290747000000.000000,,,516527000000.000000,4240746000000.000000,1152791000000.000000,226810000000.000000,6136874000000.000000,,1014000000.000000,1014000000.000000,9582078000000.000000,20052600000000.000000,22072076000000.000000,25196000000.000000,12572000000.000000,,6369885000000.000000,3450558000000.000000,,,9282161000000.000000,954586000000.000000,908838000000.000000,20966028000000.000000,114000000.000000,1068166000000.000000,22072076000000.000000,42124676000000.000000,,543393000000.000000,1546587000000.000000,9730564000000.000000,134446000000.000000,9596118000000.000000,9730564000000.000000,781006000000.000000,662291000000.000000,13263841000000.000000,55388517000000.000000,5433933500.000000
12M 2016,,,1850425000000.000000,,2707279000000.000000,411609000000.000000,2295670000000.000000,2707279000000.000000,42913000000.000000,79272000000.000000,3393592000000.000000,8073481000000.000000,,3991000000.000000,,215971000000.000000,153413000000.000000,39078409000000.000000,,39078409000000.000000,1440211000000.000000,,1873228000000.000000,42765223000000.000000,50838704000000.000000,,,19086592000000.000000,399390000000.000000,,225478000000.000000,619585000000.000000,845063000000.000000,,443221000000.000000,443221000000.000000,1533412000000.000000,20814000000.000000,,,554037000000.000000,3795600000000.000000,3391286000000.000000,225804000000.000000,7966727000000.000000,,,,7877965000000.000000,19086592000000.000000,17574993000000.000000,37693000000.000000,11551000000.000000,,2273616000000.000000,2959487000000.000000,,,9060534000000.000000,1014985000000.000000,1245845000000.000000,16554467000000.000000,,971282000000.000000,17574993000000.000000,36661585000000.000000,,543393000000.000000,1546587000000.000000,10835606000000.000000,134446000000.000000,10701160000000.000000,10835606000000.000000,826916000000.000000,424617000000.000000,14177119000000.000000,50838704000000.000000,5433933500.000000
12M 2017,,,1674745000000.000000,,3845943000000.000000,342667000000.000000,3503276000000.000000,3845943000000.000000,142948000000.000000,87820000000.000000,3727815000000.000000,9479271000000.000000,,1394000000.000000,,368605000000.000000,246695000000.000000,35891716000000.000000,,35891716000000.000000,1596842000000.000000,,3076517000000.000000,41181769000000.000000,50661040000000.000000,,,16200457000000.000000,,,137163000000.000000,735256000000.000000,872419000000.000000,,237977000000.000000,237977000000.000000,2042979000000.000000,6028000000.000000,,,575328000000.000000,1449218000000.000000,2840543000000.000000,312476000000.000000,5177565000000.000000,,,,7863489000000.000000,16200457000000.000000,19645049000000.000000,95989000000.000000,888000000.000000,,1563437000000.000000,2559438000000.000000,,,11634355000000.000000,1700957000000.000000,1238447000000.000000,18696634000000.000000,,851538000000.000000,19645049000000.000000,35845506000000.000000,,543393000000.000000,1546587000000.000000,11584601000000.000000,134446000000.000000,11450155000000.000000,11584601000000.000000,818558000000.000000,322395000000.000000,14815534000000.000000,50661040000000.000000,5433933500.000000
