Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Lainnya,Pembayaran Kepada Karyawan,Pembayaran Pajak Ekspor,Pembayaran Utang Pajak Pertambahan Nilai - Keluaran,Penerimaan Restitusi Pajak Penghasilan,Pembayaran Pajak Penghasilan Badan,Pembayaran Beban Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Sertifikat Deposito Dan Deposito Berjangka,Penerimaan Dari Pihak Berelasi,Pembayaran Ke Pihak Berelasi,Penerimaan (Pembayaran) Utang Plasma,Penerimaan Dari Utang Plasma,Pembayaran Dari Utang Plasma,Total Penerimaan (Pembayaran) Utang Plasma,Penerimaan Bunga,Hasil Penjualan Atas Aset Tetap,Pengurangan (Penambahan) Aset Biologis,Penerimaan Dari Penjualan Kepemilikan Atas Anak Perusahaan,Perolehan Aset Yang Disewakan,Penerimaan Dari (Uang Muka Kepada) Pihak Berelasi,Penempatan Dalam Serfifikat Deposito Dan Deposito Berjangka,Penambahan Tanaman Perkebunan,Perolehan Aset Tetap,Penambahan Utang (Piutang) Ke Pihak Yang Mempunyai Hubungan Istimewa,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Jangka Pendek,Perolehan,Pembayaran,Total Utang Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Perolehan Utang Bank Jangka Panjang,Pembayaran Pinjaman Diterima,Penempatan Dalam Investasi Jangka Panjang,Investasi Jangka Pendek,Pembayaran Penyelesaian Kontrak Derivatif,Perolehan Dari Penerbitan Utang Obligasi,Penerimaan Dari Penerbitan Obligasi,Pembayaran Untuk Penebusan Obligasi,Hasil Penawaran Umum Obligasi,Pelunasan Obligasi,Pelunasan Obligasi Global,Pelunasan Obligasi Rupiah,Total Pelunasan Obligasi,Pembelian Kembali Obligasi Global,Penjualan Obligasi Rupiah,Pembayaran Surat Utang Jangka Menengah,Perolehan Dari Penerbitan Surat Utang Jangka Menengah,Hasil Penerbitan Utang Mtn,Pelaksanaan Pmhmetd,Transaksi Dengan Non Pengendali,Pembelian Saham Treasury,Penjualan Saham Treasuri,Perolehan Kembali Dari Saham Treasuri,Penerimaan Dari Konversi Waran,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Dividen Tunai,Aset Tidak Lancar Lainnya,Penerimaan (Penambahan) Dari Beban Ditangguhkan Lainnya,Pembayaran Beban Bunga Dan Keuangan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,460018999000.000000,4171955027000.000000,-3308598058000.000000,,-283491839000.000000,-289428000.000000,,-49300746000.000000,-70255957000.000000,460018999000.000000,-265615362000.000000,,,,14596981000.000000,,,14596981000.000000,8593751000.000000,154000000.000000,,,-427256000.000000,12356662000.000000,,-114360799000.000000,-186528701000.000000,,-265615362000.000000,-76220283000.000000,71143430000.000000,,,71143430000.000000,-21772613000.000000,,,,,,,,,,,,,,,,,,,,,,,-24886563000.000000,860625000.000000,-16067232000.000000,-85497930000.000000,,,,-76220283000.000000,118183354000.000000,220400373000.000000,19318158000.000000,357901885000.000000
12M 2009,-325051889000.000000,2480440159000.000000,-2665518341000.000000,,-5745376000.000000,-187378000.000000,,-28960208000.000000,-105080745000.000000,-325051889000.000000,11313272000.000000,208967500000.000000,,,56982224000.000000,,,56982224000.000000,9044469000.000000,6591690000.000000,,350000000.000000,-385685000.000000,-7281616000.000000,-24568722000.000000,-107674529000.000000,-130712059000.000000,,11313272000.000000,97532063000.000000,225517380000.000000,,,225517380000.000000,-76978168000.000000,,,,,,,,,,,,,,,,,,,,,,,-1222029000.000000,86375000.000000,-17068323000.000000,-32803172000.000000,,,,97532063000.000000,-216206554000.000000,357901885000.000000,-14363154000.000000,127332177000.000000
12M 2010,380781982000.000000,3168690416000.000000,-2481857853000.000000,,-108158328000.000000,-20533036000.000000,,-75113415000.000000,-102245802000.000000,380781982000.000000,-255209546000.000000,,,,45908638000.000000,,,45908638000.000000,2058025000.000000,41250000.000000,,,-3129068000.000000,4921247000.000000,,-141006949000.000000,-164002689000.000000,,-255209546000.000000,-2565331000.000000,31963180000.000000,,,31963180000.000000,-528343749000.000000,511141667000.000000,,,-10000000000.000000,,,,,,,,,,,,,,,,,,12962953000.000000,,45538604000.000000,-19962834000.000000,-45865152000.000000,,,,-2565331000.000000,123007105000.000000,127332177000.000000,-7358136000.000000,242981146000.000000
12M 2011,838469000000.000000,4033327000000.000000,-2594091000000.000000,,-411289000000.000000,-10512000000.000000,,-80402000000.000000,-98564000000.000000,838469000000.000000,-458646000000.000000,,,,-47486000000.000000,,,-47486000000.000000,3610000000.000000,39000000.000000,,,-1820000000.000000,1370000000.000000,,-136241000000.000000,-278118000000.000000,,-458646000000.000000,-81514000000.000000,68742000000.000000,,,68742000000.000000,-63347000000.000000,54776000000.000000,,,,,,,,,,,,,,,,,,,,,21388000000.000000,,879000000.000000,-32923000000.000000,-131029000000.000000,,,,-81514000000.000000,298309000000.000000,242981000000.000000,2804000000.000000,544094000000.000000
12M 2012,-8854000000.000000,3819989000000.000000,-3297654000000.000000,,-268845000000.000000,-11392000000.000000,,-118909000000.000000,-132043000000.000000,-8854000000.000000,-625236000000.000000,,,,-34458000000.000000,,,-34458000000.000000,11606000000.000000,50000000.000000,,,-1880000000.000000,8429000000.000000,,-123853000000.000000,-485130000000.000000,,-625236000000.000000,628503000000.000000,-301800000000.000000,,,-301800000000.000000,-72244000000.000000,134507000000.000000,,,,,993530000000.000000,,,,,,,,,,,,,,,,,,,-34137000000.000000,-91353000000.000000,,,,628503000000.000000,-5587000000.000000,544094000000.000000,9825000000.000000,548332000000.000000
12M 2013,-15682000000.000000,3754680000000.000000,-3251234000000.000000,,-172114000000.000000,-9638000000.000000,,-88326000000.000000,-249050000000.000000,-15682000000.000000,-784611000000.000000,,,,-25783000000.000000,,,-25783000000.000000,18193000000.000000,291000000.000000,,,,2694000000.000000,,-134625000000.000000,-645381000000.000000,,-784611000000.000000,858782000000.000000,564934000000.000000,,,564934000000.000000,-236001000000.000000,623265000000.000000,,,,,,,,,,,,,,,,,,,,,,,,-44069000000.000000,-49347000000.000000,,,,858782000000.000000,58489000000.000000,548332000000.000000,41107000000.000000,647928000000.000000
12M 2014,528257000000.000000,6302990000000.000000,-5346601000000.000000,,-131068000000.000000,-28886000000.000000,,-61692000000.000000,-206486000000.000000,528257000000.000000,-818604000000.000000,,,,-56208000000.000000,,,-56208000000.000000,5537000000.000000,83000000.000000,,,,9625000000.000000,,-187702000000.000000,-589939000000.000000,,-818604000000.000000,155132000000.000000,,201393000000.000000,,201393000000.000000,-426270000000.000000,262455000000.000000,,,,,,,,,,,,,,,,195951000000.000000,,,,,,,,-19092000000.000000,-59305000000.000000,,,,155132000000.000000,-135215000000.000000,647928000000.000000,6977000000.000000,519690000000.000000
12M 2015,-383109000000.000000,5653054000000.000000,-5673499000000.000000,,-68410000000.000000,-26499000000.000000,,-44619000000.000000,-223136000000.000000,-383109000000.000000,-1169906000000.000000,,,,16608000000.000000,,,16608000000.000000,3839000000.000000,3322000000.000000,,,,-6549000000.000000,,-134106000000.000000,-1053020000000.000000,,-1169906000000.000000,1118062000000.000000,,190000000.000000,,190000000.000000,-293907000000.000000,1598780000000.000000,,,,,,,,,,,,,,,,,,,,,-10808000000.000000,,,-53408000000.000000,-122785000000.000000,,,,1118062000000.000000,-434953000000.000000,519690000000.000000,21422000000.000000,106159000000.000000
12M 2016,430227000000.000000,6217232000000.000000,-5166111000000.000000,,-68420000000.000000,-135733000000.000000,,-115233000000.000000,-301508000000.000000,430227000000.000000,-1557797000000.000000,,,,5911000000.000000,,,5911000000.000000,2389000000.000000,,,,,15618000000.000000,,-294257000000.000000,-1287458000000.000000,,-1557797000000.000000,959085000000.000000,,-422999000000.000000,,-422999000000.000000,-176538000000.000000,1702369000000.000000,-9706000000.000000,,,,,,-10179000000.000000,,,,,,,,,,,,,,22758000000.000000,,,-18955000000.000000,-127665000000.000000,,,,959085000000.000000,-168485000000.000000,295969000000.000000,-1107000000.000000,126377000000.000000
12M 2017,1917900000000.000000,9501190000000.000000,-6868642000000.000000,,-66848000000.000000,-33831000000.000000,7331000000.000000,-190048000000.000000,-431252000000.000000,1917900000000.000000,-1724143000000.000000,,234204000000.000000,-232915000000.000000,,309052000000.000000,-366819000000.000000,-57767000000.000000,8811000000.000000,12859000000.000000,,,,,,-574837000000.000000,-1114498000000.000000,,-1724143000000.000000,-194166000000.000000,,45348000000.000000,,45348000000.000000,-346802000000.000000,1084193000000.000000,,,,,,,-985000000000.000000,,,,,,,,-200000000000.000000,411000000000.000000,,,-861000000.000000,,,,,-41781000000.000000,-160263000000.000000,,,,-194166000000.000000,-409000000.000000,126377000000.000000,24000000.000000,125992000000.000000
