Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Real Estat,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Total Tanaman Perkebunan,Aset Tetap,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Pinjaman Yang Diterima,Utang Sewa Pembiayaan,Utang Bank,Utang Lain Jangka Panjang,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Surat Berharga Jangka Menengah,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Pemegang Saham,Liabilitas Pajak Tangguhan,Surat Berharga Jangka Menengah,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,357901885000.000000,,187403752000.000000,95369142000.000000,92034610000.000000,187403752000.000000,8806928000.000000,258873050000.000000,306797693000.000000,1119783308000.000000,,3767459000.000000,2953918000.000000,21547501000.000000,646972110000.000000,297288309000.000000,349683801000.000000,646972110000.000000,936404937000.000000,,71067839000.000000,1682713764000.000000,2802497072000.000000,,,1014802225000.000000,180761706000.000000,,,105834528000.000000,105834528000.000000,12687859000.000000,13627420000.000000,,124124962000.000000,,10710509000.000000,,,,563646629000.000000,698482100000.000000,,3408612000.000000,1014802225000.000000,894125637000.000000,,8689265000.000000,41482313000.000000,,,,712048463000.000000,9784027000.000000,,,83352828000.000000,805185318000.000000,38768741000.000000,894125637000.000000,1908927862000.000000,,521257937000.000000,156947343000.000000,218873213000.000000,3500000000.000000,215373213000.000000,218873213000.000000,4796668000.000000,-8305951000.000000,893569210000.000000,2802497072000.000000,4170063493.000000
12M 2009,,,127332177000.000000,,167645345000.000000,129980113000.000000,37665232000.000000,167645345000.000000,4560865000.000000,247070501000.000000,438554093000.000000,985162981000.000000,,11088774000.000000,3444310000.000000,20859390000.000000,726386451000.000000,247778263000.000000,478608188000.000000,726386451000.000000,1003176541000.000000,,36221767000.000000,1801177233000.000000,2786340214000.000000,,,879633473000.000000,387042398000.000000,,,120676400000.000000,120676400000.000000,33854248000.000000,14656678000.000000,,160472748000.000000,,12966172000.000000,,5220000000.000000,,140753306000.000000,319412226000.000000,,3991523000.000000,879633473000.000000,908005576000.000000,39699000.000000,8689265000.000000,59482902000.000000,,,,500347708000.000000,8712146000.000000,,90515000000.000000,176475082000.000000,776049936000.000000,63743774000.000000,908005576000.000000,1787639049000.000000,,521344312000.000000,156701188000.000000,324314303000.000000,4000000000.000000,320314303000.000000,324314303000.000000,5053563000.000000,-8712201000.000000,998701165000.000000,2786340214000.000000,4170754493.000000
12M 2010,,,242981146000.000000,10033300000.000000,224146244000.000000,144574967000.000000,79571277000.000000,224146244000.000000,5753891000.000000,477584502000.000000,670970681000.000000,1631469764000.000000,,6207226000.000000,5279108000.000000,,821369151000.000000,626020456000.000000,195348695000.000000,821369151000.000000,1157020339000.000000,,29759581000.000000,2019635405000.000000,3651105169000.000000,,,1468443372000.000000,696715583000.000000,,7022030000.000000,169734230000.000000,176756260000.000000,24676934000.000000,28846585000.000000,,71188729000.000000,1897267000.000000,11054976000.000000,,5697300000.000000,,356960120000.000000,446798392000.000000,,94649618000.000000,1468443372000.000000,941069081000.000000,777278000.000000,8689265000.000000,76100255000.000000,,,,546628078000.000000,6534243000.000000,,9423425000.000000,176086337000.000000,738672083000.000000,116830200000.000000,941069081000.000000,2409512453000.000000,,591882916000.000000,216127453000.000000,431112338000.000000,4500000000.000000,426612338000.000000,431112338000.000000,7412222000.000000,-4942213000.000000,1241592716000.000000,3651105169000.000000,4735063324.000000
12M 2011,,,544094000000.000000,10590000000.000000,233188000000.000000,191118000000.000000,42070000000.000000,233188000000.000000,8094000000.000000,488998000000.000000,598142000000.000000,1883106000000.000000,,2961000000.000000,5918000000.000000,,933936000000.000000,632172000000.000000,301764000000.000000,933936000000.000000,1392516000000.000000,,26181000000.000000,2361512000000.000000,4244618000000.000000,,,1366205000000.000000,750291000000.000000,,4771000000.000000,185342000000.000000,190113000000.000000,40960000000.000000,23679000000.000000,,115447000000.000000,4434000000.000000,10698000000.000000,,4360000000.000000,,220507000000.000000,355446000000.000000,,5716000000.000000,1366205000000.000000,1271098000000.000000,2000000.000000,8689000000.000000,95183000000.000000,,,,503510000000.000000,7740000000.000000,,4850000000.000000,573303000000.000000,1089403000000.000000,77821000000.000000,1271098000000.000000,2637303000000.000000,,617762000000.000000,263517000000.000000,719190000000.000000,5000000000.000000,714190000000.000000,719190000000.000000,9065000000.000000,-2219000000.000000,1607315000000.000000,4244618000000.000000,4942098939.000000
12M 2012,,,548332000000.000000,11060000000.000000,385224000000.000000,287613000000.000000,97611000000.000000,385224000000.000000,7651000000.000000,649179000000.000000,716658000000.000000,2318104000000.000000,,936000000.000000,13618000000.000000,,1042377000000.000000,679791000000.000000,362586000000.000000,1042377000000.000000,1749693000000.000000,,72824000000.000000,2879448000000.000000,5197552000000.000000,,,1459715000000.000000,448491000000.000000,,5490000000.000000,244576000000.000000,250066000000.000000,11608000000.000000,71099000000.000000,,154497000000.000000,5496000000.000000,5329000000.000000,,4850000000.000000,,492322000000.000000,662494000000.000000,,15957000000.000000,1459715000000.000000,1978341000000.000000,6406000000.000000,,98360000000.000000,,,993530000000.000000,494039000000.000000,4473000000.000000,,,312194000000.000000,1804236000000.000000,69339000000.000000,1978341000000.000000,3438056000000.000000,,617762000000.000000,263517000000.000000,869503000000.000000,5500000000.000000,864003000000.000000,869503000000.000000,10370000000.000000,-1656000000.000000,1759496000000.000000,5197552000000.000000,4942098939.000000
12M 2013,,,647928000000.000000,10350000000.000000,415980000000.000000,316701000000.000000,99279000000.000000,415980000000.000000,7673000000.000000,795413000000.000000,665788000000.000000,2543132000000.000000,,1384000000.000000,13360000000.000000,,1194889000000.000000,740156000000.000000,454733000000.000000,1194889000000.000000,2321196000000.000000,,138398000000.000000,3669227000000.000000,6212359000000.000000,,,2269869000000.000000,1013425000000.000000,,7554000000.000000,175125000000.000000,182679000000.000000,12522000000.000000,56119000000.000000,,482983000000.000000,9976000000.000000,9968000000.000000,,,,493856000000.000000,996783000000.000000,,8341000000.000000,2269869000000.000000,2144516000000.000000,9548000000.000000,,91334000000.000000,,,994710000000.000000,552817000000.000000,9790000000.000000,,,403610000000.000000,1960927000000.000000,82707000000.000000,2144516000000.000000,4414385000000.000000,,617762000000.000000,263684000000.000000,904532000000.000000,6000000000.000000,898532000000.000000,904532000000.000000,14529000000.000000,-2533000000.000000,1797974000000.000000,6212359000000.000000,4942098939.000000
12M 2014,,,519690000000.000000,9800000000.000000,711155000000.000000,476791000000.000000,234364000000.000000,711155000000.000000,23197000000.000000,956097000000.000000,640512000000.000000,2860451000000.000000,,14887000000.000000,9024000000.000000,,1401845000000.000000,814764000000.000000,587081000000.000000,1401845000000.000000,2843642000000.000000,,198570000000.000000,4467968000000.000000,7328419000000.000000,,,2590132000000.000000,1214818000000.000000,,4451000000.000000,287803000000.000000,292254000000.000000,41487000000.000000,70215000000.000000,,215122000000.000000,10501000000.000000,42363000000.000000,,,,700083000000.000000,968069000000.000000,,3289000000.000000,2590132000000.000000,2273870000000.000000,5670000000.000000,,119900000000.000000,196051000000.000000,,996022000000.000000,648172000000.000000,64380000000.000000,,,144844000000.000000,1853418000000.000000,98831000000.000000,2273870000000.000000,4864002000000.000000,,667762000000.000000,502729000000.000000,1278690000000.000000,6500000000.000000,1272190000000.000000,1278690000000.000000,17569000000.000000,-2333000000.000000,2464417000000.000000,7328419000000.000000,4942098939.000000
12M 2015,,,295969000000.000000,10003000000.000000,797163000000.000000,608027000000.000000,189136000000.000000,797163000000.000000,22018000000.000000,1145978000000.000000,857556000000.000000,3128687000000.000000,,19697000000.000000,10524000000.000000,,1551254000000.000000,948712000000.000000,602542000000.000000,1551254000000.000000,4433234000000.000000,,140379000000.000000,6155088000000.000000,9283775000000.000000,,,2707963000000.000000,1404818000000.000000,,4706000000.000000,324996000000.000000,329702000000.000000,16293000000.000000,99558000000.000000,,190575000000.000000,10465000000.000000,47017000000.000000,,,,602957000000.000000,851014000000.000000,,6578000000.000000,2707963000000.000000,3697335000000.000000,3931000000.000000,,135702000000.000000,196678000000.000000,,992498000000.000000,1810461000000.000000,35233000000.000000,,,402630000000.000000,3240822000000.000000,120202000000.000000,3697335000000.000000,6405298000000.000000,,667762000000.000000,494759000000.000000,1350333000000.000000,7000000000.000000,1343333000000.000000,1350333000000.000000,21463000000.000000,344160000000.000000,2878477000000.000000,9283775000000.000000,5342098939.000000
12M 2016,,,126377000000.000000,10382000000.000000,1132119000000.000000,752329000000.000000,379790000000.000000,1132119000000.000000,24765000000.000000,2579842000000.000000,1184658000000.000000,5058143000000.000000,,18214000000.000000,9550000000.000000,,1844033000000.000000,995549000000.000000,848484000000.000000,1844033000000.000000,5472981000000.000000,,193903000000.000000,7538681000000.000000,12596824000000.000000,,,4583285000000.000000,981819000000.000000,,,1877511000000.000000,1877511000000.000000,26346000000.000000,110387000000.000000,,369408000000.000000,2895000000.000000,51815000000.000000,,,984112000000.000000,169488000000.000000,1577718000000.000000,,9504000000.000000,4583285000000.000000,4592924000000.000000,18065000000.000000,,187446000000.000000,197398000000.000000,,,3157459000000.000000,34677000000.000000,,,872171000000.000000,4064307000000.000000,125708000000.000000,4592924000000.000000,9176209000000.000000,,667762000000.000000,514679000000.000000,1854854000000.000000,7500000000.000000,1847354000000.000000,1854854000000.000000,26158000000.000000,357162000000.000000,3420615000000.000000,12596824000000.000000,5342098939.000000
12M 2017,,,125992000000.000000,,1637863000000.000000,1091369000000.000000,546494000000.000000,1637863000000.000000,15370000000.000000,2140137000000.000000,1224532000000.000000,5143894000000.000000,,18377000000.000000,5353000000.000000,,2454948000000.000000,1435313000000.000000,1019635000000.000000,2454948000000.000000,6192524000000.000000,,209390000000.000000,8880592000000.000000,14024486000000.000000,,,4637979000000.000000,1027167000000.000000,,,1950315000000.000000,1950315000000.000000,51574000000.000000,105352000000.000000,,792294000000.000000,8400000000.000000,27384000000.000000,,,,666067000000.000000,1494145000000.000000,,9426000000.000000,4637979000000.000000,5386561000000.000000,19517000000.000000,,247068000000.000000,408565000000.000000,,,3478036000000.000000,18506000000.000000,,,996760000000.000000,4493302000000.000000,218109000000.000000,5386561000000.000000,10024540000000.000000,,667762000000.000000,514679000000.000000,2429887000000.000000,8000000000.000000,2421887000000.000000,2429887000000.000000,12634000000.000000,374984000000.000000,3999946000000.000000,14024486000000.000000,5342098939.000000
