Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.89,213.13,0.89,213.13,316 B,731 B,"1,046 B",688 B,105 B
12M 2009,1.43,238.24,1.43,238.24,566 B,608 B,"1,174 B","1,047 B",106 B
12M 2010,1.57,260.65,1.57,260.65,785 B,572 B,"1,357 B","1,114 B",163 B
12M 2011,1.82,323.39,1.82,323.39,881 B,525 B,"1,406 B",861 B,517 B
12M 2012,1.38,353.92,1.38,353.92,613 B,"1,498 B","2,112 B","1,563 B",858 B
12M 2013,1.30,360.87,1.30,360.87,"1,506 B","1,567 B",,"2,425 B",273 B
12M 2014,1.52,495.10,1.52,495.10,"1,472 B","1,910 B","3,383 B","2,863 B",270 B
12M 2015,0.95,534.81,0.95,534.81,"1,642 B","3,039 B","4,681 B","4,385 B",421 B
12M 2016,1.56,635.42,1.56,635.42,"2,387 B","3,408 B","5,795 B","5,668 B",475 B
12M 2017,1.64,746.39,1.64,746.39,"1,847 B","3,925 B","5,771 B","5,645 B",506 B
12M 2018,0.97,891.72,0.97,891.72,910 B,"6,589 B","7,498 B","7,274 B","2,903 B"
12M 2019,0.99,1002.10,0.99,1002.10,"1,512 B","6,508 B","8,020 B","7,619 B","2,524 B"
12M 2020,0.85,1100.33,0.85,1100.33,"2,638 B","7,048 B","9,686 B","9,206 B","2,642 B"
12M 2021,0.65,1213.82,0.65,1213.82,"2,195 B","7,532 B","9,727 B","9,037 B","3,095 B"
12M 2022,0.54,1276.69,0.54,1276.69,"4,203 B","6,451 B","10,654 B","10,063 B","1,889 B"
12M 2023,0.51,1359.35,0.51,1359.35,"5,100 B","7,944 B","13,044 B","12,514 B","3,344 B"
12M 2024,0.44,1399.94,0.44,1399.94,"6,702 B","8,014 B","14,716 B","13,589 B","3,130 B"
