Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3955846298000.000000,-3143163972000.000000,812682326000.000000,-444525291000.000000,-362542181000.000000,-81983110000.000000,-444525291000.000000,368157035000.000000,-301110820000.000000,-242707627000.000000,8593751000.000000,25296000.000000,-78485969000.000000,11463729000.000000,-301110820000.000000,67046215000.000000,-3354066000.000000,63692149000.000000,-355376000.000000,63336773000.000000,,,63336773000.000000,63692149000.000000,-355376000.000000,63336773000.000000,,,,
12M 2009,2783572757000.000000,-2336335567000.000000,447237190000.000000,-165769432000.000000,-84050860000.000000,-81718572000.000000,-165769432000.000000,281467758000.000000,-73120419000.000000,20332750000.000000,9044469000.000000,436312000.000000,-97002816000.000000,-5931134000.000000,-73120419000.000000,208347339000.000000,-69345666000.000000,139001673000.000000,-756895000.000000,138244778000.000000,,,138244778000.000000,139001673000.000000,-756895000.000000,138244778000.000000,,,,
12M 2010,2951113862000.000000,-2310101212000.000000,641012650000.000000,-291409800000.000000,-184388110000.000000,-107021690000.000000,-291409800000.000000,349602850000.000000,-25223214000.000000,57964010000.000000,2058025000.000000,,-93389017000.000000,8143768000.000000,-25223214000.000000,324379636000.000000,-76242486000.000000,248137150000.000000,-1473963000.000000,246663187000.000000,,,246663187000.000000,248137150000.000000,-1473963000.000000,246663187000.000000,,,,
12M 2011,3731749000000.000000,-2488848000000.000000,1242901000000.000000,-628775000000.000000,-511361000000.000000,-117414000000.000000,-628775000000.000000,614126000000.000000,-74190000000.000000,-16837000000.000000,3609000000.000000,13000000.000000,-91630000000.000000,30655000000.000000,-74190000000.000000,539936000000.000000,-118809000000.000000,421127000000.000000,,421127000000.000000,557000000.000000,421684000000.000000,421127000000.000000,419107000000.000000,2020000000.000000,421127000000.000000,421684000000.000000,419664000000.000000,2020000000.000000,421684000000.000000
12M 2012,3805931000000.000000,-2778192000000.000000,1027739000000.000000,-529645000000.000000,-390645000000.000000,-139000000000.000000,-529645000000.000000,498094000000.000000,-186977000000.000000,-91421000000.000000,2701000000.000000,15000000.000000,-123138000000.000000,24866000000.000000,-186977000000.000000,311117000000.000000,-67350000000.000000,243767000000.000000,,243767000000.000000,470000000.000000,244237000000.000000,243767000000.000000,241631000000.000000,2136000000.000000,243767000000.000000,244237000000.000000,242101000000.000000,2136000000.000000,244237000000.000000
12M 2013,3705288000000.000000,-2755644000000.000000,949644000000.000000,-455258000000.000000,-289018000000.000000,-166240000000.000000,-455258000000.000000,494386000000.000000,-375315000000.000000,-249926000000.000000,18194000000.000000,131000000.000000,-188716000000.000000,45002000000.000000,-375315000000.000000,119071000000.000000,-32522000000.000000,86549000000.000000,,86549000000.000000,-710000000.000000,85839000000.000000,86549000000.000000,84390000000.000000,2159000000.000000,86549000000.000000,85839000000.000000,83680000000.000000,2159000000.000000,85839000000.000000
12M 2014,6337561000000.000000,-5044887000000.000000,1292674000000.000000,-497466000000.000000,-295487000000.000000,-201979000000.000000,-497466000000.000000,795208000000.000000,-232789000000.000000,-104542000000.000000,5537000000.000000,-715000000.000000,-206586000000.000000,73517000000.000000,-232789000000.000000,562419000000.000000,-125916000000.000000,436503000000.000000,,436503000000.000000,-550000000.000000,435953000000.000000,436503000000.000000,433463000000.000000,3040000000.000000,436503000000.000000,435953000000.000000,432913000000.000000,3040000000.000000,435953000000.000000
12M 2015,5331404000000.000000,-4160926000000.000000,1170478000000.000000,-566615000000.000000,-305106000000.000000,-261509000000.000000,-566615000000.000000,603863000000.000000,-340649000000.000000,-164522000000.000000,3840000000.000000,3322000000.000000,-223136000000.000000,39847000000.000000,-340649000000.000000,263214000000.000000,-62431000000.000000,200783000000.000000,,200783000000.000000,357443000000.000000,558226000000.000000,200783000000.000000,197012000000.000000,3771000000.000000,200783000000.000000,558226000000.000000,554332000000.000000,3894000000.000000,558226000000.000000
12M 2016,6513980000000.000000,-4888655000000.000000,1625325000000.000000,-521130000000.000000,-227162000000.000000,-293968000000.000000,-521130000000.000000,1104195000000.000000,-301483000000.000000,-5066000000.000000,2389000000.000000,,-301508000000.000000,2702000000.000000,-301483000000.000000,802712000000.000000,-181701000000.000000,621011000000.000000,,621011000000.000000,17156000000.000000,638167000000.000000,621011000000.000000,615446000000.000000,5565000000.000000,621011000000.000000,638167000000.000000,632489000000.000000,5678000000.000000,638167000000.000000
12M 2017,8974708000000.000000,-6709085000000.000000,2265623000000.000000,-595914000000.000000,-257459000000.000000,-338455000000.000000,-595914000000.000000,1669709000000.000000,-425113000000.000000,-24591000000.000000,8811000000.000000,12840000000.000000,-432879000000.000000,10706000000.000000,-425113000000.000000,1244596000000.000000,-290239000000.000000,954357000000.000000,,954357000000.000000,-53639000000.000000,900718000000.000000,954357000000.000000,948993000000.000000,5364000000.000000,954357000000.000000,900718000000.000000,895253000000.000000,5465000000.000000,900718000000.000000
12M 2018,8614889000000.000000,-6312129000000.000000,2302760000000.000000,-608574000000.000000,-241262000000.000000,-367312000000.000000,-608574000000.000000,1694186000000.000000,-651141000000.000000,-52859000000.000000,4070000000.000000,-12056000000.000000,-676514000000.000000,86218000000.000000,-651141000000.000000,1043045000000.000000,-278665000000.000000,764380000000.000000,,764380000000.000000,2975000000.000000,767355000000.000000,764380000000.000000,757740000000.000000,6640000000.000000,764380000000.000000,767355000000.000000,760960000000.000000,6395000000.000000,767355000000.000000
12M 2019,8533183000000.000000,-6438390000000.000000,2094793000000.000000,-669997000000.000000,-247362000000.000000,-422635000000.000000,-669997000000.000000,1424796000000.000000,-519638000000.000000,41545000000.000000,2083000000.000000,,-694349000000.000000,131083000000.000000,-519638000000.000000,905158000000.000000,-244124000000.000000,661034000000.000000,,661034000000.000000,60488000000.000000,721522000000.000000,661034000000.000000,662827000000.000000,-1793000000.000000,661034000000.000000,721522000000.000000,723243000000.000000,-1721000000.000000,721522000000.000000
12M 2020,10863256000000.000000,-8239389000000.000000,2623867000000.000000,-798845000000.000000,-333337000000.000000,-465508000000.000000,-798845000000.000000,1825022000000.000000,-923688000000.000000,-48802000000.000000,10215000000.000000,,-827293000000.000000,-57808000000.000000,-923688000000.000000,901334000000.000000,-220604000000.000000,680730000000.000000,,680730000000.000000,20016000000.000000,700746000000.000000,680730000000.000000,678029000000.000000,2701000000.000000,680730000000.000000,700746000000.000000,698855000000.000000,1891000000.000000,700746000000.000000
12M 2021,15972216000000.000000,-12832503000000.000000,3139713000000.000000,-1144648000000.000000,-645056000000.000000,-499592000000.000000,-1144648000000.000000,1995065000000.000000,-972195000000.000000,-63566000000.000000,3331000000.000000,,-838873000000.000000,-73087000000.000000,-972195000000.000000,1022870000000.000000,-230954000000.000000,791916000000.000000,,791916000000.000000,-56497000000.000000,735419000000.000000,791916000000.000000,794719000000.000000,-2803000000.000000,791916000000.000000,735419000000.000000,738202000000.000000,-2783000000.000000,735419000000.000000
12M 2022,16579960000000.000000,-13105237000000.000000,3474723000000.000000,-1270164000000.000000,-715613000000.000000,-554551000000.000000,-1270164000000.000000,2204559000000.000000,-1184241000000.000000,-106743000000.000000,4956000000.000000,,-969607000000.000000,-112847000000.000000,-1184241000000.000000,1020318000000.000000,-218878000000.000000,801440000000.000000,,801440000000.000000,10102000000.000000,811542000000.000000,801440000000.000000,800689000000.000000,751000000.000000,801440000000.000000,811542000000.000000,810784000000.000000,758000000.000000,811542000000.000000
