Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Adjustment,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,647125621201.000000,-448856802409.000000,198268818792.000000,-83690893129.000000,-64540579547.000000,-19150313582.000000,,-83690893129.000000,114577925663.000000,-35504396954.000000,612973989.000000,,-26375588722.000000,-8147202679.000000,,-1594579542.000000,-35504396954.000000,79073528709.000000,-23853119941.000000,-24720542900.000000,867422959.000000,,-23853119941.000000,55220408768.000000,-930091653.000000,54290317115.000000,,,54290317115.000000,55220408768.000000,-930091653.000000,54290317115.000000,,,,
12M 2009,714062398545.000000,-501343460715.000000,212718937830.000000,-86642003049.000000,-67335896696.000000,-19306106353.000000,,-86642003049.000000,126076934781.000000,-35190323273.000000,-8504909811.000000,,-35005156352.000000,9188509369.000000,,-868766479.000000,-35190323273.000000,90886611508.000000,-25848796080.000000,-27144662720.000000,1295866640.000000,,-25848796080.000000,65037815428.000000,-1149401270.000000,63888414158.000000,,,63888414158.000000,65037815428.000000,-1149401270.000000,63888414158.000000,,,,
12M 2010,830183904081.000000,-565896310681.000000,264287593400.000000,-117141331198.000000,-88558232092.000000,-28583099106.000000,,-117141331198.000000,147146262202.000000,-39408955746.000000,-12550378845.000000,,-31201116924.000000,6858306356.000000,,-2515766333.000000,-39408955746.000000,107737306456.000000,-27623257478.000000,-30269644000.000000,2646386522.000000,,-27623257478.000000,80114048978.000000,-1074195850.000000,79039853128.000000,,,79039853128.000000,80114048978.000000,-1074195850.000000,79039853128.000000,,,,
12M 2011,922684829411.000000,-636881558816.000000,285803270595.000000,-136831389868.000000,-105089628998.000000,-31741760870.000000,,-136831389868.000000,148971880727.000000,-19054099926.000000,377454545.000000,368513202.000000,-20634976309.000000,-747809215.000000,,1582717851.000000,-19054099926.000000,129917780801.000000,-33968375756.000000,-32427076500.000000,-1541299256.000000,,-33968375756.000000,95949405045.000000,,95949405045.000000,,95949405045.000000,95949405045.000000,94733785499.000000,1215619546.000000,95949405045.000000,95949405045.000000,94733785499.000000,1215619546.000000,95949405045.000000
12M 2012,1113663603211.000000,-735935077763.000000,377728525448.000000,-148823677904.000000,-110759464712.000000,-38064213192.000000,,-148823677904.000000,228904847544.000000,-16633312794.000000,373868765.000000,1088763571.000000,-13251326556.000000,-5843644642.000000,,999026068.000000,-16633312794.000000,212271534750.000000,-53587185620.000000,-55927961750.000000,2340776130.000000,,-53587185620.000000,158684349130.000000,,158684349130.000000,,158684349130.000000,158684349130.000000,156462317607.000000,2222031523.000000,158684349130.000000,158684349130.000000,156462317607.000000,2222031523.000000,158684349130.000000
12M 2013,1417640229330.000000,-915440031237.000000,502200198093.000000,-157838270140.000000,-115894447709.000000,-41943822431.000000,,-157838270140.000000,344361927953.000000,-28012325494.000000,499489455.000000,2370164882.000000,-7317479164.000000,-24999245384.000000,,1434744717.000000,-28012325494.000000,316349602459.000000,-78651688576.000000,-79932918250.000000,1281229674.000000,,-78651688576.000000,237697913883.000000,,237697913883.000000,,237697913883.000000,237697913883.000000,235163537462.000000,2534376421.000000,237697913883.000000,237697913883.000000,235163537462.000000,2534376421.000000,237697913883.000000
12M 2014,1609758677687.000000,-1087606057608.000000,522152620079.000000,-174849024251.000000,-134795460180.000000,-40053564071.000000,,-174849024251.000000,347303595828.000000,1075841713.000000,122089923.000000,2321430609.000000,-5768209981.000000,-799281381.000000,,5199812543.000000,1075841713.000000,348379437541.000000,-86728384322.000000,-85772743500.000000,-955640822.000000,,-86728384322.000000,261651053219.000000,,261651053219.000000,,261651053219.000000,261651053219.000000,259297016923.000000,2354036296.000000,261651053219.000000,261651053219.000000,259297016923.000000,2354036296.000000,261651053219.000000
12M 2015,1291926384471.000000,-1003838058164.000000,288088326307.000000,-178519863275.000000,-137713044045.000000,-40806819230.000000,,-178519863275.000000,109568463032.000000,-14054146608.000000,85000000.000000,1616968352.000000,-8484909022.000000,-9237283423.000000,,1966077485.000000,-14054146608.000000,95514316424.000000,-24304373076.000000,-24958350700.000000,653977624.000000,,-24304373076.000000,71209943348.000000,,71209943348.000000,3015566813.000000,74225510161.000000,71209943348.000000,69781900528.000000,1428042820.000000,71209943348.000000,74225510161.000000,72719934489.000000,1505575672.000000,74225510161.000000
12M 2016,1511978367218.000000,-1182892442278.000000,329085924940.000000,-194722219525.000000,-148241385093.000000,-46480834432.000000,,-194722219525.000000,134363705415.000000,-10525405491.000000,159309194.000000,52736696.000000,-19166879525.000000,5952196588.000000,,2477231556.000000,-10525405491.000000,123838299924.000000,-32462388949.000000,-35067817204.000000,2605428255.000000,,-32462388949.000000,91375910975.000000,,91375910975.000000,-2604849972.000000,88771061003.000000,91375910975.000000,90482941549.000000,892969426.000000,91375910975.000000,88771061003.000000,87962724498.000000,808336505.000000,88771061003.000000
12M 2017,1732985361870.000000,-1328188268126.000000,404797093744.000000,-221594814657.000000,-166016838507.000000,-55577976150.000000,,-221594814657.000000,183202279087.000000,-16998338053.000000,328136364.000000,196351222.000000,-20727830903.000000,-407636326.000000,,3612641590.000000,-16998338053.000000,166203941034.000000,-44020031391.000000,-43967782057.000000,-52249334.000000,,-44020031391.000000,122183909643.000000,,122183909643.000000,-3952697483.000000,118231212160.000000,122183909643.000000,120830029477.000000,1353880166.000000,122183909643.000000,118231212160.000000,116930301976.000000,1300910184.000000,118231212160.000000
