Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Pembiayaan Konsumen,Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Kepada Pemasok,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Kepada Pemasok,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Adjustment,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,10086655139.000000,,146299679740.000000,139381123973.000000,6918555767.000000,146299679740.000000,190694167.000000,39006831963.000000,,3642388200.000000,199226249209.000000,,1423883886.000000,486692070108.000000,48749515826.000000,536865469820.000000,,736091719029.000000,,,263277984666.000000,69496991924.000000,,94580053148.000000,610307501.000000,40250977003.000000,14514958881.000000,,43600989370.000000,,223706839.000000,,43824696209.000000,,,263277984666.000000,184938773930.000000,,,156218669629.000000,19501888243.000000,116349563.000000,175836907435.000000,,9101866495.000000,184938773930.000000,,448216758596.000000,,91767887200.000000,401985495.000000,191221196823.000000,4653694233.000000,-169803318.000000,287874960433.000000,,736091719029.000000,917678872.000000
12M 2009,,,2378093247.000000,,158074952696.000000,146044053781.000000,12030898915.000000,158074952696.000000,2995579696.000000,37508636681.000000,,4075469181.000000,205032731501.000000,,2719750526.000000,601648997664.000000,13285069477.000000,617653817667.000000,,822686549168.000000,,,258756099264.000000,56121451988.000000,,83402241513.000000,538008632.000000,37503865780.000000,11766844584.000000,,69255016093.000000,,168670674.000000,,69423686767.000000,,,258756099264.000000,215606068403.000000,,,144823672559.000000,59785698542.000000,,204609371101.000000,,10996697302.000000,215606068403.000000,,474362167667.000000,,91767887200.000000,401985495.000000,250521216621.000000,5803095503.000000,-169803318.000000,348324381501.000000,,822686549168.000000,1835357744.000000
12M 2010,,,40054250900.000000,,195999259700.000000,183032940196.000000,12966319504.000000,195999259700.000000,501492460.000000,56760243054.000000,,5121944481.000000,298437190595.000000,,5366137048.000000,568502405679.000000,848352600.000000,574716895327.000000,,873154085922.000000,,,307160677781.000000,76828818928.000000,162456250.000000,96696953380.000000,10217443347.000000,51577005187.000000,11976842213.000000,,59654712312.000000,,46446164.000000,,59701158476.000000,,,307160677781.000000,150933461870.000000,,,136655939983.000000,663927454.000000,36589760.000000,137356457197.000000,,13577004673.000000,150933461870.000000,,458094139651.000000,,91767887200.000000,401985495.000000,316713565541.000000,6346311353.000000,-169803318.000000,415059946271.000000,,873154085922.000000,1835357744.000000
12M 2011,,,10036563669.000000,,199302211699.000000,190204697830.000000,9097513869.000000,199302211699.000000,384744878.000000,35613688330.000000,,15728535736.000000,261065744312.000000,,3824837792.000000,564891050549.000000,1725961023.000000,570441849364.000000,,831507593676.000000,,,257010978661.000000,14510636405.000000,,90436018707.000000,396388018.000000,52313378077.000000,11846899501.000000,,69966801852.000000,17385932783.000000,154923318.000000,,87507657953.000000,,,257010978661.000000,91323329859.000000,,,74190845767.000000,,130808639.000000,74321654406.000000,,17001675453.000000,91323329859.000000,,348334308520.000000,,91767887200.000000,401985495.000000,383916984880.000000,7256230899.000000,-169803318.000000,483173285156.000000,,831507593676.000000,1835357744.000000
12M 2012,,,45047439149.000000,5000000000.000000,219004380127.000000,207199884195.000000,11804495932.000000,219004380127.000000,602828173.000000,52092182453.000000,,2090185827.000000,323837015729.000000,,6165613923.000000,598524658117.000000,8832482508.000000,613522754548.000000,,937359770277.000000,,,277678054056.000000,423588015.000000,202205254.000000,107884327257.000000,418825612.000000,67373288930.000000,30284303270.000000,,34585070000.000000,36410041522.000000,96404196.000000,,71091515718.000000,,,277678054056.000000,54873536815.000000,,,32355684044.000000,,,32355684044.000000,,22517852771.000000,54873536815.000000,,332551590871.000000,,91767887200.000000,401985495.000000,503672147607.000000,9135962422.000000,-169803318.000000,604808179406.000000,,937359770277.000000,1835357744.000000
12M 2013,,,32139868157.000000,,305097050002.000000,288363137413.000000,16733912589.000000,305097050002.000000,1283829152.000000,56150531321.000000,,10434353967.000000,405105632599.000000,,7446843597.000000,705760636024.000000,16931689840.000000,730139169461.000000,,1135244802060.000000,,,311780561616.000000,6564788640.000000,94270114.000000,142434670278.000000,2262581567.000000,89854392638.000000,43792326265.000000,,12259826898.000000,14517705216.000000,,,26777532114.000000,,,311780561616.000000,54974356915.000000,,,25384615384.000000,,,25384615384.000000,,29589741531.000000,54974356915.000000,,366754918531.000000,,91767887200.000000,232182177.000000,665421375309.000000,11068438843.000000,,768489883529.000000,,1135244802060.000000,7341430976.000000
12M 2014,,,47235005563.000000,,390137828432.000000,372846558039.000000,17291270393.000000,390137828432.000000,2718918458.000000,58178336958.000000,,9188370547.000000,507458459958.000000,,6491202775.000000,736206333096.000000,9019447046.000000,751716982917.000000,,1259175442875.000000,,,315672702842.000000,14347966709.000000,205442224.000000,141312230907.000000,4074209473.000000,89785709807.000000,31996627801.000000,,15000000000.000000,18950515921.000000,,,33950515921.000000,,,315672702842.000000,31272198901.000000,,,,,,,,31272198901.000000,31272198901.000000,,346944901743.000000,,91767887200.000000,232182177.000000,807255496616.000000,12974975139.000000,,912230541132.000000,,1259175442875.000000,7341430976.000000
12M 2015,,,5104533709.000000,,411567733678.000000,397467569273.000000,14100164405.000000,411567733678.000000,2358443609.000000,83987840161.000000,,6159455829.000000,509178006986.000000,,6902682129.000000,884792151368.000000,29906634971.000000,921601468468.000000,,1430779475454.000000,,,498857920866.000000,55297387699.000000,,187557323358.000000,3559589517.000000,96718932052.000000,7582869767.000000,,6923076924.000000,141218741549.000000,,,148141818473.000000,,,498857920866.000000,37193077532.000000,,3461538458.000000,,,,3461538458.000000,,33731539074.000000,37193077532.000000,,536050998398.000000,,91767887200.000000,232182177.000000,789692468198.000000,14303559430.000000,-1267619949.000000,894728477056.000000,,1430779475454.000000,7341430976.000000
12M 2016,,,3165484220.000000,,460909608031.000000,442233969661.000000,18675638370.000000,460909608031.000000,2135778219.000000,168265862770.000000,,8415312673.000000,642892045913.000000,,10376393708.000000,858698468313.000000,31249391212.000000,900324253233.000000,,1543216299146.000000,,,476631150852.000000,102454590953.000000,81863860.000000,206152925328.000000,4566974562.000000,104013583368.000000,22439196910.000000,,24898530476.000000,12023485395.000000,,,36922015871.000000,,,476631150852.000000,118496947035.000000,,75071443833.000000,,,,75071443833.000000,,43425503202.000000,118496947035.000000,,595128097887.000000,,91767887200.000000,661790808.000000,840962177316.000000,14696345935.000000,,948088201259.000000,,1543216299146.000000,7341430976.000000
12M 2017,,,59531055920.000000,,525510258284.000000,502676230333.000000,22834027951.000000,525510258284.000000,2152202872.000000,150201267307.000000,,2795739863.000000,740190524246.000000,,11641710201.000000,833704877050.000000,15809450076.000000,861156037327.000000,,1601346561573.000000,,,455152838360.000000,51357288546.000000,760090706.000000,212601679994.000000,19118748908.000000,117994410775.000000,29137643758.000000,,24182975673.000000,,,,24182975673.000000,,,455152838360.000000,116793930674.000000,,60499410955.000000,,,,60499410955.000000,5010985980.000000,51283533739.000000,116793930674.000000,,571946769034.000000,,91767887200.000000,661790808.000000,921185324412.000000,15784790119.000000,,1029399792539.000000,,1601346561573.000000,7341430976.000000
