Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.27,308.63,1.27,308.63,113 B,176 B,226 B,279 B,(64 B)
12M 2009,0.79,186.62,0.79,186.62,126 B,205 B,145 B,328 B,(54 B)
12M 2010,1.31,222.69,1.31,222.69,137 B,137 B,60 B,234 B,(9 B)
12M 2011,1.40,259.30,1.40,259.30,102 B,74 B,176 B,166 B,4 B
12M 2012,5.05,324.55,5.05,324.55,72 B,32 B,104 B,59 B,46 B
12M 2013,7.95,103.17,7.95,103.17,33 B,25 B,59 B,27 B,93 B
12M 2014,7.10,122.49,7.10,122.49,49 B,,49 B,1 B,192 B
12M 2015,4.17,119.93,4.17,119.93,203 B,3 B,207 B,202 B,10 B
12M 2016,4.09,127.14,4.09,127.14,139 B,75 B,215 B,211 B,166 B
12M 2017,2.48,138.07,2.48,138.07,76 B,60 B,137 B,77 B,285 B
12M 2018,2.86,147.04,2.86,147.04,65 B,30 B,95 B,(98 B),351 B
12M 2019,2.76,157.76,2.76,157.76,47 B,,47 B,(302 B),414 B
12M 2020,3.89,174.90,3.89,174.90,30 B,,30 B,(406 B),581 B
12M 2021,3.79,210.90,3.79,210.90,20 B,,20 B,(583 B),847 B
12M 2022,4.05,245.74,4.05,245.74,50 B,,50 B,(388 B),916 B
12M 2023,2.68,248.39,2.68,248.39,124 B,49 B,173 B,(268 B),922 B
12M 2024,2.75,251.13,2.75,251.13,107 B,,107 B,(285 B),788 B
