Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Provisi Dan Komisi,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Keuntungan Penjualan Efek-Efek,Keuntungan Transaksi Mata Uang Asing,Provisi Dan Komisi Lainnya,Others,Total Provisi Dan Komisi Lainnya,Adjustment,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Provisi Dan Komisi Lainnya,Laba (Rugi) Selisih Kurs,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,616770000000.000000,599865000000.000000,16905000000.000000,616770000000.000000,-751184000000.000000,-750377000000.000000,-807000000.000000,-751184000000.000000,-134414000000.000000,-6815547000000.000000,,-46949000000.000000,153829000000.000000,,29476000000.000000,29476000000.000000,,7294000000.000000,143650000000.000000,,,,-259870000000.000000,-137529000000.000000,-6561798000000.000000,-6959197000000.000000,-6815547000000.000000,-6949961000000.000000,-230723000000.000000,22864000000.000000,-253587000000.000000,-230723000000.000000,-7180684000000.000000,-100466000000.000000,,-100466000000.000000,-100466000000.000000,-7281150000000.000000,,,,,-7281150000000.000000,-7281150000000.000000,,-7281150000000.000000,,,,
12M 2009,556820000000.000000,544213000000.000000,12607000000.000000,556820000000.000000,-475715000000.000000,-473362000000.000000,-2353000000.000000,-475715000000.000000,81105000000.000000,161743000000.000000,,47407000000.000000,146721000000.000000,,17548000000.000000,17548000000.000000,,7385000000.000000,219061000000.000000,,,,-139423000000.000000,-115521000000.000000,197626000000.000000,-57318000000.000000,161743000000.000000,242848000000.000000,3441000000.000000,16852000000.000000,-13411000000.000000,3441000000.000000,246289000000.000000,19194000000.000000,,19194000000.000000,19194000000.000000,265483000000.000000,,,,,265483000000.000000,265483000000.000000,,265483000000.000000,,,,
12M 2010,715423000000.000000,695301000000.000000,20122000000.000000,715423000000.000000,-574249000000.000000,-573757000000.000000,-492000000.000000,-574249000000.000000,141174000000.000000,81485000000.000000,,79210000000.000000,2381000000.000000,,4489000000.000000,4489000000.000000,,6540000000.000000,92620000000.000000,,,,-143701000000.000000,-150121000000.000000,282687000000.000000,-11135000000.000000,81485000000.000000,222659000000.000000,-4418000000.000000,3939000000.000000,-8357000000.000000,-4418000000.000000,218241000000.000000,-278000000.000000,,-278000000.000000,-278000000.000000,217963000000.000000,,,,,217963000000.000000,217963000000.000000,,217963000000.000000,,,,
12M 2011,1058443000000.000000,1058443000000.000000,,1058443000000.000000,-828832000000.000000,-828832000000.000000,,-828832000000.000000,229611000000.000000,6104000000.000000,,44656000000.000000,10410000000.000000,,7377000000.000000,7377000000.000000,,8370000000.000000,70813000000.000000,,,,-177037000000.000000,-159783000000.000000,272111000000.000000,-64709000000.000000,6104000000.000000,235715000000.000000,7572000000.000000,9082000000.000000,-1510000000.000000,7572000000.000000,243287000000.000000,17158000000.000000,,17158000000.000000,17158000000.000000,260445000000.000000,-32741000000.000000,-32741000000.000000,-32741000000.000000,227704000000.000000,260445000000.000000,260445000000.000000,,260445000000.000000,227704000000.000000,227704000000.000000,,227704000000.000000
12M 2012,1299553000000.000000,1299553000000.000000,,1299553000000.000000,-857771000000.000000,-857771000000.000000,,-857771000000.000000,441782000000.000000,-309396000000.000000,,7095000000.000000,-10312000000.000000,,12794000000.000000,12794000000.000000,,50465000000.000000,60042000000.000000,,,,-147227000000.000000,-195175000000.000000,-27036000000.000000,-369438000000.000000,-309396000000.000000,132386000000.000000,11695000000.000000,45490000000.000000,-33795000000.000000,11695000000.000000,144081000000.000000,1514000000.000000,,,1514000000.000000,145595000000.000000,-258000000.000000,-258000000.000000,-258000000.000000,145337000000.000000,145595000000.000000,145595000000.000000,,145595000000.000000,145337000000.000000,145337000000.000000,,145337000000.000000
12M 2013,1322339000000.000000,1322339000000.000000,,1322339000000.000000,-1028649000000.000000,-1028649000000.000000,,-1028649000000.000000,293690000000.000000,-1463352000000.000000,,-9585000000.000000,-71082000000.000000,,17225000000.000000,17225000000.000000,,47815000000.000000,-15627000000.000000,,,,-176515000000.000000,-227425000000.000000,-1043785000000.000000,-1447725000000.000000,-1463352000000.000000,-1169662000000.000000,56686000000.000000,114709000000.000000,-58023000000.000000,56686000000.000000,-1112976000000.000000,-23069000000.000000,,,-23069000000.000000,-1136045000000.000000,17669000000.000000,17669000000.000000,17669000000.000000,-1118376000000.000000,-1136045000000.000000,-1136045000000.000000,,-1136045000000.000000,-1118376000000.000000,-1118376000000.000000,,-1118376000000.000000
12M 2014,1194273000000.000000,1194273000000.000000,,1194273000000.000000,-1128672000000.000000,-1128672000000.000000,,-1128672000000.000000,65601000000.000000,-565411000000.000000,,3977000000.000000,20023000000.000000,,15317000000.000000,15317000000.000000,,36527000000.000000,75844000000.000000,,,,-219575000000.000000,-254109000000.000000,-167571000000.000000,-641255000000.000000,-565411000000.000000,-499810000000.000000,-170124000000.000000,15284000000.000000,-185408000000.000000,-170124000000.000000,-669934000000.000000,7928000000.000000,,,7928000000.000000,-662006000000.000000,6574000000.000000,6574000000.000000,6574000000.000000,-655432000000.000000,-662006000000.000000,-662006000000.000000,,-662006000000.000000,-655432000000.000000,-655432000000.000000,,-655432000000.000000
12M 2015,1070951000000.000000,1070951000000.000000,,1070951000000.000000,-922087000000.000000,-922087000000.000000,,-922087000000.000000,148864000000.000000,-796202000000.000000,,2020000000.000000,19868000000.000000,,18040000000.000000,18040000000.000000,,46935000000.000000,86863000000.000000,,,,-207485000000.000000,-332524000000.000000,-343056000000.000000,-883065000000.000000,-796202000000.000000,-647338000000.000000,-4412000000.000000,69896000000.000000,-74308000000.000000,-4412000000.000000,-651750000000.000000,-24260000000.000000,,-24260000000.000000,-24260000000.000000,-676010000000.000000,-24855000000.000000,-24855000000.000000,-24855000000.000000,-700865000000.000000,-676010000000.000000,-676010000000.000000,,-676010000000.000000,-700865000000.000000,-700865000000.000000,,-700865000000.000000
12M 2016,1342635000000.000000,1342635000000.000000,,1342635000000.000000,-956993000000.000000,-956993000000.000000,,-956993000000.000000,385642000000.000000,-856282000000.000000,,24700000000.000000,10467000000.000000,,16846000000.000000,16846000000.000000,,34365000000.000000,86378000000.000000,,,,-212660000000.000000,-276357000000.000000,-453643000000.000000,-942660000000.000000,-856282000000.000000,-470640000000.000000,-241548000000.000000,14697000000.000000,-256245000000.000000,-241548000000.000000,-712188000000.000000,-6534000000.000000,,-6534000000.000000,-6534000000.000000,-718722000000.000000,73832000000.000000,73832000000.000000,73832000000.000000,-644890000000.000000,-718722000000.000000,-718722000000.000000,,-718722000000.000000,-644890000000.000000,-644890000000.000000,,-644890000000.000000
12M 2017,1500646000000.000000,1500646000000.000000,,1500646000000.000000,-1017045000000.000000,-1017045000000.000000,,-1017045000000.000000,483601000000.000000,-370616000000.000000,,,31005000000.000000,,17621000000.000000,17621000000.000000,,88693000000.000000,137319000000.000000,,,,-257840000000.000000,-248521000000.000000,-1574000000.000000,-507935000000.000000,-370616000000.000000,112985000000.000000,5414000000.000000,103992000000.000000,-98578000000.000000,5414000000.000000,118399000000.000000,3135000000.000000,3135000000.000000,,3135000000.000000,121534000000.000000,37527000000.000000,37527000000.000000,37527000000.000000,159061000000.000000,121534000000.000000,121534000000.000000,,121534000000.000000,159061000000.000000,159061000000.000000,,159061000000.000000
