Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,4.34,,0.06,,,0.0
12M 2009,,,,,,,,,4.09,4.29,0.08,0.08,,,0.0
12M 2010,,,,,,,,,6.36,6.58,0.08,0.07,,,0.0
12M 2011,,,,,,,,,10.43,9.77,0.09,0.08,,,0.0
12M 2012,,,,,,,,,8.57,8.76,0.09,0.09,,,0.0
12M 2013,,,,,,,,,6.48,6.58,0.09,0.09,,,0.0
12M 2014,,,,,,,,,5.71,5.84,0.09,0.09,,,0.0
12M 2015,,,,,,,,,5.87,6.68,0.08,0.08,,,0.0
12M 2016,,,,,,,,,7.06,6.12,0.09,0.09,,,0.0
12M 2017,,,,,,,,,6.77,13.43,0.09,0.17,,,0.0
12M 2018,,,,,,,,,6.83,14.7,0.08,0.16,,,0.0
12M 2019,,,,,,,,,5.76,5.64,0.06,0.07,,,0.0
12M 2020,,,,,,,,,4.98,3.27,0.06,0.06,,,0.0
12M 2021,,,,,,,,,5.13,5.11,0.05,0.05,,,0.0
12M 2022,,,,,,,,,8.22,7.91,0.06,0.05,,,0.0
12M 2023,,,,,,,,,11.56,11.54,0.07,0.07,,,0.0
12M 2024,,,,,,,,,9.16,9.07,0.08,0.07,,,0.0
