Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Aset Tetap,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Liabilitas Derivatif,Liabilitas Akseptasi,Pinjaman Yang Diterima,Utang Pajak,Beban Akrual,Pihak Berelasi,Pihak Ketiga,Total Beban Akrual,Obligasi Subordinasi,Obligasi Konversi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,118578000000.000000,191885000000.000000,,370749000000.000000,,370749000000.000000,3531385000000.000000,,,,3531385000000.000000,,,,,142083000000.000000,,142083000000.000000,77869000000.000000,1153341000000.000000,5585890000000.000000,,,77762000000.000000,5116022000000.000000,16250000000.000000,5099772000000.000000,5116022000000.000000,284726000000.000000,,293883000000.000000,690964000000.000000,8161000000.000000,,,,,,163064000000.000000,486732000000.000000,7121314000000.000000,,2211314000000.000000,178759000000.000000,-8903713000000.000000,,,-8903713000000.000000,,4978216000000.000000,-1535424000000.000000,5585890000000.000000,1.000000
12M 2009,,150558000000.000000,249172000000.000000,,448969000000.000000,,448969000000.000000,3418595000000.000000,,,,3418595000000.000000,,,,,130527000000.000000,,130527000000.000000,79126000000.000000,3054198000000.000000,7531145000000.000000,,,16595000000.000000,5949459000000.000000,5448000000.000000,5944011000000.000000,5949459000000.000000,315335000000.000000,32000000.000000,10226000000.000000,,10138000000.000000,,,,,,140925000000.000000,519326000000.000000,6962036000000.000000,,8973675000000.000000,178759000000.000000,-8638230000000.000000,,,-8638230000000.000000,,54905000000.000000,569109000000.000000,7531145000000.000000,1.000000
12M 2010,,173192000000.000000,610956000000.000000,,2074343000000.000000,,2074343000000.000000,5012936000000.000000,,,,5012936000000.000000,,24687000000.000000,24687000000.000000,,94597000000.000000,,94597000000.000000,94114000000.000000,2699061000000.000000,10783886000000.000000,,,6411000000.000000,8900800000000.000000,29055000000.000000,8871745000000.000000,8900800000000.000000,363091000000.000000,,3793000000.000000,,12766000000.000000,,,,,,135150000000.000000,587681000000.000000,10009692000000.000000,,8973675000000.000000,178759000000.000000,-8412323000000.000000,,,-8412323000000.000000,,34083000000.000000,774194000000.000000,10783886000000.000000,1.000000
12M 2011,,140997000000.000000,984119000000.000000,,1245654000000.000000,,1245654000000.000000,9140800000000.000000,,,,9140800000000.000000,,20981000000.000000,20981000000.000000,,108427000000.000000,,108427000000.000000,111272000000.000000,1374948000000.000000,13127198000000.000000,,,8934000000.000000,11199975000000.000000,36574000000.000000,11163401000000.000000,11199975000000.000000,425695000000.000000,9000000.000000,37670000000.000000,,17239000000.000000,,,,,,136013000000.000000,299765000000.000000,12125300000000.000000,,8973675000000.000000,178759000000.000000,-8151878000000.000000,,,-8151878000000.000000,,1342000000.000000,1001898000000.000000,13127198000000.000000,1.000000
12M 2012,,166298000000.000000,1012601000000.000000,,1532117000000.000000,,1532117000000.000000,,8788000000.000000,11139262000000.000000,-201703000000.000000,10946347000000.000000,,26384000000.000000,26384000000.000000,,206941000000.000000,-12076000000.000000,194865000000.000000,112786000000.000000,1248693000000.000000,15240091000000.000000,,,10808000000.000000,13461508000000.000000,47753000000.000000,13413755000000.000000,13461508000000.000000,14276000000.000000,80000000.000000,109599000000.000000,,16539000000.000000,,,,,,144563000000.000000,238772000000.000000,13996145000000.000000,,8973675000000.000000,178759000000.000000,-8003589000000.000000,-8004591000000.000000,1002000000.000000,-8003589000000.000000,,95101000000.000000,1243946000000.000000,15240091000000.000000,1.000000
12M 2013,,246398000000.000000,2446981000000.000000,,157001000000.000000,,157001000000.000000,,8895000000.000000,11122912000000.000000,-1003491000000.000000,10128316000000.000000,,29115000000.000000,29115000000.000000,,218880000000.000000,-5584000000.000000,213296000000.000000,98202000000.000000,1256785000000.000000,14576094000000.000000,,,9749000000.000000,11558081000000.000000,44981000000.000000,11513100000000.000000,11558081000000.000000,1063369000000.000000,1606000000.000000,65105000000.000000,,23412000000.000000,,,,,,182550000000.000000,297172000000.000000,13201044000000.000000,,8973675000000.000000,178759000000.000000,-9134837000000.000000,,,-9134837000000.000000,,1357453000000.000000,1375050000000.000000,14576094000000.000000,1.000000
12M 2014,,221699000000.000000,1321263000000.000000,,1435819000000.000000,,1435819000000.000000,,6212000000.000000,7838090000000.000000,-609630000000.000000,7234672000000.000000,,31405000000.000000,31405000000.000000,,224982000000.000000,-20331000000.000000,204651000000.000000,103939000000.000000,2128573000000.000000,12682021000000.000000,,,6077000000.000000,11026739000000.000000,24736000000.000000,11002003000000.000000,11026739000000.000000,48745000000.000000,126000000.000000,47756000000.000000,,19186000000.000000,,,,,,185775000000.000000,327999000000.000000,11662403000000.000000,,10223155000000.000000,178759000000.000000,-9793325000000.000000,,,-9793325000000.000000,,411029000000.000000,1019618000000.000000,12682021000000.000000,1.000000
12M 2015,,212799000000.000000,880957000000.000000,,462095000000.000000,,462095000000.000000,,161297000000.000000,9205924000000.000000,-190642000000.000000,9176579000000.000000,,29428000000.000000,29428000000.000000,,183287000000.000000,-23217000000.000000,160070000000.000000,94831000000.000000,2166744000000.000000,13183503000000.000000,,,8844000000.000000,11020779000000.000000,121133000000.000000,10899646000000.000000,11020779000000.000000,378494000000.000000,53000000.000000,46211000000.000000,,21623000000.000000,52793000000.000000,958000000.000000,51835000000.000000,52793000000.000000,344625000000.000000,206775000000.000000,105153000000.000000,12185350000000.000000,,11223155000000.000000,178759000000.000000,-10477858000000.000000,1002000000.000000,-10478860000000.000000,-10477858000000.000000,,74097000000.000000,998153000000.000000,13183503000000.000000,1.000000
12M 2016,,127767000000.000000,1018931000000.000000,,319929000000.000000,,319929000000.000000,,8206000000.000000,10689859000000.000000,,10698065000000.000000,29614000000.000000,,29614000000.000000,220045000000.000000,,,220045000000.000000,82319000000.000000,3568633000000.000000,16065303000000.000000,,,60015000000.000000,11664889000000.000000,53254000000.000000,11611635000000.000000,11664889000000.000000,1758015000000.000000,2052000000.000000,23146000000.000000,,9956000000.000000,418752000000.000000,1333000000.000000,417419000000.000000,418752000000.000000,336813000000.000000,202088000000.000000,236314000000.000000,14712040000000.000000,,11223155000000.000000,178759000000.000000,-11172582000000.000000,1002000000.000000,-11173584000000.000000,-11172582000000.000000,,1123931000000.000000,1353263000000.000000,16065303000000.000000,1.000000
12M 2017,,181457000000.000000,885824000000.000000,514950000000.000000,,,514950000000.000000,,47899000000.000000,11233962000000.000000,,11281861000000.000000,,27200000000.000000,27200000000.000000,223484000000.000000,,,223484000000.000000,72945000000.000000,3983460000000.000000,17171181000000.000000,,,66088000000.000000,12904620000000.000000,120767000000.000000,12783853000000.000000,12904620000000.000000,1485561000000.000000,411000000.000000,5608000000.000000,,15561000000.000000,288229000000.000000,1684000000.000000,286545000000.000000,288229000000.000000,339188000000.000000,203513000000.000000,350078000000.000000,15658857000000.000000,,12223155000000.000000,178759000000.000000,-11050087000000.000000,1002000000.000000,-11051089000000.000000,-11050087000000.000000,,160497000000.000000,1512324000000.000000,17171181000000.000000,1.000000
