Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,115202647743.000000,,115202647743.000000,-105961732194.000000,-105961732194.000000,-105961732194.000000,9240915549.000000,-1200572609.000000,30752819.000000,-1237504838.000000,6179410.000000,-1200572609.000000,8040342940.000000,-3072327414.000000,4968015526.000000,549604824.000000,5517620350.000000,4968015526.000000,4748365945.000000,219649581.000000,4968015526.000000,5517620350.000000,5297970769.000000,219649581.000000,,5517620350.000000
12M 2019,215208687512.000000,,215208687512.000000,-214987847312.000000,-214987847312.000000,-214987847312.000000,220840200.000000,8540690878.000000,9169578451.000000,-821190777.000000,192303204.000000,8540690878.000000,8761531078.000000,-1385563985.000000,7375967093.000000,3626528039.000000,11002495132.000000,7375967093.000000,7076236237.000000,299730856.000000,7375967093.000000,11002495132.000000,10707535268.000000,294959864.000000,,11002495132.000000
12M 2020,76418524906.000000,,76418524906.000000,-157477859333.000000,-157477859333.000000,-157477859333.000000,-81059334427.000000,78927770197.000000,17841453662.000000,-1216551542.000000,62302868077.000000,78927770197.000000,-2131564230.000000,5474074526.000000,3342510296.000000,-1830467923.000000,1512042373.000000,3342510296.000000,5225575946.000000,-1883065650.000000,3342510296.000000,1512042373.000000,3399020724.000000,-1886978351.000000,,1512042373.000000
12M 2021,198617399174.000000,,198617399174.000000,-189954197427.000000,-189954197427.000000,-189954197427.000000,8663201747.000000,179533044941.000000,8827131191.000000,-467330475.000000,171173244225.000000,179533044941.000000,188196246688.000000,6001019784.000000,194197266472.000000,-2049832541.000000,192147433931.000000,194197266472.000000,191643876763.000000,2553389709.000000,194197266472.000000,192147433931.000000,189590006259.000000,2557427672.000000,,192147433931.000000
12M 2022,353135773784.000000,-12557007043.000000,340578766741.000000,-319679638250.000000,-319679638250.000000,-319679638250.000000,20899128491.000000,11634780896.000000,5521729738.000000,-1093820555.000000,7206871713.000000,11634780896.000000,32533909387.000000,-14559303386.000000,17974606001.000000,-236542575.000000,17738063426.000000,17974606001.000000,16402194445.000000,1572411556.000000,17974606001.000000,17738063426.000000,16173193151.000000,1564870275.000000,,17738063426.000000
12M 2023,363338259016.000000,,363338259016.000000,-437912102877.000000,-437912102877.000000,-437912102877.000000,-74573843861.000000,76549064904.000000,4069061550.000000,-1240781519.000000,73720784873.000000,76549064904.000000,1975221043.000000,-3719096561.000000,-1743875518.000000,-384395935.000000,-2128271453.000000,-1743875518.000000,-3713465716.000000,1969590198.000000,-1743875518.000000,-2128271453.000000,-4083258608.000000,1954987155.000000,,-2128271453.000000
12M 2024,335004992448.000000,,335004992448.000000,-364212120992.000000,-364212120992.000000,-364212120992.000000,-29207128544.000000,-10948991028.000000,3439709514.000000,-1220817126.000000,-13167883416.000000,-10948991028.000000,-40156119572.000000,-3820621899.000000,-43976741471.000000,1712951853.000000,-42263789618.000000,-43976741471.000000,-40859551956.000000,-3117189515.000000,-43976741471.000000,-42263789618.000000,-39451469038.000000,-2812320580.000000,,-42263789618.000000
