Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Beban Operasional Lainnya,Pembayaran Untuk Pajak Penghasilan Badan,Penerimaan Penghasilan Bunga,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penjualan Aset Tetap,Penjualan Koin Kripto,Penerimaan Bunga,Penerimaan Kas Lainnya Dari Aktivitas Investasi,Penempatan Piutang Lain-Lain,Penempatan Investasi Jangka Panjang,Penempatan Investasi Jangka Pendek,Penarikan Investasi Jangka Pendek,Penempatan Deposito Berjangka,Penempatan Investasi Pada Entitas Asosiasi,Penjualan Investasi Pada Entitas Asosiasi,Penempatan Investasi Pada Entitas Anak,Renovasi Stadion,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perubahan Piutang Pihak Berelasi,Penerimaan Piutang Pihak Berelasi,Penerimaan Utang Lain-Lain,Pembayaran Utang Lain,Pembayaran Pinjaman Pihak Berelasi,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Dividen,Penerimaan Modal Disetor,Setoran Modal Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-20025442210.000000,104270291801.000000,-72143044345.000000,-45998039360.000000,,-1070305810.000000,,-5084344496.000000,-20025442210.000000,-40067686465.000000,-14771899541.000000,,,,30752819.000000,,,,-43000000000.000000,24000000000.000000,,,,,-6326539743.000000,-40067686465.000000,65429796089.000000,3084533333.000000,,-13200000000.000000,,-7750000000.000000,-915263244.000000,,84210526000.000000,,65429796089.000000,5336667414.000000,915875604.000000,6252543018.000000
12M 2019,-12455140951.000000,153669005992.000000,-101438356493.000000,-60064143380.000000,,-3833656293.000000,,-787990777.000000,-12455140951.000000,-108231687322.000000,-20805173194.000000,,,,8629516643.000000,,,,-137900000000.000000,47521364605.000000,,-5192000000.000000,,,-485395376.000000,-108231687322.000000,337013131093.000000,855000000.000000,,-376067264.000000,,,-1232201592.000000,,337766399949.000000,,337013131093.000000,216326302820.000000,6252543018.000000,222578845838.000000
12M 2020,-28029578432.000000,129715448546.000000,-98091670843.000000,-55965383901.000000,,-1643220692.000000,,-2044751542.000000,-28029578432.000000,-20873354305.000000,-40906940451.000000,-11215806610.000000,1792000000.000000,,17841453662.000000,,,,-431744372778.000000,443360311872.000000,,,,,,-20873354305.000000,2553268696.000000,2135000000.000000,,,,,-4231731304.000000,,,4650000000.000000,2553268696.000000,-46349664041.000000,222578845838.000000,176229181797.000000
12M 2021,-90862775551.000000,161860708379.000000,-202066689172.000000,-48238137255.000000,,-1951327028.000000,,-467330475.000000,-90862775551.000000,72154191111.000000,-13009340407.000000,-5807715722.000000,,,67535979669.000000,,-1712281200.000000,-16000000000.000000,-1197572670725.000000,1246520219496.000000,,-7800000000.000000,,,,72154191111.000000,36158319957.000000,3956252510.000000,,,,,-4297932553.000000,,,36500000000.000000,36158319957.000000,17449735517.000000,176229181797.000000,193678917314.000000
12M 2022,-28840294484.000000,301570172991.000000,-34942898135.000000,-115419620070.000000,-177136394166.000000,-7339464287.000000,5521729738.000000,-1093820555.000000,-28840294484.000000,-88914134193.000000,-22436667343.000000,-257151796.000000,,,,,-3017967051.000000,-39813097125.000000,-274195131536.000000,299430880658.000000,-47625000000.000000,,,-1000000000.000000,,-88914134193.000000,-9154792816.000000,,,,-79116371.000000,,-4575676445.000000,-6000000000.000000,,1500000000.000000,-9154792816.000000,-126909221493.000000,193553917314.000000,66644695821.000000
12M 2023,-1978370194.000000,378043371116.000000,-291354414854.000000,-78652421839.000000,,-8774123099.000000,,-1240781518.000000,-1978370194.000000,-83181185962.000000,-59243199199.000000,-3637711370.000000,,,3727215150.000000,,,,-254872101525.000000,232744610982.000000,,-3500000000.000000,1600000000.000000,,,-83181185962.000000,11294971452.000000,,,,-1866350067.000000,,-1838678481.000000,,,15000000000.000000,11294971452.000000,-73864584704.000000,114394695821.000000,40530111117.000000
12M 2024,-12299244143.000000,331373432008.000000,-234127235739.000000,-103714262347.000000,,-4610360939.000000,,-1220817126.000000,-12299244143.000000,21052825140.000000,-1882546881.000000,-1125869459.000000,554049137.000000,19829575665.000000,525105217.000000,,,,-24460406336.000000,28812917797.000000,,-1200000000.000000,,,,21052825140.000000,-6708723679.000000,,,,-4039680806.000000,,-7307042873.000000,,,4638000000.000000,-6708723679.000000,4959461615.000000,40530111117.000000,45489572732.000000
