Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Usaha,Piutang Lain-Lain,Aset Pajak Tangguhan,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Pembibitan,Total Tanaman Perkebunan,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Liabilitas Keuangan Lainnya,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Keuangan Lainnya,Utang Usaha,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembelian Kendaraan,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,28189501541.000000,300000000.000000,2170313792.000000,2170313792.000000,2170313792.000000,8553511534.000000,8553511534.000000,,8553511534.000000,3405314759.000000,28001716278.000000,70620357904.000000,,608810.000000,,,81141178.000000,222700059794.000000,63666529246.000000,136706751949.000000,22326778599.000000,222700059794.000000,154117001984.000000,837450368.000000,9087277817.000000,386823539951.000000,457443897855.000000,,,2779217064.000000,,,,21574000.000000,21574000.000000,,1087715604.000000,,1087715604.000000,485750001.000000,864880472.000000,,,233929084.000000,85367903.000000,319296987.000000,,2779217064.000000,232029310944.000000,,,230871958377.000000,,,,,560270916.000000,132734766.000000,693005682.000000,464346885.000000,232029310944.000000,234808528008.000000,,200000000000.000000,2369114189.000000,-1941164098.000000,,,-1941164098.000000,22687862594.000000,,-480442838.000000,222635369847.000000,457443897855.000000,2000000000.000000
12M 2011,,,3581330570.000000,570000000.000000,1282358378.000000,1282358378.000000,1282358378.000000,1444392542.000000,1444392542.000000,,1444392542.000000,2811488776.000000,60293611547.000000,69983181813.000000,,96750615.000000,,,445195077.000000,322204126115.000000,60129499851.000000,232669074698.000000,29405551566.000000,322204126115.000000,292449956378.000000,837450368.000000,8742692402.000000,624776170955.000000,694759352768.000000,,,15384948430.000000,,,,,,,14032929862.000000,,14032929862.000000,116328244.000000,516348903.000000,,,626040119.000000,93301302.000000,719341421.000000,,15384948430.000000,453916361657.000000,,,449970682253.000000,2177041800.000000,,,,1005688951.000000,47959864.000000,1053648815.000000,714988789.000000,453916361657.000000,469301310087.000000,,200000000000.000000,1404651408.000000,1196347666.000000,,,1196347666.000000,23337486445.000000,,-480442838.000000,225458042681.000000,694759352768.000000,2000000000.000000
12M 2012,,,5309550926.000000,600000000.000000,2980830192.000000,2980830192.000000,2980830192.000000,3241356426.000000,3241356426.000000,,3241356426.000000,5856051814.000000,59785328244.000000,77773117602.000000,,4506119232.000000,,,581964963.000000,459101582070.000000,56592470451.000000,333806615595.000000,68702496024.000000,459101582070.000000,405064733320.000000,837450368.000000,2220912753.000000,872312762706.000000,950085880308.000000,,,398254121497.000000,350000000000.000000,2362799131.000000,,47449700.000000,47449700.000000,,42287687926.000000,,42287687926.000000,723994454.000000,1992084208.000000,,,792146214.000000,47959864.000000,840106078.000000,,398254121497.000000,25793235047.000000,,,19286351490.000000,4843502492.000000,,,,300523697.000000,,300523697.000000,1362857368.000000,25793235047.000000,424047356544.000000,,500000000000.000000,,2788193969.000000,,,2788193969.000000,23251810871.000000,,-1481076.000000,526038523764.000000,950085880308.000000,5000000000.000000
12M 2013,,,4195681301.000000,587895949.000000,4006874189.000000,4006874189.000000,4006874189.000000,2833223611.000000,2832952096.000000,271515.000000,2833223611.000000,11772426827.000000,30806470237.000000,54202572114.000000,,742129088.000000,,,,540165479890.000000,61714271515.000000,361332734412.000000,117118473963.000000,540165479890.000000,573404832014.000000,837450368.000000,64281343453.000000,1179431234813.000000,1233633806927.000000,,,147267025854.000000,,,,7511531076.000000,7511531076.000000,,53371256542.000000,63366426360.000000,116737682902.000000,8980448487.000000,1555299913.000000,,,845432497.000000,11248814039.000000,12094246536.000000,387816940.000000,147267025854.000000,139793806031.000000,,,,2033924296.000000,,,,98614432.000000,109268903736.000000,109367518168.000000,28392363567.000000,139793806031.000000,287060831885.000000,,900000000000.000000,19906085643.000000,2904191848.000000,,,2904191848.000000,23044346464.000000,,718351087.000000,946572975042.000000,1233633806927.000000,9000000000.000000
12M 2014,,,913719377.000000,587895949.000000,,,,2432255859.000000,2432255859.000000,,2432255859.000000,6147503149.000000,25690037477.000000,35771411811.000000,,8432049459.000000,,,,577332017173.000000,199686521300.000000,364122892791.000000,13522603082.000000,577332017173.000000,553833089465.000000,837450368.000000,63516831252.000000,1203951437717.000000,1239722849528.000000,,,196840231920.000000,,,,3310322540.000000,3310322540.000000,,60485437133.000000,73049195116.000000,133534632249.000000,8546079496.000000,988948093.000000,,,521184000.000000,49939065542.000000,50460249542.000000,,196840231920.000000,125445849615.000000,,,,901870349.000000,,,,66489136.000000,97356224898.000000,97422714034.000000,27121265232.000000,125445849615.000000,322286081535.000000,,900000000000.000000,19906085643.000000,-26140093892.000000,,,-26140093892.000000,22952425156.000000,,718351087.000000,917436767994.000000,1239722849529.000000,9000000000.000000
12M 2015,,,60326924.000000,,,,,2578886409.000000,2578886409.000000,,2578886409.000000,5745818561.000000,19312570009.000000,27697601903.000000,,,,,,692766984209.000000,163020686281.000000,516003518852.000000,13742779076.000000,692766984209.000000,378479099580.000000,,52804995649.000000,1124051079438.000000,1151748681341.000000,,,201364507629.000000,,,,16124700.000000,16124700.000000,,71329876381.000000,73349225110.000000,144679101491.000000,6216856863.000000,1256393897.000000,,,8732514.000000,49187298164.000000,49196030678.000000,,201364507629.000000,146382818915.000000,,,,10782144059.000000,,,,,115568644331.000000,115568644331.000000,20032030525.000000,146382818915.000000,347747326544.000000,,900000000000.000000,19906085643.000000,-143805341731.000000,,,-143805341731.000000,26387632808.000000,,1512978077.000000,804001354797.000000,1151748681341.000000,9000000000.000000
12M 2016,,,396286261.000000,,,,,,,,,6567644120.000000,16383966365.000000,23347896746.000000,,2469679470.000000,,4834356494.000000,28900496425.000000,645621062727.000000,,,,645621062727.000000,354955194807.000000,,56347703983.000000,1093128493906.000000,1116476390652.000000,,,220883110573.000000,,,,,,161545477065.000000,,,161545477065.000000,9156830840.000000,929322504.000000,,,,49251480164.000000,49251480164.000000,,220883110573.000000,135323866163.000000,,16124700.000000,,,,,,,115568644331.000000,115568644331.000000,19739097132.000000,135323866163.000000,356206976736.000000,,900000000400.000000,20122210367.000000,-160656672721.000000,-116699357835.000000,-43957314886.000000,-160656672721.000000,,,803875872.000000,760269413918.000000,1116476390654.000000,9000000000.000000
12M 2017,,,309026590.000000,,,,,,,,,3371422665.000000,22078869892.000000,25759319147.000000,,,,21222982850.000000,26068231355.000000,509931414831.000000,,,,509931414831.000000,338120819724.000000,,56347703983.000000,951691152743.000000,977450471890.000000,,,368448712238.000000,,,,,,194473787739.000000,,,194473787739.000000,7742844091.000000,1021034301.000000,,,,165211046107.000000,165211046107.000000,,368448712238.000000,19604398500.000000,,,,,,,,,,,19604398500.000000,19604398500.000000,388053110738.000000,,900000000400.000000,20586528481.000000,-341941072616.000000,,,-341941072616.000000,10441956243.000000,14.000000,309948630.000000,589397361152.000000,977450471890.000000,9000000004.000000
12M 2018,,,1394930070.000000,,4438531378.000000,,4438531378.000000,5123334070.000000,,,5123334070.000000,9581059168.000000,311609194726.000000,332147049412.000000,,,,,27420358270.000000,529055319911.000000,,,,529055319911.000000,360152002307.000000,,52606935788.000000,969234616276.000000,1301381665688.000000,,,271139997723.000000,67352774072.000000,,1826088112.000000,,1826088112.000000,175102299398.000000,,,175102299398.000000,7144739783.000000,6498631750.000000,,11586904762.000000,987616450.000000,640943396.000000,13215464608.000000,,271139997723.000000,520064189492.000000,,,,,,389309523810.000000,,1058337328.000000,119321210762.000000,509689071900.000000,10375117592.000000,520064189492.000000,791204187215.000000,,900000000400.000000,-14391716260.000000,-383945875832.000000,,,-383945875832.000000,8515070165.000000,,,510177478473.000000,1301381665688.000000,9000000004.000000
12M 2019,,,350668174.000000,,2498231494.000000,,2498231494.000000,19405240917.000000,,,19405240917.000000,8731545185.000000,184286757867.000000,215272443637.000000,,,,,69947978650.000000,531245841326.000000,,,,531245841326.000000,406650831623.000000,,57006796530.000000,1064851448129.000000,1280123891766.000000,,,570958597705.000000,243395559632.000000,,2445164936.000000,,2445164936.000000,285390302941.000000,,,285390302941.000000,10134735309.000000,6441082108.000000,,14732142857.000000,1132693546.000000,7286916376.000000,23151752779.000000,,570958597705.000000,336063686433.000000,,,,,,201323214286.000000,,926742953.000000,112499511308.000000,314749468547.000000,21314217886.000000,336063686433.000000,907022284138.000000,,900000000400.000000,-14391716260.000000,-517972659687.000000,,,-517972659687.000000,5465983175.000000,,,373101607628.000000,1280123891766.000000,9000000004.000000
