Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Bank Jangka Pendek,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembelian Aset Tetap,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,4972845584.000000,40239204770.000000,38673285818.000000,1565918952.000000,40239204770.000000,466154019.000000,466154019.000000,,466154019.000000,95865646086.000000,9735119631.000000,151278970090.000000,,94612283276.000000,1486561645.000000,15337885567.000000,111436730488.000000,262715700578.000000,,,134703536261.000000,,14116621585.000000,,14116621585.000000,110815447741.000000,5655591014.000000,712242589.000000,,,3403633332.000000,,3403633332.000000,134703536261.000000,26936019615.000000,,14285076353.000000,,4304024435.000000,18589100788.000000,8346918827.000000,26936019615.000000,161639555876.000000,,40000000000.000000,25871690669.000000,13426333850.000000,,13426333850.000000,13426333850.000000,21778120183.000000,101076144702.000000,262715700578.000000,800000000.000000
12M 2022,,,4920468963.000000,54831985207.000000,53102808880.000000,1729176327.000000,54831985207.000000,549732399.000000,549732399.000000,,549732399.000000,137179893500.000000,9036002585.000000,206518082654.000000,,84248284795.000000,1508277305.000000,15383779476.000000,101140341576.000000,307658424230.000000,,,181881350007.000000,,12347357380.000000,,12347357380.000000,155339616431.000000,5031429971.000000,2152621331.000000,,67475296.000000,3403633332.000000,3539216266.000000,7010324894.000000,181881350007.000000,18220176442.000000,,8526229378.000000,76360023.000000,1198452052.000000,9801041453.000000,8419134989.000000,18220176442.000000,200101526449.000000,,40000000000.000000,25871690669.000000,18647502879.000000,410000000.000000,18237502879.000000,18647502879.000000,23037704233.000000,107556897781.000000,307658424230.000000,800000000.000000
12M 2023,,,2570121355.000000,20192074522.000000,19981020112.000000,211054410.000000,20192074522.000000,510634104.000000,510634104.000000,,510634104.000000,218071396362.000000,13183625326.000000,254527851669.000000,,74113104582.000000,1790182139.000000,14894184605.000000,90797471326.000000,345325322995.000000,,,226092689273.000000,,20407901137.000000,,20407901137.000000,195441714689.000000,2870843988.000000,2863697915.000000,,76360023.000000,3807894064.000000,624277457.000000,4508531544.000000,226092689273.000000,9938559952.000000,,,,636676695.000000,636676695.000000,9301883257.000000,9938559952.000000,236031249225.000000,,40000000000.000000,49739416785.000000,19931729837.000000,410000000.000000,19521729837.000000,19931729837.000000,-377072852.000000,109294073770.000000,345325322995.000000,800000000.000000
12M 2024,,,918209485.000000,94793190279.000000,94399254849.000000,393935430.000000,94793190279.000000,697232257.000000,697232257.000000,,697232257.000000,217742151701.000000,47075480424.000000,361226264146.000000,,66637513685.000000,1848977778.000000,7556618094.000000,76043109557.000000,437269373703.000000,,,248074679187.000000,,10364486466.000000,,10364486466.000000,231271837921.000000,4970839301.000000,1467515499.000000,,,,,,248074679187.000000,10104541472.000000,,,,,,10104541472.000000,10104541472.000000,258179220659.000000,,69500000000.000000,104623471870.000000,5280466041.000000,410000000.000000,4870466041.000000,5280466041.000000,-313784867.000000,179090153044.000000,437269373703.000000,1390000000.000000
