Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Pihak Ketiga Lainnya,Pembayaran Kepada Karyawan,Pembayaran Beban Operasional Lainnya,Pembayaran (Penerimaan) Pajak,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Deposito,Piutang Lain-Lain Dari Pihak Berelasi,Penerimaan,Total Piutang Lain-Lain Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Pembayaran Liabilitas Sewa,Modal Disetor Dari Ipo,Agio Saham Atas Ipo,Biaya Emisi Atas Ipo,Utang Pembelian Aset Tetap,Pembayaran,Total Utang Pembelian Aset Tetap,Utang Lain-Lain Kepada Pihak Berelasi,Penerimaan,Pembayaran,Total Utang Lain-Lain Kepada Pihak Berelasi,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-2204680312.000000,295637097279.000000,-245486908048.000000,-19169374181.000000,-23422128041.000000,-411274129.000000,-9352093192.000000,-2204680312.000000,-17752124084.000000,-17752124084.000000,,,,,-17752124084.000000,19415033454.000000,355278938231.000000,-338461235558.000000,,,,,,,,,,-247604400.000000,-247604400.000000,2844935181.000000,19415033454.000000,-541770942.000000,5514616526.000000,4972845584.000000
12M 2022,-38731871094.000000,367723496508.000000,-338209234805.000000,-17641958141.000000,-36504076478.000000,-696135092.000000,-13403963086.000000,-38731871094.000000,-337817118.000000,-337817118.000000,,,,,-337817118.000000,39017311591.000000,417886251544.000000,-379120929829.000000,,,,,,-143835319.000000,-143835319.000000,,395825195.000000,,395825195.000000,,39017311591.000000,-52376621.000000,4972845584.000000,4920468963.000000
12M 2023,-30698922511.000000,233862704890.000000,-215894192453.000000,-16773999584.000000,-15514922507.000000,-701013069.000000,-15677499788.000000,-30698922511.000000,-149115000.000000,-149115000.000000,,,,,-149115000.000000,28497689903.000000,527352848743.000000,-495372719131.000000,-3544941809.000000,,,,,,,,62502100.000000,,62502100.000000,,28497689903.000000,-2350347608.000000,4920468963.000000,2570121355.000000
12M 2024,-108614589371.000000,247959097531.000000,-284377319057.000000,-34022364196.000000,-16505528793.000000,-3483902607.000000,-18184572249.000000,-108614589371.000000,6852707423.000000,-170000000.000000,,7022707423.000000,,7022707423.000000,6852707423.000000,100109970078.000000,826004939945.000000,-793982710777.000000,-624277457.000000,14500000000.000000,58000000000.000000,-3115944915.000000,,-76360023.000000,-76360023.000000,,,-595676695.000000,-595676695.000000,,100109970078.000000,-1651911870.000000,2570121355.000000,918209485.000000
