Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,(2 B),(18 B),(20 B),-24.95
12M 2022,(39 B),(0 B),(39 B),-48.84
12M 2023,(31 B),(0 B),(31 B),-38.56
12M 2024,(109 B),(0 B),(109 B),-78.26
