Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,303872116071.000000,-235513908676.000000,68358207395.000000,-53463976463.000000,-26521142401.000000,-26942834062.000000,-53463976463.000000,14894230932.000000,-9239849008.000000,-9352093192.000000,112244184.000000,-9239849008.000000,5654381924.000000,25455451.000000,-1421390520.000000,1446845971.000000,,25455451.000000,-2344585403.000000,3335251972.000000,16411152.000000,16411152.000000,16411152.000000,3351663124.000000,3335251972.000000,3335251972.000000,,3335251972.000000,3351663124.000000,3351663124.000000,,3351663124.000000
12M 2022,382316276945.000000,-298009655959.000000,84306620986.000000,-62074975079.000000,-33826918356.000000,-28248056723.000000,-62074975079.000000,22231645907.000000,-14006773662.000000,-13403963086.000000,-602810576.000000,-14006773662.000000,8224872245.000000,-1986817003.000000,-2076985900.000000,90168897.000000,,-1986817003.000000,-1026886212.000000,5211169030.000000,242697837.000000,242697837.000000,242697837.000000,5453866867.000000,5211169030.000000,5211169030.000000,,5211169030.000000,5453866867.000000,5453866867.000000,,5453866867.000000
12M 2023,199222794205.000000,-134214335812.000000,65008458393.000000,-45692471114.000000,-17958725423.000000,-27733745691.000000,-45692471114.000000,19315987279.000000,-16762033923.000000,-15677499788.000000,-1084534135.000000,-16762033923.000000,2553953356.000000,-808501955.000000,-1088072700.000000,279570745.000000,,-808501955.000000,,1745451401.000000,-8275412.000000,-8275412.000000,-8275412.000000,1737175989.000000,1745451401.000000,1745451401.000000,,1745451401.000000,1737175989.000000,1737175989.000000,,1737175989.000000
12M 2024,322560213288.000000,-246934738866.000000,75625474422.000000,-52505684469.000000,-16258997299.000000,-36246687170.000000,-52505684469.000000,23119789953.000000,-20795566903.000000,-18184572249.000000,-2610994654.000000,-20795566903.000000,2324223050.000000,-1975486846.000000,-2052132941.000000,76646095.000000,,-1975486846.000000,,348736204.000000,63287986.000000,63287986.000000,63287986.000000,412024190.000000,348736204.000000,348736204.000000,,348736204.000000,412024190.000000,412024190.000000,,412024190.000000
