Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Untuk Beban Operasional Lainnya,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak Penghasilan,Pembayaran Beban Bunga Dan Keuangan,Penerimaan (Pembayaran) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Tanah Untuk Pengembangan,Perolehan Aset Hak Guna,Perolehan Aset Tak Berwujud,Uang Muka Pembelian Tanah,Pelepasan Tanah Untuk Pengembangan,Penambahan Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Piutang Lain-Lain Pihak Berelasi,Penambahan Piutang Lain-Lain Pihak Berelasi,Penerimaan Setoran Modal,Penerbitan Saham Dengan Penawaran Umum Perdana,Emisi Saham,Penerbitan Saham Dengan Waran,Penerimaan (Pembayaran) Utang Kepada Pihak Berelasi,Penerimaan Utang Kepada Pihak Berelasi,Pembayaran Utang Kepada Pihak Berelasi,Total Penerimaan (Pembayaran) Utang Kepada Pihak Berelasi,Pembayaran Dividen,Perolehan Pinjaman Bank Jangka Panjang,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,30947010059.000000,148378761089.000000,-88629412842.000000,-14072438657.000000,-3041441271.000000,-12014615849.000000,326157589.000000,30947010059.000000,-8013968140.000000,-4101066687.000000,,-3500000000.000000,-412901453.000000,,,,,-8013968140.000000,-18257207181.000000,3832533451.000000,,,,,,,729281919.000000,,729281919.000000,,,3750000000.000000,,,-26281766551.000000,-287256000.000000,-18257207181.000000,4675834738.000000,9030123540.000000,13705958278.000000
12M 2020,6916783231.000000,105297336602.000000,-76687786107.000000,-13317745001.000000,-1438121433.000000,-9341567672.000000,2404666842.000000,6916783231.000000,-1514616383.000000,-1221478441.000000,,-143137942.000000,,,,,-150000000.000000,-1514616383.000000,-12301456422.000000,,-2647298371.000000,,,,,,,-315253936.000000,-315253936.000000,,,,,,-9200900115.000000,-138004000.000000,-12301456422.000000,-6899289574.000000,13705958277.000000,6806668703.000000
12M 2021,20788648006.000000,103438116080.000000,-61858741726.000000,-10095239889.000000,-3261001526.000000,-8311307361.000000,876822428.000000,20788648006.000000,2877017250.000000,-417542100.000000,,-183079150.000000,,-15860000.000000,,3493498500.000000,,2877017250.000000,-15100893915.000000,5508056308.000000,,900000000.000000,,,,,,-11277518223.000000,-11277518223.000000,,,,-3750000000.000000,,-6400000000.000000,-81432000.000000,-15100893915.000000,8564771341.000000,6806666703.000000,15371438044.000000
12M 2022,26291938948.000000,124408389325.000000,-80727404138.000000,-10239342928.000000,-1343175044.000000,-6062841197.000000,256312930.000000,26291938948.000000,-9254596333.000000,-9025732000.000000,200000000.000000,-428864333.000000,,,,,,-9254596333.000000,39532052809.000000,41212707.000000,,,68000000000.000000,-2459614908.000000,,,,-1164641895.000000,-1164641895.000000,,,,-10000000000.000000,,-14300000000.000000,-584903095.000000,39532052809.000000,56569395424.000000,15371438044.000000,71940833468.000000
12M 2023,-4209241494.000000,152032528511.000000,-132834667593.000000,-13130010761.000000,-6360640395.000000,-4561822873.000000,645371617.000000,-4209241494.000000,-20960055421.000000,-1796080133.000000,,,,,-19163975288.000000,,,-20960055421.000000,-6054049277.000000,,,,,,2300250.000000,,,-5836901097.000000,-5836901097.000000,-5867078704.000000,,,,54500000000.000000,-48194000000.000000,-658369726.000000,-6054049277.000000,-31223346192.000000,71940833468.000000,40717487276.000000
12M 2024,-55779943105.000000,155788746875.000000,-171311697246.000000,-17466645545.000000,-19457643012.000000,-3238611574.000000,-94092603.000000,-55779943105.000000,-43841287495.000000,-3137287251.000000,,,,,-40704000244.000000,,,-43841287495.000000,86212382494.000000,,,,,,2500000.000000,,,,,-5888960697.000000,,,,192500000000.000000,-99590000000.000000,-811156809.000000,86212382494.000000,-13408848106.000000,40717487276.000000,27308639170.000000
