Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,105708515708.000000,-38696059902.000000,67012455806.000000,-38813317230.000000,-5447543149.000000,-32754480863.000000,-611293218.000000,-38813317230.000000,28199138576.000000,-21006071215.000000,258325127.000000,3926952.000000,-12014615849.000000,-9253707445.000000,-21006071215.000000,7193067361.000000,-1509696981.000000,,,-1509696981.000000,5683370380.000000,5683370380.000000,-185246688.000000,-185246688.000000,-185246688.000000,5498123692.000000,5683370380.000000,5683370380.000000,,5683370380.000000,5498123692.000000,5498123692.000000,,5498123692.000000
12M 2020,153140916852.000000,-64285314271.000000,88855602581.000000,-34325874804.000000,-4894552776.000000,-26632234776.000000,-2799087252.000000,-34325874804.000000,54529727777.000000,-13789428454.000000,55529774.000000,-19213781.000000,-9341569672.000000,-4484174775.000000,-13789428454.000000,40740299323.000000,3541734058.000000,,,3541734058.000000,44282033381.000000,44282033381.000000,48978297.000000,48978297.000000,48978297.000000,44331011678.000000,44282033381.000000,44282033381.000000,,44282033381.000000,44331011678.000000,44331011678.000000,,44331011678.000000
12M 2021,127278539926.000000,-62583473806.000000,64695066120.000000,-31327906239.000000,-3573299120.000000,-25801141706.000000,-1953465413.000000,-31327906239.000000,33367159881.000000,-13378480880.000000,34213487.000000,,-8311307361.000000,-5101387006.000000,-13378480880.000000,19988679001.000000,449301108.000000,,,449301108.000000,20437980109.000000,20437980109.000000,255038748.000000,255038748.000000,255038748.000000,20693018857.000000,20437980109.000000,20437980109.000000,,20437980109.000000,20693018857.000000,20693018857.000000,,20693018857.000000
12M 2022,135474884639.000000,-54074621505.000000,81400263134.000000,-41711765233.000000,-4944225856.000000,-36018226344.000000,-749313033.000000,-41711765233.000000,39688497901.000000,-16795213062.000000,286637244.000000,,-6387210638.000000,-10694639668.000000,-16795213062.000000,22893284839.000000,-18771994.000000,,,-18771994.000000,22874512845.000000,22874512845.000000,-17583829.000000,-17583829.000000,-17583829.000000,22856929016.000000,22874512845.000000,22874512845.000000,,22874512845.000000,22856929016.000000,22856929016.000000,,22856929016.000000
12M 2023,142576851520.000000,-47647207563.000000,94929643957.000000,-45386595780.000000,-5880353145.000000,-39140886773.000000,-365355862.000000,-45386595780.000000,49543048177.000000,-16290113384.000000,446779501.000000,,-4666568273.000000,-12070324612.000000,-16290113384.000000,33252934793.000000,-12071392224.000000,,,-12071392224.000000,21181542569.000000,21181542569.000000,-121289214.000000,-121289214.000000,-121289214.000000,21060253355.000000,21181542569.000000,21181542569.000000,,21181542569.000000,21060253355.000000,21060253355.000000,,21060253355.000000
12M 2024,135273809712.000000,-45819813006.000000,89453996706.000000,-47310270141.000000,-6123888859.000000,-40943396234.000000,-242985048.000000,-47310270141.000000,42143726565.000000,-16629613518.000000,178010449.000000,,-3580583607.000000,-13227040360.000000,-16629613518.000000,25514113047.000000,-6884511266.000000,-7214254704.000000,329743438.000000,-6884511266.000000,18629601781.000000,18629601781.000000,122475180.000000,122475180.000000,122475180.000000,18752076961.000000,18629601781.000000,18629601781.000000,,18629601781.000000,18752076961.000000,18752076961.000000,,18752076961.000000
