Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,1136674.08,0.00,0.00,37.01 B,1.86%,9.99%,45.49%,2.35
12M 2020,0.00 B,8856406.68,0.00,0.00,63.14 B,15.54%,43.75%,37.69%,5.84
12M 2021,5.04 B,4.05,0.00,0.00,41.43 B,7.67%,16.64%,19.09%,4.01
12M 2022,5.38 B,4.25,27.76,4.69,47.68 B,7.20%,10.83%,18.20%,6.21
12M 2023,5.39 B,3.93,19.34,2.87,57.83 B,5.85%,9.36%,18.97%,10.62
12M 2024,5.39 B,3.46,19.65,2.71,50.20 B,3.89%,7.79%,13.07%,11.77
