Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,"Pembayaran Untuk Beban Usaha, Karyawan Dan Lainnya",Pembayaran Pajak Penghasilan,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penerimaan Dari Pelepasan Investasi Anak,Pembayaran Uang Muka Investasi,Penempatan Aset Keuangan Biaya Perolehan Diamortisasi,Pengeluaran Untuk Properti Pertambangan,Penambahan Aset Eksplorasi Dan Evaluasi,Akuisisi Kepentingan Non-Pengendali,Pembayaran Uang Muka Proyek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank Jangka Pendek,Pembayaran Untuk Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Untuk Utang Bank Jangka Panjang,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Dividen,Pembayaran Liabilitas Sewa,Penerimaan (Pembayaran) Piutang Lain-Lain,Penerimaan (Pembayaran) Utang Lain-Lain Pihak Ketiga,Kenaikan Utang Pembiayaan,Penurunan Utang Pembiayaan,Obligasi,Setoran Modal Kepentingan Non Pengendali Entitas Anak,Perolehan Dari Peningkatan Modal Ditempatkan Dan Disetor,Penerimaan Dari Pihak Berelasi,Pembayaran Untuk Utang Pihak Berelasi,Penerimaan (Pembayaran) Utang Pembiayaan,Penerimaan (Pembayaran) Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Penurunan Kas Dan Bank Dari Pelepasan Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2019,-82220078150.000000,1247043672617.000000,-1276701014902.000000,-22600213354.000000,-9469170836.000000,-20493351675.000000,-82220078150.000000,-1877188362.000000,-135264619.000000,,,,,,-1741923743.000000,,,-1877188362.000000,93035413375.000000,545368726055.000000,-484081229619.000000,,,,,-1319596071.000000,,,,,,,45700000000.000000,3572856543.000000,-15020050000.000000,-1000000000.000000,-185293533.000000,93035413375.000000,8938146863.000000,8927391619.000000,,,17865538482.000000
12M 2020,-22502973958.000000,2121229881625.000000,-2073077686815.000000,-40067437370.000000,-11682968637.000000,-18904762761.000000,-22502973958.000000,-14863369001.000000,-974338200.000000,,,,,,-6826530801.000000,,-7062500000.000000,-14863369001.000000,39812640134.000000,90556351563.000000,-86000000000.000000,,,,,-400000000.000000,,,,,,,54000000000.000000,,,-16660000000.000000,-1683711429.000000,39812640134.000000,2446297175.000000,17865538482.000000,,,20311835657.000000
12M 2021,186411190993.000000,3893483800432.000000,-3499895976361.000000,-151770017382.000000,-34567100197.000000,-20839515499.000000,186411190993.000000,-62549613057.000000,-3736388319.000000,1220000000.000000,,-55000000000.000000,,,-5033224738.000000,,,-62549613057.000000,-20554355816.000000,126421333333.000000,-141077500000.000000,,,,-24346365385.000000,,,,,,,,1964895232.000000,,,20465000000.000000,-3981718996.000000,-20554355816.000000,103307222120.000000,20311835657.000000,,,123619057777.000000
12M 2022,149033999267.000000,11512650115424.000000,-11256478660688.000000,51978976402.000000,-125898936220.000000,-33217495651.000000,149033999267.000000,-1183807131.000000,-1183807131.000000,,,,,,,,,-1183807131.000000,111982475398.000000,715154500000.000000,-594076166666.000000,,-6750000000.000000,,-33317417000.000000,-4563660600.000000,,,,,,16567377561.000000,498860000.000000,,,20010000000.000000,-1541017897.000000,111982475398.000000,259832667534.000000,123619057777.000000,-576949931.000000,5670312143.000000,388545087523.000000
12M 2023,-317843339107.000000,12382868860323.000000,-12502462342206.000000,-8127730774.000000,-147639717584.000000,-42482408866.000000,-317843339107.000000,-73806513605.000000,-73706513605.000000,,,,,,,,-100000000.000000,-73806513605.000000,303463826157.000000,592087028240.000000,-198187166667.000000,110000000000.000000,,,-267312308819.000000,-3310248887.000000,,,77950000000.000000,-77925000000.000000,,24750000000.000000,47538957500.000000,,,,-2127435210.000000,303463826157.000000,-88186026555.000000,388545087523.000000,-260578495.000000,-4135830816.000000,295962651657.000000
12M 2024,-432221331169.000000,13549670609277.000000,-13469465778673.000000,-227525753438.000000,-182997047666.000000,-101903360669.000000,-432221331169.000000,-267997982938.000000,-258649217975.000000,15321430893.000000,10000000000.000000,,,-18095381683.000000,-1067000000.000000,-450000000.000000,-15057814173.000000,-267997982938.000000,549174182889.000000,534589788443.000000,-137371424244.000000,14310075000.000000,-62746764700.000000,,-122201399768.000000,-3922458482.000000,,,,-52500000000.000000,200000000000.000000,182262771065.000000,,,,,-3246404425.000000,549174182889.000000,-151045131218.000000,295962651657.000000,-310205143.000000,5636916606.000000,150244231902.000000
