Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,1275398652566.000000,-1203576818513.000000,71821834053.000000,-23521286433.000000,-23521286433.000000,-23521286433.000000,48300547620.000000,-20569982441.000000,-20493351675.000000,,-76630766.000000,-20569982441.000000,27730565179.000000,-7364293845.000000,20366271334.000000,-302246316.000000,20064025018.000000,20366271334.000000,21696983843.000000,-1330712509.000000,,20366271334.000000,20064025018.000000,21404190276.000000,-1340165258.000000,,20064025018.000000
12M 2020,2035076870827.000000,-1929521442279.000000,105555428548.000000,-28745365730.000000,-28745365730.000000,-28745365730.000000,76810062818.000000,-36212697495.000000,-18904762761.000000,,-17307934734.000000,-36212697495.000000,40597365323.000000,-12872147641.000000,27725217682.000000,-367134789.000000,27358082893.000000,27725217682.000000,31199897413.000000,-3474679731.000000,,27725217682.000000,27358082893.000000,30848725894.000000,-3490643001.000000,,27358082893.000000
12M 2021,3924499699655.000000,-3558234720420.000000,366264979235.000000,-47611538368.000000,-47611538368.000000,-47611538368.000000,318653440867.000000,-47875269857.000000,-20839515499.000000,,-27035754358.000000,-47875269857.000000,270778171010.000000,-68210197634.000000,202567973376.000000,606288400.000000,203174261776.000000,202567973376.000000,199879339667.000000,2688633709.000000,,202567973376.000000,203174261776.000000,200488506685.000000,2685755091.000000,,203174261776.000000
12M 2022,10448875185271.000000,-9718905432718.000000,729969752553.000000,-73182743928.000000,-73182743928.000000,-73182743928.000000,656787008625.000000,91463486134.000000,-33217495651.000000,,124680981785.000000,91463486134.000000,748250494759.000000,-157319432280.000000,590931062479.000000,3532184390.000000,594463246869.000000,590931062479.000000,605665824194.000000,-14734761715.000000,,590931062479.000000,594463246869.000000,609203696959.000000,-14740450090.000000,,594463246869.000000
12M 2023,12312861734739.000000,-11254655600773.000000,1058206133966.000000,-93757015426.000000,-93757015426.000000,-93757015426.000000,964449118540.000000,-123538629109.000000,-42482408866.000000,-11230425978.000000,-69825794265.000000,-123538629109.000000,840910489431.000000,-159603994721.000000,681306494710.000000,-2775462094.000000,678531032616.000000,681306494710.000000,687945635227.000000,-6639140517.000000,,681306494710.000000,678531032616.000000,684042480169.000000,-5511447553.000000,,678531032616.000000
12M 2024,14762475115697.000000,-13732693926425.000000,1029781189272.000000,-115996527436.000000,-115996527436.000000,-115996527436.000000,913784661836.000000,-102841206178.000000,-106497805113.000000,390756202.000000,3265842733.000000,-102841206178.000000,810943455658.000000,-156284696169.000000,654658759489.000000,36362815493.000000,691021574982.000000,654658759489.000000,658696226439.000000,-4037466950.000000,,654658759489.000000,691021574982.000000,695022922617.000000,-4001347635.000000,,691021574982.000000
