Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Adjusment,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,1683834257.000000,3362761093.000000,3362761093.000000,,3362761093.000000,167765124.000000,4420355214.000000,3523147927.000000,13157863615.000000,,9956920885.000000,183756022617.000000,21071004123.000000,214783947625.000000,227941811240.000000,,,,59745100518.000000,20205480710.000000,,6732231029.000000,,6732231029.000000,,457778476.000000,,457778476.000000,2445256690.000000,3667904360.000000,,,25529661782.000000,25529661782.000000,706787471.000000,59745100518.000000,30174138310.000000,,,11345251744.000000,11345251744.000000,14743498814.000000,4085387752.000000,30174138310.000000,89919238828.000000,,100000000000.000000,,38022572412.000000,2500000000.000000,35522572412.000000,38022572412.000000,,138022572412.000000,227941811240.000000,1000000000.000000
12M 2013,,,1039401888.000000,2488806052.000000,2488806052.000000,,2488806052.000000,696709941.000000,5446302201.000000,4853620667.000000,14524840749.000000,,25954325452.000000,179383257257.000000,19805573003.000000,225143155712.000000,239667996461.000000,,,,60038523665.000000,23505127040.000000,,9540502491.000000,441785130.000000,9982287621.000000,,886812299.000000,1496419375.000000,2383231674.000000,4177110625.000000,1347888344.000000,,,18642878361.000000,18642878361.000000,,60038523665.000000,35058409019.000000,,,17103207647.000000,17103207647.000000,12862600864.000000,5092600508.000000,35058409019.000000,95096932684.000000,,100000000000.000000,,40621872742.000000,2500000000.000000,38121872742.000000,40621872742.000000,3949191035.000000,144571063777.000000,239667996461.000000,1000000000.000000
12M 2014,,,17238937430.000000,509478245.000000,509478245.000000,,509478245.000000,392778762.000000,5924945008.000000,12952380068.000000,37018519513.000000,,60018885787.000000,244503980111.000000,17303202115.000000,321826068013.000000,358844587526.000000,,,,61012703504.000000,24819603445.000000,,12733062500.000000,,12733062500.000000,,1172026712.000000,1676317216.000000,2848343928.000000,5703526539.000000,6569703286.000000,,,8338463806.000000,8338463806.000000,,61012703504.000000,24241144165.000000,,,6112259718.000000,6112259718.000000,12324985710.000000,5803898737.000000,24241144165.000000,85253847669.000000,,175000000000.000000,51860556850.000000,43354661700.000000,2500000000.000000,40854661700.000000,43354661700.000000,3375521307.000000,273590739857.000000,358844587526.000000,350000000.000000
12M 2015,,,17180107251.000000,4530807984.000000,3793969590.000000,736838394.000000,4530807984.000000,711108143.000000,5173341871.000000,13756610055.000000,41351975304.000000,,56010449705.000000,224128255915.000000,14932270278.000000,295070975898.000000,336422951202.000000,,,,41790320211.000000,15223458708.000000,,11388328985.000000,,11388328985.000000,,957125180.000000,,957125180.000000,5002067066.000000,6624263748.000000,,,2595076524.000000,2595076524.000000,,41790320211.000000,22682586491.000000,,,5109810348.000000,5109810348.000000,11271378350.000000,6301397793.000000,22682586491.000000,64472906702.000000,,175000001000.000000,51860557750.000000,41801873046.000000,2500000000.000000,39301873046.000000,41801873046.000000,3287612704.000000,271950044500.000000,336422951202.000000,350000002.000000
12M 2016,,,17965627321.000000,3132256878.000000,2375956622.000000,756300256.000000,3132256878.000000,1398248899.000000,6415512240.000000,12283786082.000000,41195431420.000000,,50926429816.000000,201758565483.000000,14829500000.000000,267514495299.000000,308709926719.000000,,,,41454803699.000000,25598134037.000000,,6801286636.000000,,6801286636.000000,,1455907786.000000,,1455907786.000000,546134671.000000,5657929451.000000,,,1395411118.000000,1395411118.000000,,41454803699.000000,16903786242.000000,,,1314292658.000000,1314292658.000000,11445486411.000000,4144007173.000000,16903786242.000000,58358589941.000000,,175000011000.000000,58668472916.000000,13312887036.000000,2500000000.000000,10812887036.000000,13312887036.000000,3369965825.000000,250351336777.000000,308709926718.000000,350000022.000000
12M 2017,,,17548223723.000000,5771026397.000000,2971677440.000000,2799348957.000000,5771026397.000000,1586185631.000000,5930870999.000000,8440370192.000000,39276676942.000000,,5400556837.000000,202374879162.000000,10026477778.000000,217801913777.000000,257078590719.000000,,,,28184532860.000000,7615307673.000000,,12437790326.000000,,12437790326.000000,,2732973641.000000,,2732973641.000000,883239263.000000,4515221957.000000,,,,,,28184532860.000000,17012547960.000000,,,,,12712120651.000000,4300427309.000000,17012547960.000000,45197080820.000000,,175000011000.000000,58668472916.000000,-25170523423.000000,2500000000.000000,-27670523423.000000,-25170523423.000000,3383549407.000000,211881509900.000000,257078590720.000000,350000022.000000
12M 2018,,,16884545148.000000,7111660137.000000,2226832487.000000,4884827650.000000,7111660137.000000,874097542.000000,5746781920.000000,2661236419.000000,33278321166.000000,,12147251102.000000,260733319651.000000,5900551358.000000,278781122111.000000,312059443277.000000,,,,20166061081.000000,7754885957.000000,,5523022641.000000,,5523022641.000000,,528648771.000000,,528648771.000000,952951384.000000,3374884704.000000,,2031667624.000000,,2031667624.000000,,20166061081.000000,23848571382.000000,,5790283380.000000,,5790283380.000000,13497874597.000000,4560413405.000000,23848571382.000000,44014632463.000000,,175000011000.000000,58668472916.000000,-55044592241.000000,2500000000.000000,-57544592241.000000,-55044592241.000000,89420919139.000000,268044810814.000000,312059443277.000000,350000022.000000
12M 2019,,,16550456508.000000,8730034907.000000,1589366768.000000,7140668139.000000,8730034907.000000,1204096681.000000,6993233364.000000,4496055358.000000,37973876818.000000,,26396557356.000000,238021563892.000000,244798611.000000,264662919859.000000,302636796677.000000,,,,16654963274.000000,5658749014.000000,,2769185481.000000,,2769185481.000000,,210574433.000000,,210574433.000000,1290843227.000000,3017349481.000000,,3708261638.000000,,3708261638.000000,,16654963274.000000,24807665915.000000,,5852325532.000000,,5852325532.000000,13875574811.000000,5079765572.000000,24807665915.000000,41462629189.000000,,175000011000.000000,58668472916.000000,-61901732872.000000,2500000000.000000,-64401732872.000000,-61901732872.000000,89407416444.000000,261174167488.000000,302636796677.000000,350000022.000000
12M 2020,,,886458653.000000,4544074500.000000,852387853.000000,3691686647.000000,4544074500.000000,1270453120.000000,6666052170.000000,6037917119.000000,19404955562.000000,,35409329253.000000,213557978288.000000,2136339667.000000,251103647208.000000,270508602770.000000,,,,24273678406.000000,7182311421.000000,,3933623053.000000,,3933623053.000000,,2618599173.000000,,2618599173.000000,2184686949.000000,2613916692.000000,,3604201451.000000,,3604201451.000000,2136339667.000000,24273678406.000000,28079074539.000000,,4671224019.000000,,4671224019.000000,18144791009.000000,5263059511.000000,28079074539.000000,52352752945.000000,,175000011000.000000,58668472916.000000,-104928792261.000000,2500000000.000000,-107428792261.000000,-104928792261.000000,89416158170.000000,218155849825.000000,270508602770.000000,350000022.000000
12M 2021,,,1017139040.000000,4462630744.000000,1423237139.000000,3039393605.000000,4462630744.000000,1505134569.000000,6437833775.000000,5902629540.000000,19325367668.000000,,32546389796.000000,187176882140.000000,285343750.000000,220008615686.000000,239333983354.000000,,,,19204829670.000000,6968859882.000000,,2067497107.000000,,2067497107.000000,,1508231952.000000,,1508231952.000000,2568626453.000000,2825417853.000000,,2980852673.000000,,2980852673.000000,285343750.000000,19204829670.000000,28097818580.000000,,1690371345.000000,,1690371345.000000,21291023730.000000,5116423505.000000,28097818580.000000,47302648250.000000,,175000011000.000000,58668472916.000000,-131395625014.000000,2500000000.000000,-133895625014.000000,-131395625014.000000,89758476202.000000,192031335104.000000,239333983354.000000,350000022.000000
