Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Beban Usaha,Adjustment,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,172009765156.000000,-125844777517.000000,46164987639.000000,-27279850718.000000,-34218033458.000000,399139583.000000,6539043157.000000,-27279850718.000000,,18885136921.000000,-8361077873.000000,53545963.000000,-8414623836.000000,-8361077873.000000,10524059048.000000,-3347979988.000000,7176079060.000000,,7176079060.000000,7176079060.000000,7176079060.000000,,7176079060.000000,7176079060.000000,7176079060.000000,,7176079060.000000
12M 2013,154314270873.000000,-108588619462.000000,45725651411.000000,-34860432259.000000,-40209349362.000000,509040736.000000,4839876367.000000,-34860432259.000000,,10865219152.000000,-7745849600.000000,539175393.000000,-8285024993.000000,-7745849600.000000,3119369552.000000,74887098.000000,3194256650.000000,3354234715.000000,6548491365.000000,3194256650.000000,3194256650.000000,,3194256650.000000,6548491365.000000,6548491365.000000,,6548491365.000000
12M 2014,141974513746.000000,-93121970927.000000,48852542819.000000,-44120539411.000000,-44897642463.000000,-557407913.000000,1334510965.000000,-44120539411.000000,,4732003408.000000,-2567030132.000000,3789551057.000000,-6356581189.000000,-2567030132.000000,2164973276.000000,-197077289.000000,1967895987.000000,191223243.000000,2159119230.000000,1967895987.000000,1967895987.000000,,1967895987.000000,2159119230.000000,2159119230.000000,,2159119230.000000
12M 2015,163031175724.000000,-122518302636.000000,40512873088.000000,-42911275838.000000,-46204594933.000000,40969614.000000,3252349481.000000,-42911275838.000000,,-2398402750.000000,222931977.000000,5739546485.000000,-5516614508.000000,222931977.000000,-2175470773.000000,519289209.000000,-1656181564.000000,554420577.000000,-1101760987.000000,-1656181564.000000,-1656181564.000000,,-1656181564.000000,-1101760987.000000,-1101760987.000000,,-1101760987.000000
12M 2016,126776881434.000000,-113986439003.000000,12790442431.000000,-42817734949.000000,-44515701200.000000,48752421.000000,1649213830.000000,-42817734949.000000,,-30027292518.000000,1691826289.000000,5302016425.000000,-3610190136.000000,1691826289.000000,-28335466229.000000,-153519781.000000,-28488986010.000000,82353121.000000,-28406632889.000000,-28488986010.000000,-28488986010.000000,,-28488986010.000000,-28406632889.000000,-28406632889.000000,,-28406632889.000000
12M 2017,106619379454.000000,-106227365359.000000,392014095.000000,-37926192567.000000,-38910360558.000000,314053251.000000,670114740.000000,-37926192567.000000,,-37534178472.000000,314006355.000000,3927042153.000000,-3613035798.000000,314006355.000000,-37220172117.000000,-1263238344.000000,-38483410461.000000,13583582.000000,-38469826879.000000,-38483410461.000000,-38483410461.000000,,-38483410461.000000,-38469826879.000000,-38469826879.000000,,-38469826879.000000
12M 2018,102242420595.000000,-94195593541.000000,8046827054.000000,-36692799126.000000,-39825136641.000000,2141612770.000000,990724745.000000,-36692799126.000000,,-28645972072.000000,319806463.000000,1863970572.000000,-1544164109.000000,319806463.000000,-28326165609.000000,-1547903207.000000,-29874068816.000000,85271475327.000000,55397406511.000000,-29874068816.000000,-29874068816.000000,,-29874068816.000000,55397406511.000000,55397406511.000000,,55397406511.000000
12M 2019,124579469969.000000,-94356024169.000000,30223445800.000000,-37567999092.000000,-37238596573.000000,-1067791667.000000,738389148.000000,-37567999092.000000,,-7344553292.000000,862862425.000000,2737159508.000000,-1874297083.000000,862862425.000000,-6481690867.000000,-375449764.000000,-6857140631.000000,-13502695.000000,-6870643326.000000,-6857140631.000000,-6857140631.000000,,-6857140631.000000,-6870643326.000000,-6870643326.000000,,-6870643326.000000
12M 2020,65046772361.000000,-74506125178.000000,-9459352817.000000,-30754604058.000000,-31715688174.000000,,961084116.000000,-30754604058.000000,,-40213956875.000000,1457570638.000000,3142340930.000000,-1684770292.000000,1457570638.000000,-38756386237.000000,-4270673152.000000,-43027059389.000000,8741726.000000,-43018317663.000000,-43027059389.000000,-43027059389.000000,,-43027059389.000000,-43018317663.000000,-43018317663.000000,,-43018317663.000000
12M 2021,70200908124.000000,-71774683185.000000,-1573775061.000000,-22781881441.000000,-23432953882.000000,,651072441.000000,-22781881441.000000,,-24355656502.000000,1092109475.000000,2522632869.000000,-1430523394.000000,1092109475.000000,-23263547027.000000,-3203285726.000000,-26466832753.000000,342318032.000000,-26124514721.000000,-26466832753.000000,-26466832753.000000,,-26466832753.000000,-26124514721.000000,-26124514721.000000,,-26124514721.000000
