Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Pengurus Dan Karyawan,Pembayaran Pajak,Penerimaan Pengembalian Pajak,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Bunga,Penerimaan (Pembayaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pencairan Deposito,Uang Muka Pembelian Aset,Penjualan Aset Tetap,Penambahan Aset Lain-Lain,Pengurangan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor,Pembayaran Kepada Pihak Berelasi,Penerimaan Dari Pihak Berelasi,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Sewa Pembiayaan,Pembayaran Utang Leasing,Pembayaran Pinjaman Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,25715244042.000000,173339078204.000000,-90938107414.000000,-35148750725.000000,-418659141.000000,,-8414623836.000000,53545963.000000,-12757239009.000000,25715244042.000000,-16941359771.000000,-17948859771.000000,,,1007500000.000000,,,-16941359771.000000,-9186000277.000000,,-28910803962.000000,36094417560.000000,5154254809.000000,,8921550000.000000,-30445418684.000000,,,,-9186000277.000000,,-412116006.000000,2095950263.000000,1683834257.000000
12M 2013,36564798830.000000,154481438443.000000,-70734399081.000000,-38110299989.000000,-1031274565.000000,,-8285024993.000000,539175393.000000,-294816378.000000,36564798830.000000,-12035816877.000000,-12981852881.000000,,,1685000000.000000,-738963996.000000,,-12035816877.000000,-25173414322.000000,,-96607849500.000000,69263616366.000000,2826020236.000000,,12476000000.000000,-13131201424.000000,,,,-25173414322.000000,,-644432369.000000,1683834257.000000,1039401888.000000
12M 2014,19447380220.000000,143953841553.000000,-82048195684.000000,-37550128109.000000,-138669706.000000,,-6356581189.000000,1587113355.000000,,19447380220.000000,-83940510975.000000,-87201510975.000000,,,3261000000.000000,,,-83940510975.000000,80692666297.000000,135000000000.000000,-34326447624.000000,,1314476405.000000,,,-21295362484.000000,,,,80692666297.000000,,16199535542.000000,1039401888.000000,17238937430.000000
12M 2015,22011507734.000000,159746684379.000000,-87704888065.000000,-44962676065.000000,-803929804.000000,,-5516614508.000000,1252931797.000000,,22011507734.000000,-22474820416.000000,-23565020416.000000,,,1090200000.000000,,,-22474820416.000000,404482503.000000,1900.000000,8495050770.000000,,,-7088120797.000000,,-1002449370.000000,,,,404482503.000000,,-58830179.000000,17238937430.000000,17180107251.000000
12M 2016,-8937891757.000000,128175432540.000000,-90807802520.000000,-44114217634.000000,-56643600.000000,,-3610190136.000000,1475529593.000000,,-8937891757.000000,-4566606126.000000,-4944425867.000000,,,377819741.000000,,,-4566606126.000000,14290017954.000000,19000.000000,8910506721.000000,,9175009923.000000,,,-3795517690.000000,,,,14290017954.000000,,785520071.000000,17180107251.000000,17965627322.000000
12M 2017,9195137559.000000,103980609935.000000,-52704229387.000000,-39344438352.000000,-486564376.000000,,-3613035798.000000,1362795537.000000,,9195137559.000000,-37010130613.000000,-37730130613.000000,,,720000000.000000,,,-37010130613.000000,27397589455.000000,,48090119595.000000,,,,,-20692530140.000000,,,,27397589455.000000,,-417403599.000000,17965627322.000000,17548223723.000000
12M 2018,-294875808.000000,96742087152.000000,-56929170240.000000,-38775131194.000000,-358190686.000000,,-1544164109.000000,569693269.000000,,-294875808.000000,1420644720.000000,-627687525.000000,,,2141612770.000000,-93280525.000000,,1420644720.000000,-1789447487.000000,,-10531564905.000000,,,,,139578284.000000,,8602539134.000000,,-1789447487.000000,,-663678575.000000,17548223723.000000,16884545148.000000
12M 2019,29350719002.000000,126889915405.000000,-59212508678.000000,-36652986432.000000,-371343467.000000,,-1874297083.000000,571939257.000000,,29350719002.000000,-9309219392.000000,-8334708250.000000,,,-1067791667.000000,,93280525.000000,-9309219392.000000,-20375588250.000000,,-20018087473.000000,,,,,-2096136943.000000,,1738636166.000000,,-20375588250.000000,,-334088640.000000,16884545148.000000,16550456508.000000
12M 2020,-3047893865.000000,68386602316.000000,-41150144372.000000,-29237130923.000000,-162584795.000000,,-1684770292.000000,800134201.000000,,-3047893865.000000,-3841732800.000000,-3841732800.000000,,,,,,-3841732800.000000,-8774371190.000000,,-9012771897.000000,,,,,1523562407.000000,,-1285161700.000000,,-8774371190.000000,,-15663997855.000000,16550456508.000000,886458653.000000
12M 2021,1908593921.000000,69630058838.000000,-42878253916.000000,-20771817229.000000,-2641818715.000000,,-1430523394.000000,948337.000000,,1908593921.000000,-823200000.000000,-823200000.000000,,,,,,-823200000.000000,-954713534.000000,,2862939457.000000,,,,,-213451539.000000,,-3604201452.000000,,-954713534.000000,,130680387.000000,886458653.000000,1017139040.000000
12M 2022,10562360602.000000,91947495129.000000,-54868838546.000000,-25059148303.000000,-243458676.000000,,-1220344209.000000,6655207.000000,,10562360602.000000,-3600400000.000000,-3600400000.000000,,,,,,-3600400000.000000,-6789809752.000000,,-3359413676.000000,,,,,-438619977.000000,,-2991776099.000000,,-6789809752.000000,,172150850.000000,1017139040.000000,1189289890.000000
12M 2023,6114716505.000000,90387260307.000000,-53467618246.000000,-29503967638.000000,-238935487.000000,,-1066052248.000000,4029817.000000,,6114716505.000000,-3836248800.000000,-3836248800.000000,,,,,,-3836248800.000000,-2481274456.000000,,-1122524948.000000,,,,,-469170572.000000,,-889578936.000000,,-2481274456.000000,,-202806751.000000,1189289890.000000,986483139.000000
12M 2024,708795883.000000,82471877341.000000,-51411007004.000000,-28034501263.000000,-1524021004.000000,,-798118880.000000,4566693.000000,,708795883.000000,-140030721.000000,-419310000.000000,,,279279279.000000,,,-140030721.000000,-834739016.000000,,-7838077946.000000,7982933099.000000,46369446894.000000,-46852161699.000000,,,260718000.000000,-757597364.000000,,-834739016.000000,,-265973854.000000,986483139.000000,720509285.000000
