Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Untuk Pemasok, Karyawan Dan Operasi Lainnya :",Pemasok,Direksi,Karyawan,Adjustment,Pembayaran Beban Keuangan,Penerimaan Pendapatan Keuangan,Pendapatan Bunga,Penerimaan Jasa Giro,Pembayaran Pajak,Penerimaan Lainnya,Kegiatan Operasional Lainnya,Beban Pokok Penjualan,Beban Operasional,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penerimaan Dari Uang Muka Penjualan Tanah,Hasil Pelepasan Entitas Anak Dan Perusahaan Asosiasi,Perolehan Aset Tetap,Pembelian Titik Media Luar Ruang,Penambahan Aset Tidak Berwujud,Investasi Jangka Panjang,Investasi Titik Reklame,Investasi Jangka Pendek,Penyertaan Saham Pada Entitas Asosiasi,Penambahan Penyertaan Saham Dan Akuisisi Entitas Anak,Penerimaan Dividen,Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Penurunan) Utang Pihak Relasi,Penerimaan (Pembayaran) Pinjaman Bank,Penurunan (Penambahan) Piutang Pihak Berelasi,Pembayaran Piutang Lain-Lain Pihak Ketiga,Penerimaan Dari Pihak Hubungan Istimewa,Penerimaan (Pembayaran) Pinjaman Pihak Ketiga,Penambahan Utang Lain-Lain,Pembayaran Utang Lain-Lain Dan Pinjaman Pihak Ketiga,Pembayaran Pinjaman Bank Bersih,Perolehan Pinjaman Bank,Penambahan Penyertaan Saham Entitas Asosiasi,Setoran Modal Pihak Minoritas Di Entitas Anak,Penerimaan Right Issue,Biaya Emisi Saham,Pembayaran Obligasi,Penerimaan (Pembayaran) Lainnya,Penurunan Liabilitas Keuangan Lainnya,Penambahan Liabilitas Keuangan Lainnya,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan,Penerimaan Utang Pembiayaan,Penerimaan Dividen Kepada Kepentingan Nonpengendali,Penerimaan Utang Penjualan Efek Dengan Janji Dibeli Kembali,Pembayaran Utang Penjualan Efek Dengan Janji Dibeli Kembali,Pembayaran Utang Pembalian Kendaraan,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,1171074773.000000,128438830698.000000,,-112822334200.000000,-13075587720.000000,,,-1206735698.000000,,,,,,-163098307.000000,,,,1171074773.000000,-47043500806.000000,223000000.000000,,,-14858330550.000000,,,,,,,-32408170256.000000,,,,-47043500806.000000,60171992157.000000,-4426021039.000000,-3188591950.000000,-641928945.000000,,,,,,,,67500000000.000000,1880435000.000000,,-951900909.000000,,,,,,,,,,,,,60171992157.000000,14299566124.000000,4110305522.000000,18409871646.000000
12M 2009,2639149879.000000,138146185623.000000,,-112309515283.000000,-18666807475.000000,,,-1699110108.000000,,,,,,-2831602878.000000,,,,2639149879.000000,-6622194970.000000,423000000.000000,,,-6045194970.000000,,,,,,,-1000000000.000000,,,,-6622194970.000000,-6299235458.000000,-976880632.000000,-3992637095.000000,-3921777731.000000,,,,,,,,,2592060000.000000,,,,,,,,,,,,,,,-6299235458.000000,-10282280549.000000,18409871646.000000,8127591097.000000
12M 2010,-9002475101.000000,183502392316.000000,,-163070301978.000000,-6204053692.000000,-17474766433.000000,,-4457161246.000000,,,,,,-1298584068.000000,,,,-9002475101.000000,-132767149352.000000,272796666.000000,,,-27538585027.000000,,,,,,,-105501360991.000000,,,,-132767149352.000000,151401161059.000000,-19766025598.000000,,23439900421.000000,,,,,,-3773328203.000000,6432154557.000000,139978125000.000000,7050000000.000000,,-1959665118.000000,,,,,,,,,,,,,151401161059.000000,9631536606.000000,8127591097.000000,17759127703.000000
12M 2011,-1627710763.000000,236820622932.000000,,-179723444179.000000,-6900909610.000000,-37122724634.000000,,-9377815225.000000,,,,,,-5323440047.000000,,,,-1627710763.000000,-2947471984.000000,457189978.000000,,11221388642.000000,-14626050604.000000,,,,,,,,,,,-2947471984.000000,1020795931.000000,11131797581.000000,-6719641885.000000,-3391359765.000000,,,,,,,,,,,,,,,,,,,,,,,,1020795931.000000,-3554386816.000000,17759127703.000000,14204740887.000000
12M 2012,14947820582.000000,246236454449.000000,,-173756827290.000000,-7221082651.000000,-42446529032.000000,,-9313783726.000000,,,,,,1449588832.000000,,,,14947820582.000000,-2288186301.000000,174858000.000000,,10941541046.000000,-12404585347.000000,,,,,,,-1000000000.000000,,,,-2288186301.000000,-13793236997.000000,10384989699.000000,-7080906153.000000,-17097320543.000000,,,,,,,,,,,,,,,,,,,,,,,,-13793236997.000000,-1133602716.000000,14204740887.000000,13071138171.000000
12M 2013,19755102924.000000,254798543788.000000,,-174034687971.000000,-8940673778.000000,-45974761150.000000,,-6901120087.000000,,,,,,807802122.000000,,,,19755102924.000000,-510675980.000000,583564667.000000,,,-8094440647.000000,,,,,,,,7000200000.000000,,,-510675980.000000,-22605654347.000000,7680105033.000000,-12234719686.000000,-18051039694.000000,,,,29100000000.000000,,,,,,,,-29100000000.000000,,,,,,,,,,,,-22605654347.000000,-3361227403.000000,13071138171.000000,9709910768.000000
12M 2014,4891737065.000000,326793354011.000000,,-250552122974.000000,-58837843537.000000,,,-10954510978.000000,,,,,,-1557139457.000000,,,,4891737065.000000,-12294677876.000000,1237147500.000000,,,-12357948524.000000,,,,,,,-9000000000.000000,7826123148.000000,,,-12294677876.000000,15847300419.000000,3421700971.000000,6682522738.000000,5441547960.000000,,,,-4698471250.000000,,,,,5000000000.000000,,,,,,,,,,,,,,,15847300419.000000,8444359608.000000,10488396836.000000,18932756444.000000
12M 2015,19162112818.000000,306110767946.000000,,-201740307842.000000,-59923285083.000000,,,-10814949828.000000,,,,,,-14470112375.000000,,,,19162112818.000000,-11587395574.000000,1575358123.000000,,,-16971744808.000000,,,,,,,-100000000.000000,3908991111.000000,,,-11587395574.000000,-6895264497.000000,-11295701848.000000,43600000000.000000,-397060398.000000,,,,-31175045569.000000,,-7627456682.000000,,,,,,,,,,,,,,,,,,-6895264497.000000,679452747.000000,18932756444.000000,19612209191.000000
12M 2016,15041919655.000000,299550724999.000000,,-204427745600.000000,-72150394785.000000,,,-10167373177.000000,,,,,,2236708218.000000,,,,15041919655.000000,-6239888398.000000,810607262.000000,,,-9611664479.000000,,,,,,,,2561168819.000000,,,-6239888398.000000,5059190410.000000,6505860704.000000,,-978093989.000000,,,,,,-335543896.000000,,,,,,,,,,,,,-133032409.000000,,,,,5059190410.000000,13861221667.000000,19612209191.000000,33473430858.000000
12M 2017,-13438624706.000000,247820325922.000000,,-115582794245.000000,-131569126291.000000,,,,,,,,,-14107030092.000000,,,,-13438624706.000000,-3658748600.000000,487950000.000000,,,-4826500114.000000,,,,,,,,3609406885.000000,-2929605371.000000,,-3658748600.000000,22989422193.000000,-2951482597.000000,-5537669363.000000,,,,,,,,,,,,,,,,31709856080.000000,,,,-231281927.000000,,,,,22989422193.000000,5892048887.000000,41669924510.000000,47561973397.000000
