Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.39,106.97,1.63,91.19,4 B,12 B,16 B,(2 B),54 B
12M 2009,0.58,106.35,0.68,91.57,4 B,7 B,11 B,3 B,57 B
12M 2010,6.94,40.21,17.36,16.07,27 B,81 B,160 B,142 B,28 B
12M 2011,2.86,41.89,6.44,18.62,92 B,72 B,164 B,150 B,(37 B)
12M 2012,1.88,43.16,2.59,31.28,117 B,40 B,157 B,144 B,(43 B)
12M 2013,2.04,48.55,2.67,37.07,62 B,38 B,100 B,90 B,(23 B)
12M 2014,1.22,49.36,1.56,38.57,53 B,93 B,146 B,127 B,53 B
12M 2015,1.33,37.63,1.65,30.27,24 B,117 B,141 B,121 B,42 B
12M 2016,1.05,47.83,1.15,43.30,27 B,116 B,143 B,110 B,40 B
12M 2017,1.33,37.71,1.91,26.17,22 B,126 B,149 B,101 B,26 B
12M 2018,1.30,73.75,1.51,63.59,75 B,74 B,148 B,112 B,(57 B)
12M 2019,2.73,38.88,3.57,29.70,75 B,80 B,155 B,132 B,(36 B)
12M 2020,-3.16,-25.91,-2.43,-33.81,153 B,16 B,169 B,143 B,(171 B)
12M 2021,3.57,99.15,3.83,92.34,17 B,0 B,17 B,(1 B),(93 B)
12M 2022,4.08,37.01,4.64,32.51,17 B,0 B,17 B,(57 B),13 B
12M 2023,10.59,4.91,52.53,0.99,17 B,0 B,17 B,(14 B),(103 B)
12M 2024,6.30,4.13,24.30,1.07,19 B,,19 B,(3 B),(86 B)
