Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Investasi Jangka Pendek,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Investasi Pada Entitas Asosiasi,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sewa Pembiayaan,Liabilitas Keuangan Lainnya,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Pinjaman Jangka Panjang Lainnya,Liabilitas Pajak Tangguhan,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,18409871646.000000,58490228130.000000,58123679786.000000,366548344.000000,58490228130.000000,4280095658.000000,,1664548908.000000,,16198239491.000000,99042983833.000000,,19264736912.000000,4143146380.000000,50317684089.000000,,22444751199.000000,,31045862182.000000,127216180762.000000,,226259164595.000000,,,45256200652.000000,497507437.000000,,4527072707.000000,266153326.000000,4793226033.000000,2633924798.000000,,,2633924798.000000,9396420661.000000,23828161755.000000,,3994498340.000000,,,,,3994498340.000000,,112461628.000000,45256200652.000000,19985774985.000000,2248203917.000000,,9549795693.000000,,,,9549795693.000000,,,,,8187775375.000000,19985774985.000000,65241975637.000000,,142200000000.000000,44483862411.000000,-34569628876.000000,438712505.000000,-35008341381.000000,-34569628876.000000,8902955423.000000,,161017188958.000000,226259164595.000000,1422000000.000000
12M 2009,,,8127591097.000000,73988472960.000000,72017043916.000000,1971429044.000000,73988472960.000000,7158475615.000000,,2216726772.000000,,15094146849.000000,106585413293.000000,,21573874072.000000,5107186416.000000,46076109815.000000,,21014171437.000000,,29563390573.000000,123334732313.000000,,229920145606.000000,,,49320514528.000000,499367682.000000,,6421558507.000000,1009896656.000000,7431455163.000000,2765470766.000000,,,2765470766.000000,7422762418.000000,27329987382.000000,,3773328227.000000,,,,,3773328227.000000,,98142890.000000,49320514528.000000,17121977151.000000,1271323285.000000,,5776467466.000000,,,,5776467466.000000,,,,,10074186400.000000,17121977151.000000,66442491679.000000,,142200000000.000000,44483862411.000000,-34065809145.000000,438712505.000000,-34504521650.000000,-34065809145.000000,12250327485.000000,-1390726824.000000,163477653927.000000,229920145606.000000,1422000000.000000
12M 2010,,,17759127703.000000,75970974463.000000,72653444733.000000,3317529730.000000,75970974463.000000,6874359407.000000,,10981380892.000000,,38129973725.000000,149715816190.000000,,7989534440.000000,9875511411.000000,100674742105.000000,,66512741864.000000,,65138119028.000000,250190648848.000000,,399906465038.000000,,,121499285030.000000,18527384320.000000,,22098647542.000000,1599521145.000000,23698168687.000000,17421718827.000000,,,17421718827.000000,17751890053.000000,35959061075.000000,,8044258513.000000,,,,,8044258513.000000,,96803555.000000,121499285030.000000,149696396834.000000,19487271335.000000,,32961449347.000000,80919000000.000000,,,113880449347.000000,,,,,16328676152.000000,149696396834.000000,271195681864.000000,,275512500000.000000,49189822293.000000,-31611415848.000000,438712505.000000,-32050128353.000000,-31611415848.000000,17929219756.000000,-182309343027.000000,128710783174.000000,399906465038.000000,2755125000.000000
12M 2011,,,14204740887.000000,90556568787.000000,86903692244.000000,3652876543.000000,90556568787.000000,5518764503.000000,,16552605478.000000,,38123184228.000000,164955863883.000000,,12796490597.000000,10190430016.000000,98229695697.000000,,64125520834.000000,,75565561313.000000,260907698457.000000,,425863562340.000000,,,202251987850.000000,18448248039.000000,,25549836282.000000,665297622.000000,26215133904.000000,17146379011.000000,,,17146379011.000000,21283653346.000000,45811415641.000000,,9605561243.000000,63476000000.000000,,,,73081561243.000000,,265596666.000000,202251987850.000000,91954080202.000000,30222093911.000000,,24134641021.000000,18136000000.000000,,,42270641021.000000,,,,,19461345270.000000,91954080202.000000,294206068052.000000,,275512500000.000000,49189822293.000000,-26973895990.000000,438712505.000000,-27412608495.000000,-26973895990.000000,16238411012.000000,-182309343027.000000,131657494288.000000,425863562340.000000,2755125000.000000
12M 2012,,,13071138171.000000,113441345348.000000,109067075345.000000,4374270003.000000,113441345348.000000,15291314931.000000,,14532752189.000000,,42802229593.000000,199138780232.000000,,22721026788.000000,10572085035.000000,95118562270.000000,,32708132514.000000,,81295910239.000000,242415716846.000000,,441554497078.000000,,,242531723012.000000,19889403129.000000,,27090502526.000000,460645622.000000,27551148148.000000,18041884912.000000,,,18041884912.000000,27525106140.000000,49406236668.000000,,9930909595.000000,87030000000.000000,,,,96960909595.000000,,3157034420.000000,242531723012.000000,63237157535.000000,24909879141.000000,,15287231426.000000,,,,15287231426.000000,,,,,23040046968.000000,63237157535.000000,305768880547.000000,,275512500000.000000,49189822293.000000,-23493699178.000000,438712505.000000,-23932411683.000000,-23493699178.000000,16886336443.000000,-182309343027.000000,135785616531.000000,441554497078.000000,2755125000.000000
12M 2013,,,9709910768.000000,122585646270.000000,111828000722.000000,10757645548.000000,122585646270.000000,1297477433.000000,,10113311861.000000,,38741876351.000000,182448222683.000000,,40772066482.000000,14810531396.000000,84023275190.000000,,31643584671.000000,,85479524407.000000,256728982146.000000,,439177204829.000000,,,205944819595.000000,17556068820.000000,,23228936042.000000,504394672.000000,23733330714.000000,44588983350.000000,,,44588983350.000000,35567692432.000000,39714052818.000000,,15316755644.000000,29100000000.000000,,,,44416755644.000000,,367935817.000000,205944819595.000000,65976970949.000000,37689984174.000000,,,,,,,,,,,28286986775.000000,65976970949.000000,271921790544.000000,,275512500000.000000,-133119520734.000000,-8629838265.000000,438712505.000000,-9068550770.000000,-8629838265.000000,33492273284.000000,,167255414285.000000,439177204829.000000,2755125000.000000
12M 2014,,,18932756444.000000,125743479202.000000,112268003265.000000,13475475937.000000,125743479202.000000,,,8517313675.000000,,44497196823.000000,197690746144.000000,,33248226040.000000,11826184059.000000,79240762129.000000,,29728883870.000000,,92188403160.000000,246232459258.000000,,443923205402.000000,,,144595999716.000000,10505891778.000000,,26379463057.000000,4753290767.000000,31132753824.000000,,,,,13785641524.000000,44492554339.000000,,4635880661.000000,,,37717536586.000000,,42353417247.000000,,2325741004.000000,144595999716.000000,126134292060.000000,68153968190.000000,,24614373320.000000,,,,24614373320.000000,,,,,33365950550.000000,126134292060.000000,270730291776.000000,,275512500000.000000,-139143335827.000000,-374521872.000000,438712505.000000,-813234377.000000,-374521872.000000,37198271325.000000,,173192913626.000000,443923205402.000000,2755125000.000000
12M 2015,,,19612209191.000000,120350014802.000000,110054042437.000000,10295972365.000000,120350014802.000000,,,8064431461.000000,,17994109249.000000,166020764703.000000,,33645286438.000000,16489605922.000000,75311620513.000000,,20263100356.000000,,92388714473.000000,238098327702.000000,,404119092405.000000,,,124123512501.000000,11119115388.000000,,27003924049.000000,6630970774.000000,33634894823.000000,,,,,10207372449.000000,47777680236.000000,,5410576690.000000,,,7435816372.000000,,12846393062.000000,,8538056543.000000,124123512501.000000,147005841673.000000,56858266340.000000,,59195146829.000000,,,,59195146829.000000,,1013563007.000000,72513123.000000,,29866352374.000000,147005841673.000000,271129354174.000000,,275512500000.000000,-139154816175.000000,-32687685461.000000,438712505.000000,-33126397966.000000,-32687685461.000000,29319739867.000000,,132989738231.000000,404119092405.000000,2755125000.000000
12M 2016,,,33473430858.000000,93795887201.000000,88651562746.000000,5144324455.000000,93795887201.000000,,,6060374652.000000,,23443509409.000000,156773202120.000000,,32023380427.000000,18400258025.000000,66250009031.000000,,12481220514.000000,,141880402420.000000,271035270417.000000,,427808472537.000000,,,116585019047.000000,14236911817.000000,,36558149527.000000,12505900467.000000,49064049994.000000,,,,,10414807395.000000,20456442016.000000,,9944064771.000000,,,2584947918.000000,,12529012689.000000,,9883795136.000000,116585019047.000000,151854022065.000000,64924127044.000000,,51208318423.000000,,,,51208318423.000000,,185151807.000000,37255201.000000,,35499169590.000000,151854022065.000000,268439041112.000000,,275512500000.000000,-139154816175.000000,-74088467708.000000,438712505.000000,-74527180213.000000,-74088467708.000000,27583003798.000000,69517211510.000000,159369431425.000000,427808472537.000000,2755125000.000000
12M 2017,,,47561973397.000000,82665962804.000000,78924760998.000000,3741201806.000000,82665962804.000000,,,4666523931.000000,,13129123428.000000,148023583560.000000,,57100523419.000000,15599305188.000000,40083739716.000000,,,31796634843.000000,135622210330.000000,280202413496.000000,,428225997056.000000,,,122425613582.000000,10999242554.000000,,27800385030.000000,23009293902.000000,50809678932.000000,,,,,7531225876.000000,24528852561.000000,,8228115482.000000,,,3188495001.000000,,11416610483.000000,,17140003176.000000,122425613582.000000,187037376113.000000,75481567128.000000,,50624267612.000000,,,,50624267612.000000,,371131768.000000,209344508.000000,,60351065097.000000,187037376113.000000,309462989695.000000,,275512500000.000000,-163623432582.000000,-102644918763.000000,438712505.000000,-103083631268.000000,-102644918763.000000,14867747196.000000,94651111510.000000,118763007361.000000,428225997056.000000,2755125000.000000
