Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Keuntungan Atas Penjualan Entitas Anak,Keuntungan Atas Penjualan Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Beban Keuangan,Others,Total Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,143886308928.000000,-82239430319.000000,61646878609.000000,-49207739287.000000,-13372283650.000000,-35835455637.000000,-49207739287.000000,12439139322.000000,2072073307.000000,-69677624.000000,-923716529.000000,,510148124.000000,,,-1206735698.000000,,-1206735698.000000,3762055034.000000,2072073307.000000,,14511212629.000000,-10828505678.000000,-7422813300.000000,-3405692378.000000,-10828505678.000000,3682706951.000000,,-1624967256.000000,2057739695.000000,,,2057739695.000000,3682706951.000000,-1624967256.000000,2057739695.000000,,,,
12M 2009,147595013414.000000,-84477427776.000000,63117585638.000000,-56059337936.000000,-13732458099.000000,-42326879837.000000,-56059337936.000000,7058247702.000000,-1494017031.000000,-246992760.000000,-2987469735.000000,,252836880.000000,,,-1699110108.000000,,-1699110108.000000,3186718692.000000,-1494017031.000000,,5564230671.000000,-4144863447.000000,-5108903483.000000,964040036.000000,-4144863447.000000,1419367224.000000,,-915547493.000000,503819731.000000,,,503819731.000000,1419367224.000000,-915547493.000000,503819731.000000,,,,
12M 2010,177756575338.000000,-100626670983.000000,77129904355.000000,-70730376711.000000,-15932500151.000000,-54797876560.000000,-70730376711.000000,6399527644.000000,-3843714916.000000,,294793980.000000,-136755218.000000,341950962.000000,,,-4419107918.000000,,-4419107918.000000,75403278.000000,-3843714916.000000,,2555812728.000000,-716340780.000000,-2702436965.000000,1986096185.000000,-716340780.000000,1839471948.000000,,614921349.000000,2454393297.000000,,,2454393297.000000,1839471948.000000,614921349.000000,2454393297.000000,,,,
12M 2011,248135253137.000000,-131596955605.000000,116538297532.000000,-113326134144.000000,-19414578900.000000,-93911555244.000000,-113326134144.000000,3212163388.000000,1604906884.000000,9553787770.000000,5431842849.000000,314833265.000000,159225897.000000,,,-9377815225.000000,,-9377815225.000000,-4476967672.000000,1604906884.000000,,4817070272.000000,-1990186894.000000,-2371310500.000000,381123606.000000,-1990186894.000000,2826883378.000000,,,2826883378.000000,,2826883378.000000,2826883378.000000,4046417925.000000,-1219534547.000000,2826883378.000000,2826883378.000000,4046417925.000000,-1219534547.000000,2826883378.000000
12M 2012,264525408474.000000,-129094815594.000000,135430592880.000000,-121513013448.000000,-23177866192.000000,-98335147256.000000,-121513013448.000000,13917579432.000000,-8123611610.000000,4511197270.000000,3500384630.000000,129666788.000000,180334387.000000,,,-13490984819.000000,,-13490984819.000000,-2954209866.000000,-8123611610.000000,,5793967822.000000,-1751701444.000000,-4379982106.000000,2628280662.000000,-1751701444.000000,4042266378.000000,,,4042266378.000000,,4042266378.000000,4042266378.000000,3480196812.000000,562069566.000000,4042266378.000000,4042266378.000000,3480196812.000000,562069566.000000,4042266378.000000
12M 2013,269553029186.000000,-134726003915.000000,134827025271.000000,-128368369111.000000,-22947549014.000000,-105420820097.000000,-128368369111.000000,6458656160.000000,25246224971.000000,,6650814272.000000,-1036529594.000000,104443268.000000,,,-11240676103.000000,,-11240676103.000000,30768173128.000000,25246224971.000000,,31704881131.000000,-235083377.000000,-4473529738.000000,4238446361.000000,-235083377.000000,31469797754.000000,,,31469797754.000000,,31469797754.000000,31469797754.000000,14863860913.000000,16605936841.000000,31469797754.000000,31469797754.000000,14863860913.000000,16605936841.000000,31469797754.000000
12M 2014,318915901895.000000,-188951712338.000000,129964189557.000000,-137594540801.000000,-22464809505.000000,-115129731296.000000,-137594540801.000000,-7630351244.000000,18903239782.000000,,6989572620.000000,648895340.000000,769709540.000000,,-10954049509.000000,,,-10954049509.000000,21449111791.000000,18903239782.000000,,11272888538.000000,-4292491601.000000,,,-4292491601.000000,6980396937.000000,,,6980396937.000000,,6980396937.000000,6980396937.000000,8255316396.000000,-1274919459.000000,6980396937.000000,6980396937.000000,8255316396.000000,-1274919459.000000,6980396937.000000
12M 2015,290556699926.000000,-167675565492.000000,122881134434.000000,-139043361982.000000,-18369935029.000000,-120673426953.000000,-139043361982.000000,-16162227548.000000,-33580560511.000000,,6884731298.000000,195235744.000000,273848641.000000,-4886706879.000000,-10814949828.000000,,,-10814949828.000000,-25232719487.000000,-33580560511.000000,,-49742788059.000000,4362930508.000000,,,4362930508.000000,-45379857551.000000,,,-45379857551.000000,2368680523.000000,-43011177028.000000,-45379857551.000000,-37443459918.000000,-7936397633.000000,-45379857551.000000,-43011177028.000000,-34669877386.000000,-8341299642.000000,-43011177028.000000
12M 2016,290356135906.000000,-180073977803.000000,110282158103.000000,-133209705675.000000,-6938606935.000000,-126271098740.000000,-133209705675.000000,-22927547572.000000,-16010020522.000000,,2234621940.000000,447887437.000000,183252372.000000,246259885.000000,-10167373177.000000,,,-10167373177.000000,-8954668979.000000,-16010020522.000000,,-38937568094.000000,-3418776389.000000,,,-3418776389.000000,-42356344483.000000,,,-42356344483.000000,68869070086.000000,26512725603.000000,-42356344483.000000,-40682149863.000000,-1674194620.000000,-42356344483.000000,26512725603.000000,28116429263.000000,-1603703660.000000,26512725603.000000
12M 2017,267932542391.000000,-134122652236.000000,133809890155.000000,-142757143447.000000,-7253292651.000000,-135503850796.000000,-142757143447.000000,-8947253292.000000,-23661158488.000000,,54758133.000000,,5278533656.000000,140127391.000000,-9902888141.000000,,,-9902888141.000000,-19231689527.000000,-23661158488.000000,,-32608411780.000000,-4391220685.000000,,,-4391220685.000000,-36999632465.000000,,,-36999632465.000000,24691750820.000000,-12307881645.000000,-36999632465.000000,-27782634936.000000,-9216997529.000000,-36999632465.000000,-12307881645.000000,-3422551055.000000,-8885330590.000000,-12307881645.000000
