Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Pos Luar Biasa,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,129542000000.000000,-93936000000.000000,35606000000.000000,-74346000000.000000,-51121000000.000000,-23225000000.000000,-74346000000.000000,-38740000000.000000,8107000000.000000,23525000000.000000,981000000.000000,-14337000000.000000,-3472000000.000000,1410000000.000000,8107000000.000000,-30633000000.000000,-1517000000.000000,,,-1517000000.000000,-32150000000.000000,16942000000.000000,16942000000.000000,,16942000000.000000,-15208000000.000000,-32150000000.000000,-32150000000.000000,,-32150000000.000000,-15208000000.000000,-15208000000.000000,,-15208000000.000000
12M 2009,134438000000.000000,-86062000000.000000,48376000000.000000,-43744000000.000000,-32568000000.000000,-11176000000.000000,-43744000000.000000,4632000000.000000,12763000000.000000,-2403000000.000000,1611000000.000000,10576000000.000000,-1525000000.000000,4504000000.000000,12763000000.000000,17395000000.000000,-1074000000.000000,,,-1074000000.000000,16321000000.000000,,,,,16321000000.000000,16321000000.000000,16321000000.000000,,16321000000.000000,16321000000.000000,16321000000.000000,,16321000000.000000
12M 2010,218748000000.000000,-138249000000.000000,80499000000.000000,-52178000000.000000,-40324000000.000000,-11854000000.000000,-52178000000.000000,28321000000.000000,5222000000.000000,5000000.000000,1557000000.000000,3880000000.000000,-5962000000.000000,5742000000.000000,5222000000.000000,33543000000.000000,-1884000000.000000,-1801000000.000000,-83000000.000000,-1884000000.000000,31659000000.000000,,,,,31659000000.000000,31659000000.000000,31659000000.000000,,31659000000.000000,31659000000.000000,31659000000.000000,,31659000000.000000
12M 2011,299409000000.000000,-184925000000.000000,114484000000.000000,-88165000000.000000,-61999000000.000000,-26166000000.000000,-88165000000.000000,26319000000.000000,3308000000.000000,,,,,,3308000000.000000,29627000000.000000,-3759000000.000000,-3588000000.000000,-171000000.000000,-3759000000.000000,25868000000.000000,,,,,25868000000.000000,25868000000.000000,25868000000.000000,,25868000000.000000,25868000000.000000,25868000000.000000,,25868000000.000000
12M 2012,476638000000.000000,-204736000000.000000,271902000000.000000,-185494000000.000000,-116795000000.000000,-68699000000.000000,-185494000000.000000,86408000000.000000,-9777000000.000000,,302000000.000000,,-15117000000.000000,5038000000.000000,-9777000000.000000,76631000000.000000,6745000000.000000,,,6745000000.000000,83376000000.000000,,,,,83376000000.000000,83376000000.000000,83376000000.000000,,83376000000.000000,83376000000.000000,83376000000.000000,,83376000000.000000
12M 2013,502524000000.000000,-220966000000.000000,281558000000.000000,-227081000000.000000,-142099000000.000000,-84982000000.000000,-227081000000.000000,54477000000.000000,4717000000.000000,,545000000.000000,,-10905000000.000000,15077000000.000000,4717000000.000000,59194000000.000000,-3538000000.000000,,,-3538000000.000000,55656000000.000000,,,,,55656000000.000000,55656000000.000000,55656000000.000000,,55656000000.000000,55656000000.000000,55656000000.000000,,55656000000.000000
12M 2014,578784000000.000000,-279882000000.000000,298902000000.000000,-249112000000.000000,-170138000000.000000,-78974000000.000000,-249112000000.000000,49790000000.000000,-8279000000.000000,,499000000.000000,,-8530000000.000000,-248000000.000000,-8279000000.000000,41511000000.000000,10490000000.000000,,,10490000000.000000,52001000000.000000,,,,,52001000000.000000,52001000000.000000,52001000000.000000,,52001000000.000000,52001000000.000000,52001000000.000000,,52001000000.000000
12M 2015,669725000000.000000,-330023000000.000000,339702000000.000000,-291011000000.000000,-219872000000.000000,-71139000000.000000,-291011000000.000000,48691000000.000000,-4516000000.000000,,228000000.000000,,-12160000000.000000,7416000000.000000,-4516000000.000000,44175000000.000000,-11336000000.000000,,,-11336000000.000000,32839000000.000000,3385000000.000000,,3385000000.000000,3385000000.000000,36224000000.000000,32839000000.000000,32839000000.000000,,32839000000.000000,36224000000.000000,36224000000.000000,,36224000000.000000
12M 2016,887663000000.000000,-427828000000.000000,459835000000.000000,-383242000000.000000,-298265000000.000000,-84977000000.000000,-383242000000.000000,76593000000.000000,-14957000000.000000,,406000000.000000,,-17094000000.000000,1731000000.000000,-14957000000.000000,61636000000.000000,-5685000000.000000,,,-5685000000.000000,55951000000.000000,68000000.000000,,68000000.000000,68000000.000000,56019000000.000000,55951000000.000000,55951000000.000000,,55951000000.000000,56019000000.000000,56019000000.000000,,56019000000.000000
12M 2017,814490000000.000000,-375546000000.000000,438944000000.000000,-371628000000.000000,-289213000000.000000,-82415000000.000000,-371628000000.000000,67316000000.000000,-16221000000.000000,,304000000.000000,,-23247000000.000000,6722000000.000000,-16221000000.000000,51095000000.000000,-12853000000.000000,,,-12853000000.000000,38242000000.000000,381000000.000000,,381000000.000000,381000000.000000,38623000000.000000,38242000000.000000,38242000000.000000,,38242000000.000000,38623000000.000000,38623000000.000000,,38623000000.000000
12M 2018,804302000000.000000,-415212000000.000000,389090000000.000000,-305421000000.000000,-226946000000.000000,-78475000000.000000,-305421000000.000000,83669000000.000000,-13609000000.000000,,1895000000.000000,,-22957000000.000000,7453000000.000000,-13609000000.000000,70060000000.000000,-17102000000.000000,,,-17102000000.000000,52958000000.000000,5945000000.000000,,5945000000.000000,5945000000.000000,58903000000.000000,52958000000.000000,52958000000.000000,,52958000000.000000,58903000000.000000,58903000000.000000,,58903000000.000000
12M 2019,834330000000.000000,-417281000000.000000,417049000000.000000,-288360000000.000000,-209818000000.000000,-78542000000.000000,-288360000000.000000,128689000000.000000,-18510000000.000000,,4939000000.000000,,-15478000000.000000,-7971000000.000000,-18510000000.000000,110179000000.000000,-26294000000.000000,,,-26294000000.000000,83885000000.000000,2138000000.000000,,2138000000.000000,2138000000.000000,86023000000.000000,83885000000.000000,83885000000.000000,,83885000000.000000,86023000000.000000,86023000000.000000,,86023000000.000000
12M 2020,673364000000.000000,-330799000000.000000,342565000000.000000,-166137000000.000000,-98254000000.000000,-67883000000.000000,-166137000000.000000,176428000000.000000,-8509000000.000000,,6795000000.000000,,-838000000.000000,-14466000000.000000,-8509000000.000000,167919000000.000000,-32130000000.000000,,,-32130000000.000000,135789000000.000000,-24000000.000000,,-24000000.000000,-24000000.000000,135765000000.000000,135789000000.000000,135789000000.000000,,135789000000.000000,135765000000.000000,135765000000.000000,,135765000000.000000
12M 2021,935075000000.000000,-435507000000.000000,499568000000.000000,-175104000000.000000,-111247000000.000000,-63857000000.000000,-175104000000.000000,324464000000.000000,13364000000.000000,,10354000000.000000,,-747000000.000000,3757000000.000000,13364000000.000000,337828000000.000000,-72070000000.000000,,,-72070000000.000000,265758000000.000000,3551000000.000000,,3551000000.000000,3551000000.000000,269309000000.000000,265758000000.000000,265758000000.000000,,265758000000.000000,269309000000.000000,269309000000.000000,,269309000000.000000
12M 2022,1290992000000.000000,-620240000000.000000,670752000000.000000,-229558000000.000000,-167012000000.000000,-62546000000.000000,-229558000000.000000,441194000000.000000,23114000000.000000,,12192000000.000000,,-421000000.000000,11343000000.000000,23114000000.000000,464308000000.000000,-99336000000.000000,,,-99336000000.000000,364972000000.000000,47000000.000000,,47000000.000000,47000000.000000,365019000000.000000,364972000000.000000,364972000000.000000,,364972000000.000000,365019000000.000000,365019000000.000000,,365019000000.000000
12M 2023,1525445000000.000000,-714509000000.000000,810936000000.000000,-326906000000.000000,-257707000000.000000,-69199000000.000000,-326906000000.000000,484030000000.000000,19634000000.000000,,19254000000.000000,,-283000000.000000,663000000.000000,19634000000.000000,503664000000.000000,-107866000000.000000,,,-107866000000.000000,395798000000.000000,-826000000.000000,,-826000000.000000,-826000000.000000,394972000000.000000,395798000000.000000,395798000000.000000,,395798000000.000000,394972000000.000000,394972000000.000000,,394972000000.000000
12M 2024,1956431000000.000000,-950220000000.000000,1006211000000.000000,-385699000000.000000,-310561000000.000000,-75138000000.000000,-385699000000.000000,620512000000.000000,47216000000.000000,,38204000000.000000,,-114000000.000000,9126000000.000000,47216000000.000000,667728000000.000000,-140360000000.000000,,,-140360000000.000000,527368000000.000000,1325000000.000000,,1325000000.000000,1325000000.000000,528693000000.000000,527368000000.000000,527368000000.000000,,527368000000.000000,528693000000.000000,528693000000.000000,,528693000000.000000
