Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Lainnya",Pemasok,Karyawan,Beban Operasional Lainnya,"Total Pembayaran Kas Kepada Pemasok, Karyawan Dan Lainnya",Pembayaran (Penerimaan) Pajak,Penempatan Investasi Pada Efek,Pembayaran Bunga,Penerimaan Bunga,Pembayaran Lainnya,Penempatan Investasi Jangka Pendek,Penerimaan (Pengeluaran) Kas Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Hasil Penjualan Aset Tetap,Hasil Penjualan Aset Tak Berwujud,Penempatan Bank Jangka Pendek,Penempatan Investasi Pada Instrumen Utang,Investasi,Penurunan Investasi Jangka Pendek,Pembayaran Uang Jaminan Akuisisi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Pendek,Penempatan Pada Investasi Obligasi,Pembayaran Sukuk,Peningkatan Hutang Sewa Pembiayaan,Penerimaan Utang Sewa Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-48514000000.000000,128776000000.000000,-169520000000.000000,,,,-169520000000.000000,-935000000.000000,,-9058000000.000000,981000000.000000,,,1242000000.000000,,-48514000000.000000,20605000000.000000,-7765000000.000000,,28370000000.000000,,,,,,,20605000000.000000,53195000000.000000,73354000000.000000,,,,-20159000000.000000,,,,,,53195000000.000000,,25286000000.000000,,4025000000.000000,29311000000.000000
12M 2009,16888000000.000000,127877000000.000000,-116760000000.000000,,,,-116760000000.000000,1101000000.000000,,-563000000.000000,1611000000.000000,,,3622000000.000000,,16888000000.000000,-2558000000.000000,-5242000000.000000,,2684000000.000000,,,,,,,-2558000000.000000,-5170000000.000000,,,,,-5170000000.000000,,,,,,-5170000000.000000,,9160000000.000000,,29311000000.000000,38471000000.000000
12M 2010,-40274000000.000000,143757000000.000000,-178312000000.000000,,,,-178312000000.000000,1212000000.000000,,-6975000000.000000,5165000000.000000,,-10526000000.000000,5405000000.000000,,-40274000000.000000,-93494000000.000000,-15414000000.000000,,5000000.000000,,,,,,-78085000000.000000,-93494000000.000000,110967000000.000000,178592000000.000000,-67625000000.000000,,,,,,,,,110967000000.000000,,-22801000000.000000,,38471000000.000000,15670000000.000000
12M 2011,67754000000.000000,326605000000.000000,-248911000000.000000,,,,-248911000000.000000,-849000000.000000,,-19767000000.000000,191000000.000000,,10526000000.000000,-41000000.000000,,67754000000.000000,-10180000000.000000,-10188000000.000000,,8000000.000000,,,,,,,-10180000000.000000,-58457000000.000000,1265000000.000000,,,,-59722000000.000000,,,,,,-58457000000.000000,,-883000000.000000,,15670000000.000000,14787000000.000000
12M 2012,87274000000.000000,472755000000.000000,-378565000000.000000,,,,-378565000000.000000,-48000000.000000,,-13163000000.000000,302000000.000000,,,5993000000.000000,,87274000000.000000,-28035000000.000000,-28469000000.000000,,434000000.000000,,,,,,,-28035000000.000000,-34676000000.000000,,13000000000.000000,,,-47599000000.000000,,,-77000000.000000,,,-34676000000.000000,,24563000000.000000,,14787000000.000000,39350000000.000000
12M 2013,40102000000.000000,494970000000.000000,-437240000000.000000,,,,-437240000000.000000,-4924000000.000000,,-8777000000.000000,545000000.000000,,,-4472000000.000000,,40102000000.000000,-49929000000.000000,-51096000000.000000,,1167000000.000000,,,,,,,-49929000000.000000,-6455000000.000000,27072000000.000000,-33333000000.000000,,,,,,-194000000.000000,,,-6455000000.000000,,-16282000000.000000,,39350000000.000000,23068000000.000000
12M 2014,101377000000.000000,554098000000.000000,,-201482000000.000000,-100597000000.000000,-133286000000.000000,-435365000000.000000,-10004000000.000000,,-7665000000.000000,499000000.000000,-1289000000.000000,,1103000000.000000,,101377000000.000000,-61190000000.000000,-59891000000.000000,-1947000000.000000,648000000.000000,,,,,,,-61190000000.000000,-34139000000.000000,15156000000.000000,-48825000000.000000,,,,,,-470000000.000000,,,-34139000000.000000,,6048000000.000000,,23068000000.000000,29116000000.000000
12M 2015,26040000000.000000,648873000000.000000,,-256829000000.000000,-116307000000.000000,-233239000000.000000,-606375000000.000000,-12688000000.000000,,-12160000000.000000,228000000.000000,-265000000.000000,,8427000000.000000,,26040000000.000000,-140209000000.000000,-140425000000.000000,,216000000.000000,,,,,,,-140209000000.000000,109121000000.000000,271571000000.000000,-161814000000.000000,,,,,,-636000000.000000,,,109121000000.000000,,-5048000000.000000,,29116000000.000000,24068000000.000000
12M 2016,119156000000.000000,859718000000.000000,,-381591000000.000000,-125069000000.000000,-211951000000.000000,-718611000000.000000,-6874000000.000000,,-15898000000.000000,406000000.000000,-399000000.000000,,814000000.000000,,119156000000.000000,-142554000000.000000,-142601000000.000000,,47000000.000000,,,,,,,-142554000000.000000,34646000000.000000,235088000000.000000,-200279000000.000000,,,,,,-163000000.000000,,,34646000000.000000,,11248000000.000000,,24068000000.000000,35316000000.000000
12M 2017,87199000000.000000,826239000000.000000,,-219668000000.000000,-188962000000.000000,-304870000000.000000,-713500000000.000000,-6344000000.000000,,-22269000000.000000,304000000.000000,-1061000000.000000,,3830000000.000000,,87199000000.000000,-96935000000.000000,-96953000000.000000,-47000000.000000,65000000.000000,,,,,,,-96935000000.000000,-73000000.000000,111614000000.000000,-110730000000.000000,,,,,,-957000000.000000,,,-73000000.000000,,-9809000000.000000,,35316000000.000000,25507000000.000000
12M 2018,146588000000.000000,812844000000.000000,,-330173000000.000000,-109445000000.000000,-201877000000.000000,-641495000000.000000,-6113000000.000000,,-22320000000.000000,1895000000.000000,,,1777000000.000000,,146588000000.000000,-39459000000.000000,-37687000000.000000,-1952000000.000000,180000000.000000,,,,,,,-39459000000.000000,-30363000000.000000,68008000000.000000,-97896000000.000000,,,,,,-475000000.000000,,,-30363000000.000000,,76766000000.000000,,25507000000.000000,102273000000.000000
12M 2019,184178000000.000000,831781000000.000000,,-359930000000.000000,-95518000000.000000,-182396000000.000000,-637844000000.000000,-15885000000.000000,,-14875000000.000000,4939000000.000000,,,16062000000.000000,,184178000000.000000,-12359000000.000000,-8953000000.000000,-3628000000.000000,220000000.000000,2000000.000000,,,,,,-12359000000.000000,-145043000000.000000,,,,-148294000000.000000,,,,-439000000.000000,3690000000.000000,,-145043000000.000000,,26776000000.000000,,102273000000.000000,129049000000.000000
12M 2020,230679000000.000000,688153000000.000000,,-256368000000.000000,-91558000000.000000,-96707000000.000000,-444633000000.000000,-19093000000.000000,,-787000000.000000,6795000000.000000,,,244000000.000000,,230679000000.000000,-1836000000.000000,-4935000000.000000,,3099000000.000000,,,,,,,-1836000000.000000,-19578000000.000000,,,,-22992000000.000000,,,,,8198000000.000000,-4784000000.000000,-19578000000.000000,,209265000000.000000,174000000.000000,129049000000.000000,338488000000.000000
12M 2021,308296000000.000000,891790000000.000000,,-374135000000.000000,-97413000000.000000,-58155000000.000000,-529703000000.000000,-57864000000.000000,,-747000000.000000,10355000000.000000,,,-5535000000.000000,,308296000000.000000,-263298000000.000000,-180610000000.000000,-30000000.000000,188000000.000000,,-10000000000.000000,-72846000000.000000,,,,-263298000000.000000,-3492000000.000000,,,,,,,,,540000000.000000,-4032000000.000000,-3492000000.000000,,41506000000.000000,243000000.000000,338488000000.000000,380237000000.000000
12M 2022,312748000000.000000,1261945000000.000000,,-608528000000.000000,-109734000000.000000,-155521000000.000000,-873783000000.000000,-82053000000.000000,,-421000000.000000,12192000000.000000,,,-5132000000.000000,,312748000000.000000,-315826000000.000000,-315991000000.000000,,165000000.000000,,,,,,,-315826000000.000000,-1320000000.000000,,,,,,,,,,-1320000000.000000,-1320000000.000000,,-4398000000.000000,1883000000.000000,380237000000.000000,377722000000.000000
12M 2023,457646000000.000000,1491702000000.000000,,-675673000000.000000,-115904000000.000000,-157548000000.000000,-949125000000.000000,-112536000000.000000,,-283000000.000000,19253000000.000000,,-2002000000.000000,10637000000.000000,,457646000000.000000,-79989000000.000000,-80192000000.000000,,203000000.000000,,,,,,,-79989000000.000000,-1294000000.000000,,,,,,,,,,-1294000000.000000,-1294000000.000000,,376363000000.000000,-577000000.000000,377722000000.000000,753508000000.000000
12M 2024,447987000000.000000,1852723000000.000000,,-938137000000.000000,-155087000000.000000,-197541000000.000000,-1290765000000.000000,-126381000000.000000,,-114000000.000000,38204000000.000000,,-23813000000.000000,-1867000000.000000,,447987000000.000000,-343485000000.000000,-210835000000.000000,,1546000000.000000,,,-134196000000.000000,,,,-343485000000.000000,-532000000.000000,,,,,,,,,,-532000000.000000,-532000000.000000,,103970000000.000000,816000000.000000,753508000000.000000,858294000000.000000
