Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Pajak,Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,29311000000.000000,,,16042000000.000000,,9581000000.000000,4274000000.000000,59208000000.000000,,124311000000.000000,,,1496000000.000000,125807000000.000000,185015000000.000000,,,115217000000.000000,84251000000.000000,14599000000.000000,842000000.000000,15525000000.000000,,,,,,,,115217000000.000000,17900000000.000000,,,,,6577000000.000000,11323000000.000000,17900000000.000000,133117000000.000000,,589897000000.000000,5068000000.000000,-543067000000.000000,1072000000.000000,-544139000000.000000,-543067000000.000000,,51898000000.000000,185015000000.000000,589896800.000000
12M 2009,,,38471000000.000000,,,20093000000.000000,,7088000000.000000,7899000000.000000,73551000000.000000,,104023000000.000000,,,713000000.000000,104736000000.000000,178287000000.000000,,,29613000000.000000,,13728000000.000000,624000000.000000,15261000000.000000,,,,,,,,29613000000.000000,80455000000.000000,,67625000000.000000,,67625000000.000000,7651000000.000000,5179000000.000000,80455000000.000000,110068000000.000000,,589897000000.000000,5068000000.000000,-526746000000.000000,1072000000.000000,-527818000000.000000,-526746000000.000000,,68219000000.000000,178287000000.000000,589896800.000000
12M 2010,,,15670000000.000000,,10557000000.000000,95084000000.000000,845000000.000000,8488000000.000000,1237000000.000000,131881000000.000000,,100904000000.000000,,,91708000000.000000,192612000000.000000,324493000000.000000,,,87255000000.000000,37500000000.000000,15087000000.000000,2604000000.000000,12632000000.000000,,,19432000000.000000,,,19432000000.000000,,87255000000.000000,137360000000.000000,,122196000000.000000,,122196000000.000000,9452000000.000000,5712000000.000000,137360000000.000000,224615000000.000000,,589897000000.000000,5068000000.000000,-495087000000.000000,17393000000.000000,-512480000000.000000,-495087000000.000000,,99878000000.000000,324493000000.000000,589896800.000000
12M 2011,,,14787000000.000000,,,67700000000.000000,4097000000.000000,38965000000.000000,3286000000.000000,128835000000.000000,,102574000000.000000,,,84639000000.000000,187213000000.000000,316048000000.000000,,,75394000000.000000,1265000000.000000,25400000000.000000,582000000.000000,14814000000.000000,,,33333000000.000000,,,33333000000.000000,,75394000000.000000,114908000000.000000,,88912000000.000000,,88912000000.000000,13040000000.000000,12956000000.000000,114908000000.000000,190302000000.000000,,589897000000.000000,5068000000.000000,-469219000000.000000,49052000000.000000,-518271000000.000000,-469219000000.000000,,125746000000.000000,316048000000.000000,589896800.000000
12M 2012,,,39350000000.000000,,,71475000000.000000,312000000.000000,74592000000.000000,5760000000.000000,191489000000.000000,,109553000000.000000,1533000000.000000,,86519000000.000000,197605000000.000000,389094000000.000000,,,98624000000.000000,,52144000000.000000,1463000000.000000,11591000000.000000,,,33333000000.000000,93000000.000000,,33426000000.000000,,98624000000.000000,81348000000.000000,,57960000000.000000,51000000.000000,58011000000.000000,6248000000.000000,17089000000.000000,81348000000.000000,179972000000.000000,,589897000000.000000,5068000000.000000,-385843000000.000000,74920000000.000000,-460763000000.000000,-385843000000.000000,,209122000000.000000,389094000000.000000,589896800.000000
12M 2013,,,23068000000.000000,,,78952000000.000000,227000000.000000,84788000000.000000,9720000000.000000,196755000000.000000,,141558000000.000000,,,102751000000.000000,244309000000.000000,441064000000.000000,,,108730000000.000000,12100000000.000000,36859000000.000000,1863000000.000000,22900000000.000000,,,34875000000.000000,133000000.000000,,35008000000.000000,,108730000000.000000,67556000000.000000,,40292000000.000000,3336000000.000000,43628000000.000000,18710000000.000000,5218000000.000000,67556000000.000000,176286000000.000000,,589897000000.000000,5068000000.000000,-330187000000.000000,158296000000.000000,-488483000000.000000,-330187000000.000000,,264778000000.000000,441064000000.000000,589896800.000000
12M 2014,,,29116000000.000000,,,103914000000.000000,1731000000.000000,92474000000.000000,13661000000.000000,240896000000.000000,,171282000000.000000,,1593000000.000000,91094000000.000000,263969000000.000000,504865000000.000000,,,156900000000.000000,,64887000000.000000,5312000000.000000,50747000000.000000,,,35092000000.000000,862000000.000000,,35954000000.000000,,156900000000.000000,52166000000.000000,,19683000000.000000,3615000000.000000,23298000000.000000,24164000000.000000,4704000000.000000,52166000000.000000,209066000000.000000,,589897000000.000000,5068000000.000000,-299166000000.000000,213952000000.000000,-513118000000.000000,-299166000000.000000,,295799000000.000000,504865000000.000000,589896800.000000
12M 2015,,,24068000000.000000,,,125381000000.000000,1573000000.000000,99210000000.000000,26091000000.000000,276323000000.000000,,284380000000.000000,,1004000000.000000,91517000000.000000,376901000000.000000,653224000000.000000,,,199364000000.000000,70162000000.000000,68230000000.000000,1238000000.000000,51077000000.000000,,,7478000000.000000,1179000000.000000,,8657000000.000000,,199364000000.000000,125491000000.000000,,86892000000.000000,4230000000.000000,91122000000.000000,27987000000.000000,6382000000.000000,125491000000.000000,324855000000.000000,,589897000000.000000,5068000000.000000,-268778000000.000000,213952000000.000000,-482730000000.000000,-268778000000.000000,2182000000.000000,328369000000.000000,653224000000.000000,589896800.000000
12M 2016,,,35316000000.000000,,,152608000000.000000,1449000000.000000,95474000000.000000,34767000000.000000,319614000000.000000,,374177000000.000000,,588000000.000000,73100000000.000000,447865000000.000000,767479000000.000000,,,195466000000.000000,13758000000.000000,56798000000.000000,2584000000.000000,80861000000.000000,,,40546000000.000000,919000000.000000,,41465000000.000000,,195466000000.000000,187625000000.000000,,145201000000.000000,3510000000.000000,148711000000.000000,34786000000.000000,4128000000.000000,187625000000.000000,383091000000.000000,,589897000000.000000,5068000000.000000,-212827000000.000000,213952000000.000000,-426779000000.000000,-212827000000.000000,2250000000.000000,384388000000.000000,767479000000.000000,589896800.000000
12M 2017,,,25507000000.000000,,,140594000000.000000,1843000000.000000,107977000000.000000,18323000000.000000,294244000000.000000,,478184000000.000000,,208000000.000000,67600000000.000000,545992000000.000000,840236000000.000000,,,244888000000.000000,23066000000.000000,73488000000.000000,3882000000.000000,88391000000.000000,,,55586000000.000000,475000000.000000,,56061000000.000000,,244888000000.000000,172337000000.000000,,122151000000.000000,3245000000.000000,125396000000.000000,37360000000.000000,9581000000.000000,172337000000.000000,417225000000.000000,,589897000000.000000,5068000000.000000,-174585000000.000000,213952000000.000000,-388537000000.000000,-174585000000.000000,2631000000.000000,423011000000.000000,840236000000.000000,589896800.000000
12M 2018,,,102273000000.000000,,,131862000000.000000,2250000000.000000,109137000000.000000,18616000000.000000,364138000000.000000,,447249000000.000000,,2127000000.000000,67761000000.000000,517137000000.000000,881275000000.000000,,,262397000000.000000,,89450000000.000000,6888000000.000000,76258000000.000000,,,89678000000.000000,123000000.000000,,89801000000.000000,,262397000000.000000,136964000000.000000,,81403000000.000000,3055000000.000000,84458000000.000000,33944000000.000000,18562000000.000000,136964000000.000000,399361000000.000000,,589897000000.000000,5068000000.000000,-121627000000.000000,213952000000.000000,-335579000000.000000,-121627000000.000000,8576000000.000000,481914000000.000000,881275000000.000000,589896800.000000
12M 2019,,,129049000000.000000,,,134404000000.000000,2252000000.000000,78755000000.000000,6660000000.000000,351120000000.000000,,405448000000.000000,,4417000000.000000,61390000000.000000,471255000000.000000,822375000000.000000,,,175191000000.000000,,55991000000.000000,10662000000.000000,93404000000.000000,,,14521000000.000000,613000000.000000,,15134000000.000000,,175191000000.000000,79247000000.000000,,8419000000.000000,2761000000.000000,11180000000.000000,25819000000.000000,42248000000.000000,79247000000.000000,254438000000.000000,,589897000000.000000,5068000000.000000,-37742000000.000000,213952000000.000000,-251694000000.000000,-37742000000.000000,10714000000.000000,567937000000.000000,822375000000.000000,589896800.000000
12M 2020,,,338488000000.000000,,,119610000000.000000,2159000000.000000,80118000000.000000,4864000000.000000,545239000000.000000,,351626000000.000000,,3882000000.000000,58044000000.000000,413552000000.000000,958791000000.000000,,,183559000000.000000,,63317000000.000000,27326000000.000000,88087000000.000000,,,,4829000000.000000,,4829000000.000000,,183559000000.000000,74724000000.000000,,,3595000000.000000,3595000000.000000,20762000000.000000,50367000000.000000,74724000000.000000,258283000000.000000,,589897000000.000000,5068000000.000000,94853000000.000000,213952000000.000000,-119099000000.000000,94853000000.000000,10690000000.000000,700508000000.000000,958791000000.000000,589896800.000000
