Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Pendapatan Bunga,"Pembayaran Kas Kepada Pemasok, Karyawan, Dan Beban Operasi Lainnya",Pembayaran Beban Bunga Dan Beban Bunga Keuangan Lainnya,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan (Pencairan) Deposito Yang Telah Ditentukan Penggunaannya,Penempatan Investasi Dalam Obligasi,Penempatan Investasi Pada Entitas Asosiasi,Penempatan Investasi Dalam Instrumen Uang,Uang Muka Pembelian Aset Tetap,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penambahan Tanah Untuk Dikembangkan,Penambahan Properti Investasi,Penjualan Properti Investasi,Biaya Untuk Pengembang,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Efek Penawaran Saham Perdana,Penerimaan Dari Utang Bank,Pembayaran Utang Bank,Kenaikan (Penurunan) Utang Pihak Berelasi,Penerimaan (Pembayaran) Dari Pihak Berelasi,Penerimaan (Pembayaran) Dari (Ke) Pihak Ketiga,Penerimaan Dari Program Pengampunan Pajak,Pembayaran Utang Pembiayaan Konsumen,Kenaikan (Penurunan) Utang Jangka Panjang,Penerimaan Dana Dari Uang Muka Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,141042940257.000000,367802868516.000000,1041595671.000000,-184884972720.000000,-27684057431.000000,-15232493779.000000,141042940257.000000,-32253229114.000000,-524587345.000000,,,,,-19680045444.000000,,,-12048596325.000000,,,,-32253229114.000000,-89518486891.000000,,5689609016.000000,-101561702354.000000,55128020493.000000,,26082719290.000000,,-2072184295.000000,-72784949041.000000,,-89518486891.000000,19271224252.000000,16090552592.000000,35361776844.000000
12M 2019,146714441697.000000,421223404115.000000,929732518.000000,-224288741610.000000,-29400141795.000000,-21749811531.000000,146714441697.000000,-720602551405.000000,15236667084.000000,,-500000000000.000000,-222550000000.000000,,-9570845344.000000,,-2458695307.000000,-1093532048.000000,,,-166145790.000000,-720602551405.000000,574076642859.000000,654196429538.000000,309000000000.000000,-209145204762.000000,-178308284095.000000,,-1182402534.000000,,-483895288.000000,,,574076642859.000000,188533151.000000,35361776844.000000,35550309995.000000
12M 2020,40572168385.000000,222691368822.000000,43909665730.000000,-172199124377.000000,-42673458844.000000,-11156282946.000000,40572168385.000000,-161554766185.000000,-312597524.000000,,,-158378389000.000000,,-1771951252.000000,,-287924001.000000,-803904408.000000,,,,-161554766185.000000,117387376164.000000,,191000000000.000000,-28324135014.000000,-44886298721.000000,,556549345.000000,,-958739446.000000,,,117387376164.000000,-3595221636.000000,35550309995.000000,31955088359.000000
12M 2021,94228502205.000000,226781509520.000000,11919017094.000000,-96458175779.000000,-37179813217.000000,-10834035413.000000,94228502205.000000,-6041571726.000000,79386752.000000,,,-4395066000.000000,,-123135658.000000,,,-1602756820.000000,,,,-6041571726.000000,-97970752160.000000,,,-59226321336.000000,-2460966320.000000,,-35833600111.000000,,-449864393.000000,,,-97970752160.000000,-9783821681.000000,31955088359.000000,22171266678.000000
12M 2022,130097510671.000000,380390408515.000000,13006704972.000000,-188960127895.000000,-36467258086.000000,-37872216835.000000,130097510671.000000,-101140902394.000000,1596131428.000000,,,,,-4535036168.000000,122544297335.000000,,-220746294989.000000,,,,-101140902394.000000,-21357108840.000000,,,-40051996707.000000,17949209340.000000,,1097132282.000000,,-351453755.000000,,,-21357108840.000000,7599499437.000000,22171266678.000000,29770766115.000000
12M 2023,43449639956.000000,341536750699.000000,535134936.000000,-234038352184.000000,-42267862288.000000,-22316031207.000000,43449639956.000000,-554737478999.000000,254818057.000000,,,,,-12696812218.000000,,-571732893239.000000,-40713789974.000000,70151198375.000000,,,-554737478999.000000,502303714138.000000,,,385988387066.000000,82141454442.000000,,34266499332.000000,,-92626702.000000,,,502303714138.000000,-8984124905.000000,29770766115.000000,20786641210.000000
12M 2024,36635519919.000000,421849849616.000000,274611365.000000,-290139109935.000000,-71554364477.000000,-23795466650.000000,36635519919.000000,-11525081258.000000,-7550753.000000,,,,,-7630579782.000000,,,-16612968290.000000,12726017567.000000,,,-11525081258.000000,53266093238.000000,,,91349703316.000000,,,-38618997389.000000,,535387311.000000,,,53266093238.000000,78376531899.000000,20786641210.000000,99163173109.000000
