Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Untuk:,Pengembangan Tanah Dan Bangunan,Supplier,Total Pembayaran Untuk:,Pembayaran Beban Operasi,Pembayaran Bunga Pinjaman,Pembayaran Untuk Pajak,Pembayaran (Penerimaan) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Investasi Jangka Pendek,Penambahan Properti Investasi,Perolehan Aset Lain-Lain,Investasi Obligasi Jangka Panjang,Pelepasan Entitas Anak Dan Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Pembayaran Kepada Pihak Berelasi,Penerimaan Kepada Pihak Berelasi,Penawaran Umum Perdana Saham,Penambahan Modal,Beban Emisi Saham,Pembayaran Dividen,Pembayaran Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2019,-1275467000.000000,125410252000.000000,,-71417223000.000000,-7319354000.000000,-78736577000.000000,-33273907000.000000,-10636933000.000000,-5669898000.000000,1631596000.000000,-1275467000.000000,-48158054000.000000,-7855318000.000000,,-1699419000.000000,-36700567000.000000,-1902750000.000000,,,-48158054000.000000,2946732000.000000,20513515000.000000,-22526650000.000000,,5826609000.000000,,,,,-866742000.000000,2946732000.000000,-46486789000.000000,65586171000.000000,17248000.000000,19116630000.000000
12M 2020,-15130323000.000000,95142104000.000000,,-59179177000.000000,-14736063000.000000,-73915240000.000000,-24864870000.000000,-7371415000.000000,-5623295000.000000,1502393000.000000,-15130323000.000000,-33233164000.000000,-5891207000.000000,,,-27341957000.000000,,,,-33233164000.000000,56558786000.000000,21478339000.000000,-25669829000.000000,-1497887000.000000,53049000.000000,64350000000.000000,,-1903975000.000000,,-250911000.000000,56558786000.000000,8195299000.000000,19116632000.000000,1435000.000000,27313366000.000000
12M 2021,27933266000.000000,106179788000.000000,,-45273391000.000000,-10868000000.000000,-56141391000.000000,-12102959000.000000,-9816157000.000000,-3459634000.000000,3273619000.000000,27933266000.000000,-5547021000.000000,-1539490000.000000,,,-430279000.000000,-10000000.000000,-3567252000.000000,,-5547021000.000000,6041547000.000000,26169248000.000000,-16765538000.000000,-675917000.000000,,,,,-1936750000.000000,-749496000.000000,6041547000.000000,28427792000.000000,27313366000.000000,199621000.000000,55940779000.000000
12M 2022,5458276000.000000,157576912000.000000,,-119418081000.000000,,-119418081000.000000,-24717949000.000000,-8960719000.000000,-6877407000.000000,7855520000.000000,5458276000.000000,-4117022000.000000,-303152000.000000,,,-3809870000.000000,-4000000.000000,,,-4117022000.000000,41013603000.000000,50065612000.000000,-4733893000.000000,-1952690000.000000,,,,,-1936750000.000000,-428676000.000000,41013603000.000000,42354857000.000000,55940779000.000000,-379053000.000000,97916583000.000000
12M 2023,65550535000.000000,201420713000.000000,,-110316323000.000000,,-110316323000.000000,-56009205000.000000,-9484321000.000000,-4634723000.000000,44574394000.000000,65550535000.000000,-121908771000.000000,-53760611000.000000,,,-68111572000.000000,-36588000.000000,,,-121908771000.000000,4783206000.000000,-9758380000.000000,11822560000.000000,876128000.000000,,,,,,1842898000.000000,4783206000.000000,-51575030000.000000,97916583000.000000,102585000.000000,46444138000.000000
12M 2024,8792855000.000000,250890394000.000000,,-175937024000.000000,,-175937024000.000000,-50334670000.000000,-11014117000.000000,-7086438000.000000,2274710000.000000,8792855000.000000,-130931581000.000000,-118878485000.000000,,,-12017180000.000000,-35916000.000000,,,-130931581000.000000,95850852000.000000,72415896000.000000,20419679000.000000,6331802000.000000,,,,,-3873501000.000000,556976000.000000,95850852000.000000,-26287874000.000000,46444138000.000000,-248978000.000000,19907286000.000000
