Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Final,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,96206544000.000000,-33098595000.000000,63107949000.000000,-40928887000.000000,-8695466000.000000,-32233421000.000000,-40928887000.000000,22179062000.000000,-13488440000.000000,-3804701000.000000,-10636933000.000000,989376000.000000,-36182000.000000,-13488440000.000000,8690622000.000000,3270490000.000000,-54191000.000000,3324681000.000000,3270490000.000000,11961112000.000000,,11961112000.000000,556540000.000000,12517652000.000000,11961112000.000000,13798878000.000000,-1837766000.000000,11961112000.000000,12517652000.000000,14355418000.000000,-1837766000.000000,12517652000.000000
12M 2020,89548973000.000000,-36990191000.000000,52558782000.000000,-27109651000.000000,-4591790000.000000,-22517861000.000000,-27109651000.000000,25449131000.000000,-11637018000.000000,-4912507000.000000,-7371415000.000000,815465000.000000,-168561000.000000,-11637018000.000000,13812113000.000000,2419143000.000000,-43220000.000000,2462363000.000000,2419143000.000000,16231256000.000000,,16231256000.000000,199372000.000000,16430628000.000000,16231256000.000000,19814093000.000000,-3582837000.000000,16231256000.000000,16430628000.000000,20013465000.000000,-3582837000.000000,16430628000.000000
12M 2021,100601055000.000000,-39739244000.000000,60861811000.000000,-22796954000.000000,-4929266000.000000,-17867688000.000000,-22796954000.000000,38064857000.000000,-14252742000.000000,-5124494000.000000,-9816157000.000000,407798000.000000,280111000.000000,-14252742000.000000,23812115000.000000,6470669000.000000,-66034000.000000,6536703000.000000,6470669000.000000,30282784000.000000,,30282784000.000000,-87514000.000000,30195270000.000000,30282784000.000000,33524128000.000000,-3241344000.000000,30282784000.000000,30195270000.000000,33436614000.000000,-3241344000.000000,30195270000.000000
12M 2022,137940281000.000000,-56711259000.000000,81229022000.000000,-35584041000.000000,-6617608000.000000,-28966433000.000000,-35584041000.000000,45644981000.000000,-12326231000.000000,-5643639000.000000,-8960719000.000000,1296757000.000000,981370000.000000,-12326231000.000000,33318750000.000000,1212651000.000000,-150364000.000000,1363015000.000000,1212651000.000000,34531401000.000000,,34531401000.000000,376906000.000000,34908307000.000000,34531399000.000000,35889397000.000000,-1357998000.000000,34531399000.000000,34908305000.000000,36253665000.000000,-1345360000.000000,34908305000.000000
12M 2023,178268259000.000000,-61580168000.000000,116688091000.000000,-47807091000.000000,-9570454000.000000,-38236637000.000000,-47807091000.000000,68881000000.000000,-7741031000.000000,-6404033000.000000,-9484321000.000000,7182269000.000000,965054000.000000,-7741031000.000000,61139969000.000000,-4130812000.000000,-149276000.000000,-3981536000.000000,-4130812000.000000,57009157000.000000,,57009157000.000000,569055000.000000,57578212000.000000,57009157000.000000,55199524000.000000,1809633000.000000,57009157000.000000,57578212000.000000,55763600000.000000,1814612000.000000,57578212000.000000
12M 2024,204508061000.000000,-69198170000.000000,135309891000.000000,-55488930000.000000,-10157761000.000000,-45331169000.000000,-55488930000.000000,79820961000.000000,-16649590000.000000,-7077039000.000000,-11014117000.000000,593299000.000000,848267000.000000,-16649590000.000000,63171371000.000000,-2922325000.000000,-220945000.000000,-2701380000.000000,-2922325000.000000,60249046000.000000,,60249046000.000000,323732000.000000,60572778000.000000,60249046000.000000,58726984000.000000,1522062000.000000,60249046000.000000,60572778000.000000,59067979000.000000,1504799000.000000,60572778000.000000
