Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada:,Pemasok,Gaji Dan Tunjangan Karyawan,Beban Usaha Lainnya,Adjustment,Total Pembayaran Kepada:,Pembayaran Untuk Pajak Penghasilan Badan,Penerimaan Pendapatan Keuangan,Pembayaran Beban Keuangan,Penerimaan Hibah Pemerintah,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pembayaran Utang Bank,Uang Muka Untuk Perolehan Aset Tetap,Pencairan Surat Berharga,Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Hasil Penawaran Umum Perdana Saham,Setoran Modal Dari Pelaksanaan Waran,Pembayaran Biaya Emisi Saham,Pembayaran Utang Bank,Pembayaran Utang Entitas Anak Yang Diakuisisi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,411943606.000000,659766030.000000,-246949000.000000,,,,,-246949000.000000,,2326.000000,-875750.000000,,411943606.000000,93993172085.000000,-54711850521.000000,,,,150537500000.000000,-1832477394.000000,93993172085.000000,-72369981796.000000,,,,,-72369981796.000000,-72369981796.000000,22035133895.000000,156600000.000000,22191733895.000000
12M 2018,9014609705.000000,22455440865.000000,-11744845350.000000,,,,,-11744845350.000000,-32209500.000000,1314689444.000000,-2978465754.000000,,9014609705.000000,-10808576930.000000,-2808576930.000000,,,-8000000000.000000,,,-10808576930.000000,-17044979670.000000,,,,-17044979670.000000,,-17044979670.000000,-18838946895.000000,22191733895.000000,3352787000.000000
12M 2019,9586837788.000000,17109914014.000000,-12265603650.000000,,,,,-12265603650.000000,-175406875.000000,5969857715.000000,-1051923416.000000,,9586837788.000000,-44917938200.000000,-44484520250.000000,88354167.000000,,-521772117.000000,,,-44917938200.000000,183529270412.000000,206000000000.000000,106542000.000000,-6000000000.000000,-16577271588.000000,,183529270412.000000,148198170000.000000,3352787000.000000,151550957000.000000
12M 2020,-766527353.000000,2104187153.000000,-7865641167.000000,,,,,-7865641167.000000,-234600500.000000,5146160084.000000,-59785571.000000,143152648.000000,-766527353.000000,-2769403579.000000,-2769403579.000000,,,,,,-2769403579.000000,11394432.000000,,11394432.000000,,,,11394432.000000,-3524536500.000000,151550957000.000000,148026420500.000000
12M 2021,-1286779394.000000,1814901389.000000,-4918861147.000000,,,,,-4918861147.000000,,2062059643.000000,-244879279.000000,,-1286779394.000000,-4100535754.000000,-4100535754.000000,,,,,,-4100535754.000000,1987200.000000,,1987200.000000,,,,1987200.000000,-5385327948.000000,148026420500.000000,142641092552.000000
12M 2022,-345168818.000000,4628649853.000000,-6580316920.000000,,,,,-6580316920.000000,,2086600951.000000,-480102702.000000,,-345168818.000000,-2161070899.000000,-2161070899.000000,,,,,,-2161070899.000000,118800.000000,,118800.000000,,,,118800.000000,-2506120917.000000,142641092552.000000,140134971635.000000
12M 2023,3605683917.000000,12523750702.000000,-10242984202.000000,,,,,-10242984202.000000,,1980522701.000000,-655605284.000000,,3605683917.000000,-3823536291.000000,-3823536291.000000,,,,,,-3823536291.000000,,,,,,,,-217852374.000000,140134971635.000000,139917119261.000000
12M 2024,4187545736.000000,18217210991.000000,,-7213008080.000000,-2862528317.000000,-5136815333.000000,,-15212351730.000000,,1898306886.000000,-715620411.000000,,4187545736.000000,-264763431.000000,-264763431.000000,,,,,,-264763431.000000,,,,,,,,3922782305.000000,139917119261.000000,143839901566.000000
