Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2022,0.00 B,1814965.32,0.00,0.00,,5.60%,26.99%,42.29%,
12M 2023,0.00 B,209745.18,0.00,0.00,,11.83%,16.58%,31.40%,
12M 2024,0.80 B,3.15,57.78,3.26,,4.66%,5.24%,9.73%,
