Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2022,0.91,0.12,0.67,4.82,0.0,0.0,0.37,0.14,3.82
12M 2023,3.4,1.3,0.11,1.4,0.0,0.0,-0.05,0.08,0.4
12M 2024,10.82,3.74,0.03,1.12,0.0,0.0,-0.01,0.03,0.12
