Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2022,8964855280.000000,-5573609620.000000,3391245660.000000,-2136509050.000000,-2136509050.000000,-2136509050.000000,1254736610.000000,-197813742.000000,-197813742.000000,-197813742.000000,1056922868.000000,-149440209.000000,-227168280.000000,77728071.000000,-149440209.000000,907482659.000000,,907482659.000000,-2598101.000000,-2598101.000000,-2598101.000000,904884558.000000,907482659.000000,907482659.000000,,907482659.000000,904884558.000000,904884558.000000,,904884558.000000
12M 2023,49130209616.000000,-37676136315.000000,11454073301.000000,-7319754763.000000,-7319754763.000000,-7319754763.000000,4134318538.000000,-410566132.000000,-410566132.000000,-410566132.000000,3723752406.000000,-787319846.000000,-962908033.000000,175588187.000000,-787319846.000000,2936432560.000000,,2936432560.000000,-86445418.000000,-86445418.000000,-86445418.000000,2849987142.000000,2936432560.000000,2936432560.000000,,2936432560.000000,2849987142.000000,2849987142.000000,,2849987142.000000
12M 2024,44632383660.000000,-30152189447.000000,14480194213.000000,-11051064550.000000,-11051064550.000000,-11051064550.000000,3429129663.000000,-242570343.000000,-242570343.000000,-242570343.000000,3186559320.000000,-670132954.000000,-807507762.000000,137374808.000000,-670132954.000000,2516426366.000000,,2516426366.000000,190628742.000000,190628742.000000,190628742.000000,2707055108.000000,2516426366.000000,2516426366.000000,,2516426366.000000,2707055108.000000,2707055108.000000,,2707055108.000000
