Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Lainnya,Pembayaran Kepada Karyawan,Pembayaran Beban Operasi,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Takberwujud,Perolehan Aset Hak-Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank,Penerimaan Utang Bank,Penambahan Modal Disetor,Penerbitan Saham Publik,Pembayaran Liabilitas Sewa,Pembayaran Utang Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2022,-1438151413.000000,9000536584.000000,-7495498756.000000,-1896315851.000000,-693159039.000000,-317299974.000000,-36414377.000000,-1438151413.000000,-572547400.000000,-344297400.000000,-3250000.000000,-225000000.000000,-572547400.000000,1733125902.000000,-247632453.000000,,,,-568539045.000000,,2549297400.000000,1733125902.000000,-277572911.000000,1285882994.000000,1008310083.000000
12M 2023,2012490242.000000,48668469063.000000,-30378891016.000000,-12899210433.000000,-3039232602.000000,-292885119.000000,-45759651.000000,2012490242.000000,-3675568712.000000,-3416518712.000000,-17050000.000000,-242000000.000000,-3675568712.000000,3490446985.000000,-2252367547.000000,2000000000.000000,11500000000.000000,,-82380168.000000,-7929805300.000000,255000000.000000,3490446985.000000,1827368515.000000,1008310083.000000,2835678598.000000
12M 2024,-26487720184.000000,45293533160.000000,-50660455436.000000,-14866244865.000000,-4248560907.000000,-286941136.000000,-1719051000.000000,-26487720184.000000,-2887415379.000000,-2580965379.000000,-53450000.000000,-253000000.000000,-2887415379.000000,28669391438.000000,-400000008.000000,,27591253334.000000,,-386861888.000000,,1865000000.000000,28669391438.000000,-705744125.000000,2835678598.000000,2129934473.000000
