Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2022,,,1008310083.000000,251548494.000000,8053942927.000000,,9313801504.000000,,5204338434.000000,120280831.000000,1576856994.000000,6901476259.000000,16215277763.000000,,,10281108793.000000,1866324409.000000,243730381.000000,,7674805300.000000,,413868535.000000,82380168.000000,496248703.000000,10281108793.000000,2571741735.000000,,1838499012.000000,599288395.000000,2437787407.000000,133954328.000000,2571741735.000000,12852850528.000000,,500000000.000000,,2865025336.000000,,2865025336.000000,2865025336.000000,,-2598101.000000,3362427235.000000,16215277763.000000,500.000000
12M 2023,,,2835678598.000000,661149500.000000,9326168382.000000,2283928953.000000,15106925433.000000,,7990294959.000000,320251058.000000,1414631793.000000,9725177810.000000,24832103243.000000,,,4436989530.000000,907343843.000000,1199695881.000000,1842500000.000000,,,400000008.000000,87449798.000000,487449806.000000,4436989530.000000,2682699336.000000,,1599999992.000000,565143412.000000,2165143404.000000,517555932.000000,2682699336.000000,7119688866.000000,,14000000000.000000,,3801457896.000000,500000000.000000,3301457896.000000,3801457896.000000,,-89043519.000000,17712414377.000000,24832103243.000000,14000.000000
12M 2024,,,2145389344.000000,,27570512276.000000,12404797449.000000,42120699069.000000,,9759571523.000000,492001541.000000,1590427795.000000,11842000859.000000,53962699928.000000,,,3891308480.000000,831148390.000000,322528318.000000,382800340.000000,1865000000.000000,,400000008.000000,89831424.000000,489831432.000000,3891308480.000000,2060668629.000000,,1199999984.000000,580534647.000000,1780534631.000000,280133998.000000,2060668629.000000,5951977109.000000,,20000000000.000000,21591253334.000000,6317884262.000000,2800000000.000000,3517884262.000000,6317884262.000000,,101585223.000000,48010722819.000000,53962699928.000000,800000000.000000
