Period,Total Pendapatan,Premi Bruto,Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Hasil Investasi,Total Pendapatan,Total Beban Usaha,Klaim Bruto,Klaim Reasuransi,Beban Komisi,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,292572110227.000000,606979804529.000000,-289745308586.000000,-49680124269.000000,25017738553.000000,292572110227.000000,-272308876645.000000,-242433800893.000000,133947220206.000000,-44438777578.000000,-109654165845.000000,-9729352535.000000,-272308876645.000000,20263233582.000000,7071975878.000000,27335209460.000000,-1687200720.000000,25648008740.000000,187973860.000000,,187973860.000000,187973860.000000,25835982600.000000,25648008740.000000,25645337802.000000,2670938.000000,25648008740.000000,25835982600.000000,25833311662.000000,2670938.000000,25835982600.000000
12M 2012,379183671502.000000,615740869071.000000,-228116520551.000000,-35771886508.000000,27331209490.000000,379183671502.000000,-345994132102.000000,-277015065382.000000,131469610079.000000,-46702379320.000000,-140069971727.000000,-13676325752.000000,-345994132102.000000,33189539400.000000,7128394217.000000,40317933617.000000,-7675914358.000000,32642019259.000000,400937700.000000,,400937700.000000,400937700.000000,33042956959.000000,32642019259.000000,32639239216.000000,2780043.000000,32642019259.000000,33042956959.000000,33040176916.000000,2780043.000000,33042956959.000000
12M 2013,406547478955.000000,658884398751.000000,-263090820252.000000,-20158478865.000000,30912379321.000000,406547478955.000000,-368788936737.000000,-272513891155.000000,113383915904.000000,-44697981441.000000,-152417130535.000000,-12543849510.000000,-368788936737.000000,37758542218.000000,7088959110.000000,44847501328.000000,-11125762562.000000,33721738766.000000,800898740.000000,,800898740.000000,800898740.000000,34522637506.000000,33721738766.000000,33718841908.000000,2896858.000000,33721738766.000000,34522637506.000000,34519740648.000000,2896858.000000,34522637506.000000
12M 2014,587779506033.000000,902190147530.000000,-299940058750.000000,-59952823709.000000,45482240962.000000,587779506033.000000,-521254302889.000000,-372656780484.000000,144286917071.000000,-114144601659.000000,-165996644131.000000,-12743193686.000000,-521254302889.000000,66525203144.000000,1780440961.000000,68305644105.000000,-9983333367.000000,58322310738.000000,1407398240.000000,,1407398240.000000,1407398240.000000,59729708978.000000,58322310738.000000,58320461885.000000,1848853.000000,58322310738.000000,59729708978.000000,59727860125.000000,1848853.000000,59729708978.000000
12M 2015,707404901421.000000,939924860838.000000,-298792331679.000000,15296273210.000000,50976099052.000000,707404901421.000000,-630319528245.000000,-419085057793.000000,129975338920.000000,-129302408065.000000,-234164599898.000000,22257198591.000000,-630319528245.000000,77085373176.000000,2393885109.000000,79479258285.000000,-15575313116.000000,63903945169.000000,-580292839.000000,,-580292839.000000,-580292839.000000,63323652330.000000,63903945169.000000,63856526486.000000,47418683.000000,63903945169.000000,63323652330.000000,63276233647.000000,47418683.000000,63323652330.000000
12M 2016,798167697137.000000,1065490253589.000000,-306481170704.000000,-1619258036.000000,40777872288.000000,798167697137.000000,-730806039971.000000,-459513467116.000000,137143525026.000000,-130634478631.000000,-266973780620.000000,-10827838630.000000,-730806039971.000000,67361657166.000000,10467854996.000000,77829512162.000000,-14678829365.000000,63150682797.000000,184296132.000000,,184296132.000000,184296132.000000,63334978929.000000,63150682797.000000,63378408555.000000,-227725758.000000,63150682797.000000,63334978929.000000,63563186977.000000,-228208048.000000,63334978929.000000
12M 2017,849463668131.000000,983464695758.000000,-198934389440.000000,17356195071.000000,47577166742.000000,849463668131.000000,-783871359494.000000,-497989438512.000000,135553271232.000000,-158699029238.000000,-260203383812.000000,-2532779164.000000,-783871359494.000000,65592308637.000000,8251688350.000000,73843996987.000000,-12920521178.000000,60923475809.000000,-514896015.000000,,-514896015.000000,-514896015.000000,60408579794.000000,60923475809.000000,60924495325.000000,-1019516.000000,60923475809.000000,60408579794.000000,60409458086.000000,-878292.000000,60408579794.000000
12M 2018,942887361824.000000,1131106035424.000000,-194404049481.000000,-34536641426.000000,40722017307.000000,942887361824.000000,-891340022586.000000,-568864647832.000000,176976265380.000000,-197657901754.000000,-300940979082.000000,-852759298.000000,-891340022586.000000,51547339238.000000,36651565328.000000,88198904566.000000,-11606411205.000000,76592493361.000000,-5647133233.000000,,-5647133233.000000,-5647133233.000000,70945360128.000000,76592493361.000000,76589008611.000000,3484750.000000,76592493361.000000,70945360128.000000,70941809996.000000,3550132.000000,70945360128.000000
12M 2019,1202282735311.000000,1468827174961.000000,-278958128249.000000,-12368654702.000000,24782343301.000000,1202282735311.000000,-1141697863350.000000,-853529183654.000000,238907787302.000000,-231742317728.000000,-299073101555.000000,3738952285.000000,-1141697863350.000000,60584871961.000000,14425327357.000000,75010199318.000000,-12141758385.000000,62868440933.000000,-1334259847.000000,,-1334259847.000000,-1334259847.000000,61534181086.000000,62868440933.000000,62865106299.000000,3334634.000000,62868440933.000000,61534181086.000000,61530852997.000000,3328089.000000,61534181086.000000
12M 2020,1353090332991.000000,1485450251023.000000,-161767043947.000000,-543231251.000000,29950357166.000000,1353090332991.000000,-1289466456210.000000,-878566964602.000000,154249511734.000000,-279270827820.000000,-275448589027.000000,-10429586495.000000,-1289466456210.000000,63623876781.000000,13205411742.000000,76829288523.000000,-11279917874.000000,65549370649.000000,10728923356.000000,,10728923356.000000,10728923356.000000,76278294005.000000,65549370649.000000,65545412374.000000,3958275.000000,65549370649.000000,76278294005.000000,76274291318.000000,4002687.000000,76278294005.000000
