Period,Aset,Kas Dan Setara Kas,Piutang Premi,Pihak Berelasi,Pihak Ketiga,Total Piutang Premi,Piutang Reasuransi,Pihak Berelasi,Pihak Ketiga,Total Piutang Reasuransi,Piutang Lain-Lain,Piutang Pihak Berelasi,Aset Reasuransi,Deposito Berjangka,Efek Tersedia Untuk Dijual,Properti Investasi,Investasi Pada Entitas Asosiasi,Aset Tetap,Goodwill,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Klaim,Utang Reasuransi,Pihak Berelasi,Pihak Ketiga,Total Utang Reasuransi,Utang Pajak,Utang Bank,Utang Sewa Pembiayaan,Utang Pihak Berelasi,Liabilitas Kontrak Asuransi,Utang Lain-Lain,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,18000333241.000000,,41467896.000000,63968172646.000000,64009640542.000000,,100901938.000000,31649074887.000000,31749976825.000000,2071337977.000000,7067182754.000000,199989249294.000000,247689457350.000000,1014836300.000000,,11972633208.000000,28837707073.000000,,6829031878.000000,38173359643.000000,657404746085.000000,,,24423052101.000000,24400661425.000000,,24400661425.000000,24400661425.000000,2522230970.000000,2040603756.000000,,,351308372414.000000,36147405270.000000,74845069665.000000,515687395601.000000,,53199938000.000000,20290956430.000000,67659206088.000000,37151027142.000000,30508178946.000000,67659206088.000000,,18029976.000000,549219990.000000,141717350484.000000,657404746085.000000,106399876.000000
12M 2011,,21590650015.000000,,211908369.000000,99210734402.000000,99422642771.000000,,,21730455074.000000,21730455074.000000,1046652872.000000,6938952658.000000,192763119084.000000,338236178042.000000,1202810160.000000,,12456264455.000000,36651470504.000000,,7419361930.000000,62801957683.000000,802260515248.000000,,,19293756797.000000,51920169772.000000,1234247285.000000,50685922487.000000,51920169772.000000,1058573159.000000,1196058756.000000,,,338614689869.000000,64576834881.000000,156971555109.000000,633631638343.000000,,83439823000.000000,24524464070.000000,59908965741.000000,16139220473.000000,43769745268.000000,59908965741.000000,,18430244.000000,737193850.000000,168628876905.000000,802260515248.000000,166879646.000000
12M 2012,,23674118061.000000,,260334921.000000,85999265513.000000,86259600434.000000,,19521221.000000,33271995410.000000,33291516631.000000,5913284506.000000,6737833927.000000,384518032451.000000,302069026583.000000,1603747860.000000,,14117183306.000000,49475295617.000000,,10232502598.000000,153033708202.000000,1070925850176.000000,,,25173803012.000000,44722481694.000000,,44722481694.000000,44722481694.000000,913150836.000000,,,,729217909307.000000,77491915915.000000,32893251878.000000,910412512642.000000,,107279711000.000000,684576070.000000,51391177643.000000,44006794686.000000,7384382957.000000,51391177643.000000,,19741271.000000,1138131550.000000,160513337534.000000,1070925850176.000000,214559422.000000
12M 2013,,35190227049.000000,,275453870.000000,94910952121.000000,95186405991.000000,,952891480.000000,26890791537.000000,27843683017.000000,6407755878.000000,2720174981.000000,427697723676.000000,331246874027.000000,2404646600.000000,12863943000.000000,15157779222.000000,56646774092.000000,,13428656360.000000,140967734750.000000,1167762378643.000000,,,28358565308.000000,43432744927.000000,,,43432744927.000000,5633128951.000000,,,,807025261558.000000,67922254933.000000,32156745159.000000,984528700836.000000,,107279711000.000000,684576070.000000,73309251341.000000,64845265692.000000,8463985649.000000,73309251341.000000,,21109106.000000,1939030290.000000,183233677807.000000,1167762378643.000000,214559422.000000
12M 2014,,33232210329.000000,,3318795.000000,198163903382.000000,198167222177.000000,,1308758690.000000,25581800918.000000,26890559608.000000,14439158119.000000,2468858207.000000,525648129196.000000,390863955578.000000,3812044840.000000,57786785599.000000,16339420426.000000,54122799917.000000,,17441841694.000000,44774358758.000000,1385987344448.000000,,,47888675743.000000,31614850127.000000,,,31614850127.000000,2907826030.000000,,,,976171224117.000000,50921419081.000000,45320730775.000000,1154824725873.000000,,107279711000.000000,684576070.000000,119828945016.000000,86763339390.000000,33065605626.000000,119828945016.000000,,22957959.000000,3346428530.000000,231162618575.000000,1385987344448.000000,214559422.000000
12M 2015,,36399601119.000000,,3160246.000000,155193789279.000000,155196949525.000000,,874151801.000000,34763309376.000000,35637461177.000000,20337221119.000000,2054703877.000000,556171750590.000000,373781949129.000000,5325209200.000000,114529700000.000000,18192926959.000000,56474858495.000000,1326041159.000000,17104677479.000000,29561019530.000000,1422094069358.000000,,,40419052477.000000,19065133266.000000,,,19065133266.000000,3624768699.000000,,,,980840753185.000000,52814660142.000000,50916086568.000000,1147680454337.000000,,107279711000.000000,684576070.000000,161271997594.000000,126846250405.000000,34425747189.000000,161271997594.000000,,317737467.000000,4859592890.000000,274413615021.000000,1422094069358.000000,214559422.000000
12M 2016,,42596023134.000000,,44673242.000000,197024579931.000000,197069253173.000000,,46378551.000000,46853379369.000000,46899757920.000000,6878287061.000000,,484107347199.000000,316571486531.000000,3769818000.000000,135429000000.000000,8703922070.000000,54064933451.000000,1326041159.000000,15669059808.000000,121569914374.000000,1434654843880.000000,,,39939690646.000000,22329118426.000000,,,22329118426.000000,2083076095.000000,,,1000000000.000000,955607593307.000000,52026274573.000000,51178047773.000000,1124163800820.000000,,107279711000.000000,684576070.000000,206007430681.000000,170319631801.000000,35687798880.000000,206007430681.000000,,85350465.000000,-3566025156.000000,310491043060.000000,1434654843880.000000,214559422.000000
12M 2017,,58834584316.000000,,106761.000000,150026381013.000000,150026487774.000000,,,95902252317.000000,95902252317.000000,16148718092.000000,,442381360117.000000,264042646689.000000,115058926625.000000,141976975000.000000,10439656753.000000,49348563105.000000,,17278271254.000000,57086352961.000000,1418524795003.000000,,,46602225785.000000,31168854644.000000,,,31168854644.000000,2475187877.000000,,,,859990299369.000000,77078977792.000000,44913329026.000000,1062228874493.000000,,107279711000.000000,735170270.000000,244270277639.000000,212242098156.000000,32028179483.000000,244270277639.000000,,15890983.000000,3994870618.000000,356295920510.000000,1418524795003.000000,214559422.000000
12M 2018,,47582389796.000000,,,191983400214.000000,191983400214.000000,,,83837798495.000000,83837798495.000000,48030231712.000000,,433818300123.000000,211605200000.000000,107964786600.000000,157140000000.000000,9978743001.000000,59951428986.000000,,22729267258.000000,103385515534.000000,1478007061719.000000,,,55226694900.000000,6758852594.000000,,,6758852594.000000,3811410046.000000,,,,885027011432.000000,65208425935.000000,56189328374.000000,1072221723281.000000,,107279711000.000000,735170270.000000,300276937908.000000,251710651281.000000,48566286627.000000,300276937908.000000,,19441115.000000,-2525921855.000000,405785338438.000000,1478007061719.000000,214559422.000000
12M 2019,,35967111031.000000,,,257089177176.000000,257089177176.000000,,,87954156687.000000,87954156687.000000,52590512333.000000,,433520076941.000000,192475119000.000000,112031136280.000000,162071000000.000000,8413067469.000000,67512715635.000000,,28204393672.000000,110173363330.000000,1548001829554.000000,,,56377357170.000000,3121896229.000000,,,3121896229.000000,3139550600.000000,,,,902128973084.000000,75201797339.000000,64742975767.000000,1104712550189.000000,,117032317000.000000,36819812470.000000,288846879053.000000,258434889209.000000,30411989844.000000,288846879053.000000,,20058073.000000,570212769.000000,443289279365.000000,1548001829554.000000,234064634.000000
