Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Pengoperasian Lapangan Golf,Pembayaran Untuk /Kepada:,"Kontraktor, Pemasok Dan Lainnya",Gaji Dan Tunjangan Karyawan,Pembayaran Untuk Beban Usaha,Total Pembayaran Untuk /Kepada:,Adjustment,Penerimaan Dari Pendapatan Bunga,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Pembayaran Pajak Final,Pembayaran Biaya Langsung Lapangan Golf Dan Lainnya,Bahan-Bahan Makanan & Minuman Lapangan Golf,Pembayaran Untuk Pajak Bumi Dan Bangunan Dan Lainnya - Bersih,Penerimaan (Pembayaran) Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembebasan Tanah,Properti Investasi,Penjualan Investasi Pada Saham,Kenaikan (Penurunan) Kas Yang Dibatasi Penggunaannya,Akuisisi Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Investasi Pada Entitas Asosiasi,Akuisisi Saham Pt Pis Dan Na,Pembayaran Atas Investasi Pada Ventura Bersama,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Pembayaran Atas Akuisisi Entitas Anak Baru,Penjualan Aset Tetap,Perolehan Aset Hak Guna,Pembayaran Utang Entitas Anak,Pemberian Pinjaman Kepada Pihak Berelasi,Investasi - Penyertaan Modal,Uang Muka Investasi Pada Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank,Jangka Pendek,Jangka Panjang,Total Pembayaran Utang Bank,Kenaikan (Penurunan) Dana Yang Dibatasi Penggunaannya,Penerimaan Pinjaman Bank,Jangka Pendek,Jangka Panjang,Total Penerimaan Pinjaman Bank,Pembayaran Utang Sewa Pembiayaan,Peningkatan Modal Saham,Penerimaan Dari Pemutusan Transaksi Derivative,Biaya Emisi Saham,Perolehan Saham Treasuri,Penerimaan Dari Penerbitan Utang Obligasi,Penempatan Deposito,Biaya Penerimaan Utang Bank,Biaya Emisi Obligasi,Pembayaran Untuk Saham Treasuri,Pembayaran Obligasi Konversi,Pembayaran Utang Obligasi,Penerimaan Dari Kepentingan Non Pengendali,Dividen Kas,Penerimaan Utang Berelasi,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Dari Perubahan Kurs Mata Uang,Kas Dan Setara Kas Dari Akuisisi Entitas Anak Baru,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,249430788101.000000,471338386056.000000,,,-130834750807.000000,-32462878040.000000,-32742265698.000000,-196039894545.000000,,18344687330.000000,-26520761716.000000,-11162116457.000000,,,,-6529512567.000000,,,249430788101.000000,-234685066170.000000,,,,,,,,,-41609532155.000000,-3817377865.000000,,1000000.000000,,,,,-189259156150.000000,-234685066170.000000,-18080123899.000000,-159502641722.000000,,,-159502641722.000000,,143978801066.000000,,,143978801066.000000,-2556283243.000000,,,,,,,,,,,,,,,,-18080123899.000000,,-3334401968.000000,,,34905338048.000000,,31570936080.000000
12M 2009,144090913646.000000,382226876485.000000,,,-89466185372.000000,-36855353293.000000,-40354296925.000000,-166675835590.000000,,531217086.000000,-30595998218.000000,-18906118011.000000,,,,-22489228106.000000,,,144090913646.000000,-89969043192.000000,,,,,,,,,-14691478724.000000,-437506255.000000,,295388145.000000,,,,,-75135446358.000000,-89969043192.000000,-60346697436.000000,-119051232122.000000,,,-119051232122.000000,,61370803497.000000,,,61370803497.000000,-2666268811.000000,,,,,,,,,,,,,,,,-60346697436.000000,40.000000,-6224826942.000000,,,31570936080.000000,,25346109138.000000
12M 2010,-36404026672.000000,252131960735.000000,,,-145412646281.000000,-27066501836.000000,-51919286485.000000,-224398434602.000000,,768325274.000000,-30341462823.000000,-15491179406.000000,,,,-19073235850.000000,,,-36404026672.000000,-39992241372.000000,,,,,,,,,-38333421670.000000,-1717819702.000000,,59000000.000000,,,,,,-39992241372.000000,125241107859.000000,-85394123532.000000,,,-85394123532.000000,,211533516379.000000,,,211533516379.000000,-898284988.000000,,,,,,,,,,,,,,,,125241107859.000000,,48844839815.000000,,,25346109138.000000,,74190948953.000000
12M 2011,164249328991.000000,741038872658.000000,,,-335829428007.000000,-39701570405.000000,-94599478829.000000,-470130477241.000000,,2741856094.000000,-45981820947.000000,-14309894199.000000,,,,,-143857119137.000000,94747911763.000000,164249328991.000000,-88460917538.000000,,,,,,,,,-78038354302.000000,-10434033081.000000,,11469845.000000,,,,,,-88460917538.000000,-55944752118.000000,-115716182407.000000,,,-115716182407.000000,-1772115075.000000,132148420138.000000,,,132148420138.000000,-1204874774.000000,,,,,,,,,,-69400000000.000000,,,,,,-55944752118.000000,,19843659335.000000,,,74190948953.000000,,94034608288.000000
12M 2012,132340141358.000000,1182794855320.000000,,,-763046427814.000000,-64628312453.000000,-156889257230.000000,-984563997497.000000,,5311563402.000000,-69432448134.000000,-1769831733.000000,,,,,,,132340141358.000000,-750295689794.000000,,,,,,,,,-195095424957.000000,-303360264837.000000,-121048021138.000000,150000000.000000,,-130941978862.000000,,,,-750295689794.000000,1579689847774.000000,-120276358709.000000,,,-120276358709.000000,-18926163698.000000,437300000000.000000,,,437300000000.000000,-7388840322.000000,802421993250.000000,,-7230782747.000000,,500000000000.000000,,,-6210000000.000000,,,,,,,,1579689847774.000000,,961734299338.000000,,10075106249.000000,94048159936.000000,,1065857565523.000000
12M 2013,-306894356330.000000,1595294520372.000000,,,-1400816288338.000000,-73186254962.000000,-313366935820.000000,-1787369479120.000000,,19690099237.000000,-129784915355.000000,-4724581464.000000,,,,,,,-306894356330.000000,-2264987412222.000000,,,,,-2068902808302.000000,,,,,-168917985469.000000,,1092370808.000000,,,,-6800000000.000000,-21458989259.000000,-2264987412222.000000,2017908805489.000000,-252646773955.000000,,,-252646773955.000000,-131724141431.000000,734527500000.000000,,,734527500000.000000,-4718931661.000000,,,,,1742550000000.000000,,,-70078847464.000000,,,,,,,,2017908805489.000000,,-553972963063.000000,,,1065857565523.000000,,511884602460.000000
12M 2014,146827172833.000000,2586916211456.000000,,,-1647555457189.000000,-146265272441.000000,-244780088299.000000,-2038600817929.000000,,13850534167.000000,-312234703159.000000,-7302844164.000000,-95801207538.000000,,,,,,146827172833.000000,-67643628376.000000,,,,-69472684648.000000,,,,,,-24529894482.000000,,808950754.000000,,,,25550000000.000000,,-67643628376.000000,-8561271213.000000,-1246321556854.000000,,,-1246321556854.000000,,282100000000.000000,,,282100000000.000000,-4278252447.000000,,,,,1224693120000.000000,,-3750000000.000000,-167764197921.000000,,-30575047381.000000,,,-62665336610.000000,,,-8561271213.000000,,70622273244.000000,,,511884602460.000000,,582506875704.000000
12M 2015,394445454398.000000,2430427417365.000000,,,-1046474929620.000000,-168942841211.000000,-247667985417.000000,-1463085756248.000000,,31235320884.000000,-429899386036.000000,-42498041211.000000,-131734100356.000000,,,,,,394445454398.000000,-893637257857.000000,,,,-132346984567.000000,-721025012143.000000,,,,,-40829702813.000000,,564441666.000000,,,,,,-893637257857.000000,425874504718.000000,-62500000000.000000,,,-62500000000.000000,,153633000000.000000,,,153633000000.000000,-4149967508.000000,,,,,750000000000.000000,,,-10712719910.000000,,,-250000000000.000000,1000000.000000,-150396807864.000000,,,425874504718.000000,,-73317298741.000000,9430761331.000000,,582506875704.000000,,518620338294.000000
12M 2016,684332168821.000000,2850725491200.000000,,,-1026594797296.000000,-128105497996.000000,-363872098794.000000,-1518572394086.000000,,42442781988.000000,-494171508736.000000,-49653434224.000000,-146438767321.000000,,,,,,684332168821.000000,-771788198180.000000,,,,24649148669.000000,,,,-755000000000.000000,,-43041131813.000000,,1603784964.000000,,,,,,-771788198180.000000,-37472421453.000000,-241201692948.000000,,,-241201692948.000000,,182134000000.000000,,,182134000000.000000,-10619694974.000000,,,,,825821771250.000000,,,-27287404781.000000,,,-766319400000.000000,,,,,-37472421453.000000,,-124928450812.000000,5156698593.000000,,518620338294.000000,,398848586075.000000
12M 2017,685294026813.000000,3564252450275.000000,,,-1584485639728.000000,-218995342289.000000,-474825420567.000000,-2278306402584.000000,,46036269664.000000,-518958151296.000000,-46152708645.000000,-81577430601.000000,,,,,,685294026813.000000,-79564598622.000000,,,,148169564326.000000,,,,,,-228097160596.000000,,362997648.000000,,,,,,-79564598622.000000,68590190020.000000,-575321198679.000000,,,-575321198679.000000,,457415187073.000000,,,457415187073.000000,-6299044502.000000,,,,,3202320000000.000000,,,-89187760496.000000,-18890854800.000000,,-2801181600000.000000,,-100264538576.000000,,,68590190020.000000,,674319618211.000000,1951142368.000000,,398848586075.000000,,1075119346654.000000
