Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Pokok Penjualan,Adjustment,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Laba Dari Ventura Bersama,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,237129684761.000000,237129684761.000000,237129684761.000000,-126475666914.000000,-108840650164.000000,,-17635016750.000000,-126475666914.000000,110654017847.000000,-76328680423.000000,-13041269078.000000,-63287411345.000000,,,,-76328680423.000000,34325337424.000000,9901498500.000000,28969456226.000000,-22686941459.000000,18344687321.000000,-27613137258.000000,,1000000.000000,12886433670.000000,9901498500.000000,44226835924.000000,-41844528142.000000,-41844528142.000000,,-41844528142.000000,2382307782.000000,,2382307782.000000,,,2382307782.000000,2382307782.000000,,2382307782.000000,,,,,
12M 2009,292726441382.000000,292726441382.000000,292726441382.000000,-140395591958.000000,-122404433722.000000,,-17991158236.000000,-140395591958.000000,152330849424.000000,-86278625371.000000,-12785435528.000000,-73493189843.000000,,,,-86278625371.000000,66052224053.000000,-50708106626.000000,-6351708545.000000,-20910825667.000000,585870240.000000,-31167648525.000000,,36867782.000000,7099338089.000000,-50708106626.000000,15344117427.000000,-12988661685.000000,-12988661685.000000,,-12988661685.000000,2355455742.000000,,2355455742.000000,,,2355455742.000000,2355455742.000000,,2355455742.000000,,,,,
12M 2010,261325501687.000000,261325501687.000000,261325501687.000000,-120273483013.000000,-101455336829.000000,,-18818146184.000000,-120273483013.000000,141052018674.000000,-82633226082.000000,-11042889202.000000,-71590336880.000000,,,,-82633226082.000000,58418792592.000000,-6492517026.000000,97934888.000000,5520980423.000000,768325274.000000,-36409899731.000000,,59000000.000000,23471142120.000000,-6492517026.000000,51926275566.000000,-13329243667.000000,-13329243667.000000,,-13329243667.000000,38597031899.000000,4609002.000000,38601640901.000000,,,38601640901.000000,38597031899.000000,4609002.000000,38601640901.000000,,,,,
12M 2011,504637348122.000000,504637348122.000000,504637348122.000000,-238013505899.000000,-217863684694.000000,,-20149821205.000000,-238013505899.000000,266623842223.000000,-116591075203.000000,-57001934375.000000,-77299114859.000000,,,17709974031.000000,-116591075203.000000,150032767020.000000,-33889331822.000000,,8723421619.000000,2722843971.000000,-45335597412.000000,,,,-33889331822.000000,116143435198.000000,-24097695017.000000,-24097695017.000000,,-24097695017.000000,92045740181.000000,,92045740181.000000,,92045740181.000000,92045740181.000000,92072437053.000000,-26696872.000000,92045740181.000000,92045740181.000000,92072437053.000000,-26696872.000000,,92045740181.000000
12M 2012,1057768000026.000000,1057768000026.000000,1057768000026.000000,-556035917155.000000,-526584898384.000000,,-29451018771.000000,-556035917155.000000,501732082871.000000,-154741664509.000000,-52201874255.000000,-154370514211.000000,,,51830723957.000000,-154741664509.000000,346990418362.000000,-35383319192.000000,,29274722647.000000,5311563402.000000,-69969605241.000000,,,,-35383319192.000000,311607099170.000000,-51132218571.000000,-51132218571.000000,,-51132218571.000000,260474880599.000000,,260474880599.000000,,260474880599.000000,260474880599.000000,260520634812.000000,-45754213.000000,260474880599.000000,260474880599.000000,260520634812.000000,-45754213.000000,,260474880599.000000
12M 2013,1843944981934.000000,1843944981934.000000,1843944981934.000000,-511164323787.000000,-431500667656.000000,,-79663656131.000000,-511164323787.000000,1332780658147.000000,1331712065357.000000,-59528884084.000000,-261546147395.000000,,,1652787096836.000000,1331712065357.000000,2664492723504.000000,-115895065933.000000,,44353619506.000000,19690099237.000000,-179938784676.000000,,,,-115895065933.000000,2548597657571.000000,-96911187293.000000,-91117883920.000000,-5793303373.000000,-96911187293.000000,2451686470278.000000,,2451686470278.000000,,2451686470278.000000,2451686470278.000000,2451761413558.000000,-74943280.000000,2451686470278.000000,2451686470278.000000,2451761413558.000000,-74943280.000000,,2451686470278.000000
12M 2014,2839771320340.000000,2839771320340.000000,2839771320340.000000,-1239768317073.000000,-1153180466145.000000,,-86587850928.000000,-1239768317073.000000,1600003003267.000000,-351211893169.000000,-66875942936.000000,-335064902820.000000,,,50728952587.000000,-351211893169.000000,1248791110098.000000,-401632061557.000000,,,13850534167.000000,-415482595724.000000,,,,-401632061557.000000,847159048541.000000,-135947450606.000000,-143042310171.000000,7094859565.000000,-135947450606.000000,711211597935.000000,,711211597935.000000,6858927849.000000,718070525784.000000,711211597935.000000,711268448950.000000,-56851015.000000,711211597935.000000,718070525784.000000,718127376799.000000,-56851015.000000,,718070525784.000000
12M 2015,2962460902526.000000,2962460902526.000000,2962460902526.000000,-1286686974186.000000,-1199578892014.000000,,-87108082172.000000,-1286686974186.000000,1675773928340.000000,-237948675821.000000,-75513021269.000000,-342760198853.000000,-145281148996.000000,,325605693297.000000,-237948675821.000000,1437825252519.000000,-477716052296.000000,,,31235320884.000000,-508951373180.000000,,,,-477716052296.000000,960109200223.000000,-86689004265.000000,-45574442196.000000,-41114562069.000000,-86689004265.000000,873420195958.000000,,873420195958.000000,11785834396.000000,885206030354.000000,873420195958.000000,873420195958.000000,,873420195958.000000,885206030354.000000,885206030354.000000,,,885206030354.000000
12M 2016,2465211935368.000000,2465211935368.000000,2465211935368.000000,-863501805517.000000,-775555734535.000000,,-87946070982.000000,-863501805517.000000,1601710129851.000000,-554491475156.000000,-78693302812.000000,-295622776853.000000,-111114121008.000000,,-69061274483.000000,-554491475156.000000,1047218654695.000000,-496649401247.000000,,191220272.000000,42442781988.000000,-539283403507.000000,,,,-496649401247.000000,550569253448.000000,-49219580260.000000,-48746234724.000000,-473345536.000000,-49219580260.000000,501349673188.000000,,501349673188.000000,329686298.000000,501679359486.000000,501349673188.000000,501349673188.000000,,501349673188.000000,501679359486.000000,501679359486.000000,,,501679359486.000000
12M 2017,3195904064863.000000,3195904064863.000000,3195904064863.000000,-1257764609768.000000,-1169070908668.000000,,-88693701100.000000,-1257764609768.000000,1938139455095.000000,-717539807168.000000,-96756047305.000000,-454185739520.000000,-97959499745.000000,,-68638520598.000000,-717539807168.000000,1220599647927.000000,-543808285622.000000,,-5510000962.000000,46036269664.000000,-584334554324.000000,,,,-543808285622.000000,676791362305.000000,-62017754259.000000,-44667641012.000000,-17350113247.000000,-62017754259.000000,614773608046.000000,,614773608046.000000,-17848903888.000000,596924704158.000000,614773608046.000000,614773608046.000000,,614773608046.000000,596924704158.000000,596924704158.000000,,,596924704158.000000
