Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.15,340.67,0.15,340.67,331 B,,331 B,299 B,(182 B)
12M 2009,0.37,341.44,0.37,341.44,265 B,,265 B,239 B,(242 B)
12M 2010,0.68,364.07,0.68,364.07,407 B,,407 B,333 B,(316 B)
12M 2011,0.62,388.13,0.62,388.13,372 B,,372 B,278 B,(358 B)
12M 2012,1.72,355.21,1.72,355.21,386 B,815 B,"1,201 B",135 B,415 B
12M 2013,1.05,373.07,1.48,264.01,"1,057 B","2,411 B","3,468 B","2,956 B",(405 B)
12M 2014,1.22,425.37,1.64,316.31,314 B,"3,287 B","3,601 B","3,019 B",354 B
12M 2015,0.97,483.32,1.19,392.28,999 B,"3,544 B","4,543 B","4,024 B",(5 B)
12M 2016,0.65,526.23,0.79,435.19,,"4,023 B","4,498 B","4,099 B","1,005 B"
12M 2017,0.52,564.70,0.62,473.66,693 B,"4,167 B","4,860 B","3,785 B",784 B
12M 2018,0.41,544.94,0.50,453.90,79 B,"5,703 B","5,783 B","5,227 B","1,839 B"
12M 2019,0.37,578.51,0.44,487.47,257 B,"5,446 B","5,704 B","5,150 B","1,857 B"
12M 2020,0.15,336.73,0.18,291.19,"5,688 B",110 B,"5,798 B","5,584 B","(6,907 B)"
12M 2021,0.22,333.84,0.26,288.31,109 B,"6,500 B","6,609 B","5,497 B",(74 B)
12M 2022,0.24,337.15,0.28,291.62,337 B,"5,818 B","6,155 B","6,024 B",(599 B)
12M 2023,0.19,328.51,0.22,282.97,518 B,"5,846 B","6,363 B","6,178 B",(394 B)
12M 2024,0.19,275.62,0.23,230.08,"2,801 B","4,023 B","6,824 B","6,633 B","(2,894 B)"
