Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Untuk Beban Operasi,Penerimaan Dari Restitusi Pajak,Penerimaan (Pembayaran) Lainnya,Pembayaran Untuk Pajak,Pembayaran Beban Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank Jangka Pendek,Pembayaran Dividen,Penerimaan Dari Penawaran Umum Perdana,Penerimaan Dari Pelaksanaan Waran,Pembayaran Liabilitas Sewa,Biaya Emisi Saham,Pembayaran Pinjaman Bank,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Penerimaan Utang Pihak Berelasi,Penerimaan Utang Non-Usaha,Pembayaran Utang Non-Usaha,Pembayaran Utang Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Tahun
12M 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2019,1050035425.000000,83058781661.000000,-65486429628.000000,-9511385240.000000,-3105451717.000000,,498142062.000000,-2221471665.000000,-2182150048.000000,1050035425.000000,-625207850.000000,-625207850.000000,,-625207850.000000,-6243181848.000000,6000000000.000000,-7200000000.000000,,,,,,,,,,-2657603448.000000,-2385578400.000000,-6243181848.000000,-5818354273.000000,-10687936506.000000,-16506290779.000000
12M 2020,2857652471.000000,79581466480.000000,-62630940573.000000,-9431770275.000000,-197542679.000000,,286579810.000000,-1557082698.000000,-3193057594.000000,2857652471.000000,445922700.000000,-304077300.000000,750000000.000000,445922700.000000,4720562638.000000,,-3270000000.000000,,,,,,,9000000000.000000,,,,-1009437362.000000,4720562638.000000,8024137809.000000,-16506290779.000000,-8482152970.000000
12M 2021,-2905477590.000000,82117359619.000000,-67199095357.000000,-9956512426.000000,-2804108070.000000,,101365065.000000,-1536503267.000000,-3627983154.000000,-2905477590.000000,-334626600.000000,-334626600.000000,,-334626600.000000,-4956861277.000000,,-3600000000.000000,,,,,,,,,,,-1356861277.000000,-4956861277.000000,-8196965467.000000,-8482152970.000000,-16679118437.000000
12M 2022,-12657014552.000000,117171325240.000000,-100667546285.000000,-15614196809.000000,-5301352572.000000,,-69231947.000000,-5684160455.000000,-2491851724.000000,-12657014552.000000,-19945812923.000000,-20012412923.000000,66600000.000000,-19945812923.000000,62230370992.000000,,-6450000000.000000,75000000000.000000,,,-4650150000.000000,,,,,,,-1669479008.000000,62230370992.000000,29627543517.000000,-16679118437.000000,12948425080.000000
12M 2023,-12224721677.000000,103334889477.000000,-87000247220.000000,-17059270481.000000,-6106965027.000000,,-1335058712.000000,-2502050384.000000,-1556019330.000000,-12224721677.000000,-2452243500.000000,-2452243500.000000,,-2452243500.000000,-3521344632.000000,,-2064786407.000000,,6558800.000000,,,,,,,,,-1463117025.000000,-3521344632.000000,-18198309809.000000,12948425080.000000,-5249884729.000000
12M 2024,5024316046.000000,159606608620.000000,-122643076333.000000,-19180906659.000000,-11210539917.000000,625107047.000000,1272064425.000000,-1597943319.000000,-1846997818.000000,5024316046.000000,-7994441730.000000,-7994441730.000000,,-7994441730.000000,-2917881187.000000,,-222274903.000000,,,-2200000000.000000,,,,,3076250882.000000,-2000837800.000000,,-1571019366.000000,-2917881187.000000,-5888006871.000000,-5249884729.000000,-11137891600.000000
