Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2019,,,5921970701.000000,36007456439.000000,36007456439.000000,36007456439.000000,19342779813.000000,2805734704.000000,64077941657.000000,,401600000.000000,,401600000.000000,6233895745.000000,582954571.000000,34264300.000000,7252714616.000000,71330656273.000000,,,45011730829.000000,28428261480.000000,15016260646.000000,39633175.000000,433455916.000000,,1014233335.000000,,1014233335.000000,79886277.000000,45011730829.000000,3768326369.000000,,1436508082.000000,,1436508082.000000,,2331818287.000000,3768326369.000000,48780057198.000000,,6000000000.000000,,16351185370.000000,,16351185370.000000,16351185370.000000,199413705.000000,22550599075.000000,71330656273.000000,60000.000000
12M 2020,,,6466687829.000000,35402409763.000000,35402409763.000000,35402409763.000000,24489798435.000000,603581152.000000,66962477179.000000,,441325000.000000,,441325000.000000,4575901406.000000,717118853.000000,2520000000.000000,8254345259.000000,75216822438.000000,,,38862547693.000000,20948840799.000000,16148889733.000000,85921733.000000,461894290.000000,,857001138.000000,360000000.000000,1217001138.000000,,38862547693.000000,12621912112.000000,,584302917.000000,57368422.000000,641671339.000000,9000000000.000000,2980240773.000000,12621912112.000000,51484459805.000000,,6000000000.000000,,17501502072.000000,1200000000.000000,16301502072.000000,17501502072.000000,230860561.000000,23732362633.000000,75216822438.000000,60000.000000
12M 2021,,,5412340655.000000,42564878416.000000,42564878416.000000,42564878416.000000,31855539996.000000,1421045686.000000,81253804753.000000,,630700000.000000,,630700000.000000,5732990467.000000,820897963.000000,2160000000.000000,9344588430.000000,90598393183.000000,,,44127065897.000000,28091459092.000000,12089372450.000000,10681082.000000,2788947768.000000,,1089237083.000000,57368422.000000,1146605505.000000,,44127065897.000000,4370610890.000000,,1262505695.000000,,1262505695.000000,,3108105195.000000,4370610890.000000,48497676787.000000,,30000000000.000000,,11801680692.000000,1200000000.000000,10601680692.000000,11801680692.000000,299035704.000000,42100716396.000000,90598393183.000000,300000.000000
12M 2022,,,12948425080.000000,52817061403.000000,52817061403.000000,52817061403.000000,35307090043.000000,6746462379.000000,107819038905.000000,,740600000.000000,,740600000.000000,28164473096.000000,994884488.000000,,29899957584.000000,137718996489.000000,,,19666519259.000000,6000000000.000000,11608766347.000000,,689935584.000000,,1367817328.000000,,1367817328.000000,,19666519259.000000,5543835081.000000,,1744882042.000000,,1744882042.000000,,3798953039.000000,5543835081.000000,25210354340.000000,,42500000000.000000,57475250000.000000,12368302049.000000,4200000000.000000,8168302049.000000,12368302049.000000,165090100.000000,112508642149.000000,137718996489.000000,1700000000.000000
12M 2023,,,5611028352.000000,68894215901.000000,68894215901.000000,68894215901.000000,36949274094.000000,5238088405.000000,116692606752.000000,,519250000.000000,,519250000.000000,30022720686.000000,1134533461.000000,,31676504147.000000,148369110899.000000,,,31350314230.000000,16860913081.000000,12603089064.000000,,219560791.000000,,1666751294.000000,,1666751294.000000,,31350314230.000000,5827465784.000000,,1637533051.000000,,1637533051.000000,,4189932733.000000,5827465784.000000,37177780014.000000,,42500819850.000000,57480988950.000000,10911627299.000000,4544000000.000000,6367627299.000000,10911627299.000000,297894786.000000,111191330885.000000,148369110899.000000,1700032794.000000
12M 2024,,,7779670079.000000,82924873112.000000,82924873112.000000,82924873112.000000,38457763378.000000,2332835326.000000,131495141895.000000,,768225000.000000,,768225000.000000,35382092412.000000,1032669960.000000,1650000001.000000,38832987373.000000,170328129268.000000,,,49701063282.000000,24917561679.000000,20755699699.000000,632509715.000000,1326967191.000000,,992911916.000000,,992911916.000000,1075413082.000000,49701063282.000000,5256066511.000000,,740353063.000000,,740353063.000000,,4515713448.000000,5256066511.000000,54957129793.000000,,42500819850.000000,57480988950.000000,14916267174.000000,4544000000.000000,10372267174.000000,14916267174.000000,472923501.000000,115370999475.000000,170328129268.000000,1700032794.000000
