Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Klaim Asuransi,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kepada Karyawan,Biaya Dibayar Dimuka,Beban Masih Harus Dibayar,Beban Produksi,Total Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Dari Kegiatan Operasional Lainnya,Penerimaan Bunga,Penerimaan (Pembayaran) Untuk Piutang Lain-Lain,Pembayaran Untuk Pajak Penghasilan,Pembayaran Bunga,"Penerimaan (Pembayaran) Dari Kegiatan Operasional Lainnya, Bersih",Penerimaan Taksiran Klaim Pajak Penghasilan,Penerimaan Restitusi Pajak Penghasilan,Penerimaan Klaim Pajak Pertambahan Nilai,Pembayaran Beban Pajak,Jaminan Bank,Penerimaan (Pengeluaran) Dari Selisih Kurs,Pembayaran Imbalan Kerja Karyawan,Pembayaran Kontribusi Ke Dana Pensiun,Beban Legal Administrasi Umum,Pembayaran Pesangon,Pembayaran Pajak Penghasilan Pasal 19,Pembayaran Pajak Lainnya,Pembayaran Skpkb Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Dalam Penyelesaian,Perolehan Atas Akuisisi Entitas Anak Baru,Hasil Penjualan Aset Tetap,Hasil Penjualan Aset Yang Tersedia Untuk Dijual,Pembelian Saham Di Anak Perusahaan,Penambahan Modal Saham Entitas Anak Oleh Kepentingan Non Pengendali,Uang Muka Investasi,Uang Muka Pembelian Mesin,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank,Pembayaran Utang Bank,Peneriman Dari Penambahan Utang Non Bank,Pengeluaran Untuk Pelunasan Utang Non Bank,Pembagian Kas Dividen Kepada Pemilik Entitas Induk,Pembagian Dividen Kepada Kepentingan Non Pengendali,Pembayaran Pinjaman Lainnya,Peneriman Dari Penambahan Utang Sewa,Pembayaran Utang Sewa,Pembayaran Sewa Pembiayaan,Pembayaran Utang Dividen,Pembayaran Jaminan Bank,Penerimaan Jaminan Bank,Penerimaan (Pembayaran) Dari Fasilitas Cerukan,Hasil Dari Penawaran Umum Terbatas 1,Hasil Dari Penawaran Umum Terbatas 2,Penambahan Modal Saham Entitas Anak Oleh Kepentingan Non-Pengendali,Penerimaan Setoran Modal Dari Kepentingan Non-Pengendalian Entitas Anak,Pengembalian Modal Saham Entitas Anak Kepada Kepentingan Non Pengendali,Pembayaran Jaminan Pelanggan,Pembayaran Utang Pihak Berelasi,Tambahan Modal Disetor Dari Program Pengampunan Pajak,Penerimaan (Pembayaran) Pinjaman Jangka Panjang,Penerimaan Pihak Yang Berelasi,Piutang Hubungan Istimewa,Hutang Hubungan Istimewa,Pembayaran Dividen Tunai,Total Penerimaan Pihak Yang Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-120016752077.000000,971577191937.000000,2501528763.000000,-894467109517.000000,-41840495030.000000,,-992698177.000000,-8655353480.000000,-63427338879.000000,-73075390536.000000,,347380346.000000,26432527.000000,-77950000351.000000,-16248230779.000000,252153376.000000,,5953931677.000000,,,,2905855510.000000,,,,,,,,-120016752077.000000,-17923252046.000000,-7931529395.000000,,-10135509651.000000,,143787000.000000,,,,,,-17923252046.000000,139435949050.000000,192073810816.000000,-25136026531.000000,10247200000.000000,-6882795761.000000,,,,1327720000.000000,,-412106525.000000,-1852253751.000000,,,,,,,,,,,,,,,-29929599198.000000,,-29929599198.000000,139435949050.000000,1495944927.000000,14562036573.000000,16057981500.000000
12M 2009,122838213571.000000,855989764873.000000,,-514571182793.000000,-52386402546.000000,,-2709962123.000000,-39494313254.000000,-50816430576.000000,-93020705953.000000,,1016798215.000000,-493060577.000000,-56773816511.000000,-14491074746.000000,-38612867.000000,,1395862456.000000,,,,-3769938725.000000,,,-19417255.000000,,,,,122838213571.000000,-6170667295.000000,-6168282295.000000,,-7760000.000000,,5375000.000000,,,,,,-6170667295.000000,-99516957244.000000,30000000000.000000,-102628783332.000000,,-21436670134.000000,,,,,,-648940404.000000,-1818525374.000000,,,,,,,,,,,,,,,-2984038000.000000,,-2984038000.000000,-99516957244.000000,17150589032.000000,16057981500.000000,33208570532.000000
12M 2010,7369876033.000000,1129533548100.000000,,-892162446677.000000,-55657627601.000000,-50799197755.000000,,,,-50799197755.000000,,1449751668.000000,-1682584569.000000,-102417822692.000000,-20796015717.000000,-3163139551.000000,,3065410827.000000,,,,,,,,,,,,7369876033.000000,-52394229100.000000,-14350927486.000000,,-14754577371.000000,,383185000.000000,,,,,-23671909243.000000,-52394229100.000000,25356236873.000000,383231833336.000000,-261603510953.000000,,-56575601768.000000,,,,,,-633788273.000000,-9062695469.000000,-45000000000.000000,,,,,,,,,,,,15000000000.000000,,,,15000000000.000000,25356236873.000000,-19668116194.000000,33208570532.000000,13540454338.000000
12M 2011,-26255543773.000000,1276843393830.000000,,-1042893016151.000000,-49546313207.000000,-63055446209.000000,,,,-63055446209.000000,,5261838229.000000,451681429.000000,-116916806072.000000,-35237687179.000000,-3836695846.000000,,2673507403.000000,,,,,,,,,,,,-26255543773.000000,-183046566739.000000,-10337486196.000000,,-166669080543.000000,,10000000.000000,,,,,-6050000000.000000,-183046566739.000000,306251021733.000000,96858160000.000000,-85928818682.000000,,-4818307269.000000,,,,,,-309493819.000000,-32899219.000000,,45000000000.000000,,283522380722.000000,,1960000000.000000,,,-15000000000.000000,-15000000000.000000,,,,,,,,306251021733.000000,96948911221.000000,13540454338.000000,110489365559.000000
12M 2012,104473676638.000000,1597939330214.000000,,-1279057501803.000000,-42329191801.000000,-75694062732.000000,,,,-75694062732.000000,,1606217155.000000,-92807286.000000,-48790656850.000000,-34157027209.000000,-15671172046.000000,720548996.000000,,,,,,,,,,,,,104473676638.000000,-28571098874.000000,-21997735210.000000,,-7244873664.000000,,671510000.000000,,,,,,-28571098874.000000,-120249721249.000000,80000000000.000000,-159799044905.000000,,,-35389916000.000000,,-5051743050.000000,,,-9017294.000000,,,,,,,,,,,,,,,,,,,-120249721249.000000,-44347143485.000000,110489365559.000000,66142222074.000000
12M 2013,255755973870.000000,1756159656234.000000,,-1275776718495.000000,-64137579569.000000,-103277204482.000000,,,,-103277204482.000000,,9916212641.000000,-1339946376.000000,-49939005016.000000,-29655584160.000000,1255252100.000000,12071112993.000000,,,,479778000.000000,,,,,,,,,255755973870.000000,-86157240801.000000,-20474519175.000000,,-19466927563.000000,-2110572268.000000,488050000.000000,,,,,-44593271795.000000,-86157240801.000000,85978090820.000000,481000000000.000000,-587723600060.000000,,,-147120640588.000000,,-14637117858.000000,,,,,,,,,354459449326.000000,,,,,,,,,,,,,85978090820.000000,255576823889.000000,66142222074.000000,321719045963.000000
12M 2014,65911208643.000000,1937533637101.000000,,-1594410033747.000000,-72534033936.000000,-129745835585.000000,,,,-129745835585.000000,,12821680950.000000,-1058026806.000000,-61707692060.000000,-26737078424.000000,-1393931979.000000,3142523129.000000,,,,,,,,,,,,,65911208643.000000,-255493406160.000000,-62290015926.000000,,-155086420396.000000,,456536363.000000,,,35000000.000000,,-38608506201.000000,-255493406160.000000,-47409350921.000000,704100000000.000000,-716147408031.000000,,,-51661199915.000000,,-48512813.000000,,,,,,,16347769838.000000,,,,,,,,,,,,,,,-47409350921.000000,-236991548438.000000,321719045963.000000,84727497525.000000
12M 2015,110641662962.000000,1813665361746.000000,,-1436564733356.000000,-52019907308.000000,-126543936417.000000,,,,-126543936417.000000,,612515005.000000,265491635.000000,-40897913397.000000,-38169973011.000000,-5562847043.000000,8831298215.000000,,,,,,,,,,-11377505361.000000,,-1596187746.000000,110641662962.000000,-47658213753.000000,-9886740764.000000,,-36911816121.000000,,159436364.000000,,,,,-1019093232.000000,-47658213753.000000,-63718450806.000000,612000000000.000000,-637422379103.000000,,,-35538750580.000000,,,,,-2257321123.000000,,-500000000.000000,,,,,,,,,,,,,,,,,-63718450806.000000,-735001597.000000,84727497525.000000,83992495928.000000
12M 2016,193436286326.000000,1769019520160.000000,,-1249727670934.000000,-126664347926.000000,-138014756988.000000,,,,-138014756988.000000,,434624989.000000,797673510.000000,-23927426317.000000,-30538122127.000000,-21533586533.000000,16389707615.000000,,,,,,,,,,-2710939125.000000,-88389998.000000,,193436286326.000000,-15540929017.000000,-13133794207.000000,,-1400083367.000000,,101623182.000000,,,,,-1108674625.000000,-15540929017.000000,-50976758045.000000,773752601635.000000,-810854029080.000000,,,,,,,,-14218227848.000000,,,,,,,,,,,,342897248.000000,,,,,,,-50976758045.000000,126918599264.000000,83992495928.000000,210911095192.000000
12M 2017,320252084705.000000,2053125444225.000000,,-1511975007380.000000,-97729072680.000000,-142943157047.000000,,,,-142943157047.000000,,2911621694.000000,,-26170174192.000000,-8112872928.000000,4976050898.000000,50652086023.000000,,,,,,-1958027615.000000,-1000000000.000000,,,,-1524806293.000000,,320252084705.000000,-20580802443.000000,-14949874898.000000,,-1083089884.000000,,665364637.000000,,,,,-5213202298.000000,-20580802443.000000,-230065989081.000000,,-179519232555.000000,,,-32267850298.000000,-2450000000.000000,,,,-15828906228.000000,,,,,,,,,,,,,,,,,,,-230065989081.000000,69605293181.000000,210911095192.000000,280516388373.000000
