Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.08,2898.00,0.08,2898.00,335 B,162 B,497 B,481 B,48 B
12M 2009,0.05,4415.09,0.05,4415.09,232 B,118 B,350 B,317 B,88 B
12M 2010,0.33,6061.34,0.33,6061.34,337 B,117 B,454 B,441 B,118 B
12M 2011,0.83,2799.88,0.83,2799.88,288 B,160 B,448 B,338 B,464 B
12M 2012,1.09,3587.59,1.09,3587.59,291 B,80 B,371 B,305 B,496 B
12M 2013,0.64,3320.61,0.64,3320.61,217 B,52 B,269 B,(52 B),805 B
12M 2014,0.58,2769.90,0.58,2769.90,262 B,13 B,275 B,190 B,641 B
12M 2015,0.12,2905.54,0.12,2905.54,,60 B,334 B,250 B,548 B
12M 2016,0.26,3131.43,0.26,3131.43,231 B,44 B,275 B,64 B,658 B
12M 2017,0.39,3252.58,0.39,3252.58,54 B,26 B,80 B,(200 B),840 B
12M 2018,0.67,3328.44,0.67,3328.44,57 B,7 B,64 B,(182 B),917 B
12M 2019,0.59,3900.32,0.59,3900.32,58 B,,58 B,(74 B),795 B
12M 2020,0.51,3887.53,0.51,3887.53,29 B,,29 B,(286 B),839 B
12M 2021,0.57,4196.62,0.57,4196.62,312 B,5 B,317 B,242 B,"1,065 B"
12M 2022,0.45,4339.74,0.45,4339.74,344 B,114 B,491 B,389 B,"1,039 B"
12M 2023,0.49,5103.13,0.49,5103.13,317 B,84 B,401 B,334 B,"1,075 B"
12M 2024,0.05,5120.76,0.05,5120.76,155 B,55 B,211 B,131 B,"1,129 B"
