Period,Total Pendapatan,Pendapatan Bunga Dan Syariah,Pendapatan Bunga,Pendapatan Syariah,Total Pendapatan Bunga Dan Syariah,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga Dan Syariah,Beban Bunga,Beban Syariah,Total Beban Bunga Dan Syariah,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Beban Provisi Dan Komisi,Jasa Administrasi,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,1683993000000.000000,1683993000000.000000,,,1683993000000.000000,,1683993000000.000000,-645286000000.000000,-645286000000.000000,,,-645286000000.000000,-645286000000.000000,1038707000000.000000,-500500000000.000000,,377220000000.000000,,,,377220000000.000000,,-424128000000.000000,-230506000000.000000,-223086000000.000000,-877720000000.000000,-500500000000.000000,538207000000.000000,-12934000000.000000,1784000000.000000,-14718000000.000000,-12934000000.000000,525273000000.000000,-177874000000.000000,-177874000000.000000,,-177874000000.000000,347399000000.000000,,,,,347399000000.000000,347399000000.000000,,347399000000.000000,,,,
12M 2008,2387577000000.000000,2387577000000.000000,,,2387577000000.000000,,2387577000000.000000,-1080597000000.000000,-1080597000000.000000,,,-1080597000000.000000,-1080597000000.000000,1306980000000.000000,-714258000000.000000,,250709000000.000000,,,,250709000000.000000,,-490749000000.000000,-390578000000.000000,-83640000000.000000,-964967000000.000000,-714258000000.000000,592722000000.000000,-17563000000.000000,4226000000.000000,-21789000000.000000,-17563000000.000000,575159000000.000000,-196273000000.000000,-196273000000.000000,,-196273000000.000000,378886000000.000000,,,,,378886000000.000000,378886000000.000000,,378886000000.000000,,,,
12M 2009,3607548000000.000000,3607548000000.000000,,,3607548000000.000000,,3607548000000.000000,-1644604000000.000000,-1644604000000.000000,,,-1644604000000.000000,-1644604000000.000000,1962944000000.000000,-1327591000000.000000,,378721000000.000000,,,,378721000000.000000,,-914533000000.000000,-734556000000.000000,-57223000000.000000,-1706312000000.000000,-1327591000000.000000,635353000000.000000,-13135000000.000000,2132000000.000000,-15267000000.000000,-13135000000.000000,622218000000.000000,-201795000000.000000,-201795000000.000000,,-201795000000.000000,420423000000.000000,,,,,420423000000.000000,420423000000.000000,,420423000000.000000,,,,
12M 2010,5604781000000.000000,5604781000000.000000,,,5604781000000.000000,,5604781000000.000000,-2065517000000.000000,-2065517000000.000000,,,-2065517000000.000000,-2065517000000.000000,3539264000000.000000,-2393159000000.000000,,,,,135041000000.000000,135041000000.000000,,-1291406000000.000000,-829553000000.000000,-407241000000.000000,-2528200000000.000000,-2393159000000.000000,1146105000000.000000,-18841000000.000000,13607000000.000000,-32448000000.000000,-18841000000.000000,1127264000000.000000,-290445000000.000000,,,-290445000000.000000,836819000000.000000,,,,,836819000000.000000,836819000000.000000,,836819000000.000000,,,,
12M 2011,7465651000000.000000,7465651000000.000000,,,7465651000000.000000,,7465651000000.000000,-2829705000000.000000,-2829705000000.000000,,,-2829705000000.000000,-2829705000000.000000,4635946000000.000000,-2840663000000.000000,,190792000000.000000,,,,190792000000.000000,,-1382216000000.000000,-1150313000000.000000,-498926000000.000000,-3031455000000.000000,-2840663000000.000000,1795283000000.000000,-23663000000.000000,12075000000.000000,-35738000000.000000,-23663000000.000000,1771620000000.000000,-371557000000.000000,,,-371557000000.000000,1400063000000.000000,1662000000.000000,1662000000.000000,1662000000.000000,1401725000000.000000,1400063000000.000000,1400063000000.000000,,1400063000000.000000,1401725000000.000000,1401725000000.000000,,1401725000000.000000
12M 2012,9292972000000.000000,9292972000000.000000,,,9292972000000.000000,,9292972000000.000000,-3221858000000.000000,-3221858000000.000000,,,-3221858000000.000000,-3221858000000.000000,6071114000000.000000,-3583956000000.000000,,282805000000.000000,,,,282805000000.000000,,-1853571000000.000000,-1476884000000.000000,-536306000000.000000,-3866761000000.000000,-3583956000000.000000,2487158000000.000000,-1844000000.000000,10774000000.000000,-12618000000.000000,-1844000000.000000,2485314000000.000000,-506328000000.000000,,,-506328000000.000000,1978986000000.000000,-1718000000.000000,-1718000000.000000,-1718000000.000000,1977268000000.000000,1978986000000.000000,1978986000000.000000,,1978986000000.000000,1977268000000.000000,1977268000000.000000,,1977268000000.000000
12M 2013,10943058000000.000000,10943058000000.000000,,,10943058000000.000000,,10943058000000.000000,-3894609000000.000000,-3894609000000.000000,,,-3894609000000.000000,-3894609000000.000000,7048449000000.000000,-4170691000000.000000,,400394000000.000000,,,,400394000000.000000,,-2179574000000.000000,-1686248000000.000000,-705263000000.000000,-4571085000000.000000,-4170691000000.000000,2877758000000.000000,-8903000000.000000,8442000000.000000,-17345000000.000000,-8903000000.000000,2868855000000.000000,-737754000000.000000,,,-737754000000.000000,2131101000000.000000,-62000000.000000,-62000000.000000,-62000000.000000,2131039000000.000000,2131101000000.000000,2131101000000.000000,,2131101000000.000000,2131039000000.000000,2131039000000.000000,,2131039000000.000000
12M 2014,12293155000000.000000,12293155000000.000000,,,12293155000000.000000,,12293155000000.000000,-5252372000000.000000,-5252372000000.000000,,,-5252372000000.000000,-5252372000000.000000,7040783000000.000000,-4505741000000.000000,,739520000000.000000,,,,739520000000.000000,,-2514957000000.000000,-1810548000000.000000,-919756000000.000000,-5245261000000.000000,-4505741000000.000000,2535042000000.000000,-12514000000.000000,3999000000.000000,-16513000000.000000,-12514000000.000000,2522528000000.000000,-653497000000.000000,,,-653497000000.000000,1869031000000.000000,954000000.000000,954000000.000000,954000000.000000,1869985000000.000000,1869031000000.000000,1853022000000.000000,16009000000.000000,1869031000000.000000,1869985000000.000000,1853976000000.000000,16009000000.000000,1869985000000.000000
12M 2015,13003876000000.000000,13003876000000.000000,,,13003876000000.000000,,13003876000000.000000,-5308265000000.000000,-5308265000000.000000,,,-5308265000000.000000,-5308265000000.000000,7695611000000.000000,-5235904000000.000000,,705835000000.000000,,,,705835000000.000000,,-2851029000000.000000,-2119939000000.000000,-970771000000.000000,-5941739000000.000000,-5235904000000.000000,2459707000000.000000,-27096000000.000000,2822000000.000000,-29918000000.000000,-27096000000.000000,2432611000000.000000,-680002000000.000000,,,-680002000000.000000,1752609000000.000000,141242000000.000000,141242000000.000000,141242000000.000000,1893851000000.000000,1752609000000.000000,1701847000000.000000,50762000000.000000,1752609000000.000000,1893851000000.000000,1841495000000.000000,52356000000.000000,1893851000000.000000
12M 2016,13695226000000.000000,13695226000000.000000,,,13695226000000.000000,,13695226000000.000000,-4841247000000.000000,-4841247000000.000000,,,-4841247000000.000000,-4841247000000.000000,8853979000000.000000,-6244263000000.000000,,609942000000.000000,,,,609942000000.000000,,-3143161000000.000000,-2564115000000.000000,-1146929000000.000000,-6854205000000.000000,-6244263000000.000000,2609716000000.000000,-5197000000.000000,3601000000.000000,-8798000000.000000,-5197000000.000000,2604519000000.000000,-728673000000.000000,,,-728673000000.000000,1875846000000.000000,722175000000.000000,722175000000.000000,722175000000.000000,2598021000000.000000,1875846000000.000000,1752097000000.000000,123749000000.000000,1875846000000.000000,2598021000000.000000,2471280000000.000000,126741000000.000000,2598021000000.000000
