Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Ketiga,Pihak Berelasi,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Ketiga,Pihak Berelasi,Others,Total Pinjaman Yang Diberikan,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tetap,Piutang Pembiayaan,Pihak Ketiga,Pihak Berelasi,Others,Total Piutang Pembiayaan,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Ketiga,Pihak Berelasi,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Simpanan Dari Bank Lain,Others,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Liabilitas Akseptasi,Utang Pajak,Others,Total Utang Pajak,Efek-Efek Yang Diterbitkan,Utang Obligasi,Surat Berharga Jangka Menengah,Others,Total Efek-Efek Yang Diterbitkan,Pinjaman Yang Diterima,Others,Total Pinjaman Yang Diterima,Beban Akrual,Liabilitas Pajak Tangguhan,Obligasi Subordinasi,Dana Syirkah Temporer,Simpanan Nasabah,Pihak Ketiga,Others,Total Pihak Ketiga,Pihak Berelasi,Others,Total Pihak Berelasi,Total Simpanan Nasabah,Others,Total Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,193030000000.000000,508694000000.000000,,433304000000.000000,,,433304000000.000000,,433304000000.000000,,7530467000000.000000,43001000000.000000,,7573468000000.000000,88043000000.000000,,240808000000.000000,240808000000.000000,,,,,,,,,1542701000000.000000,10580048000000.000000,,,44459000000.000000,8802451000000.000000,8796098000000.000000,6353000000.000000,,8802451000000.000000,158929000000.000000,,,158929000000.000000,,,135434000000.000000,,135434000000.000000,,,,,,,,,,,,,,,,,,,,,,,200439000000.000000,9341712000000.000000,,94394000000.000000,,1143942000000.000000,18878000000.000000,1125064000000.000000,1143942000000.000000,,,1238336000000.000000,10580048000000.000000,943936190.000000
12M 2008,,237443000000.000000,547699000000.000000,,665278000000.000000,,,665278000000.000000,,665278000000.000000,,10125293000000.000000,10902000000.000000,,10136195000000.000000,92344000000.000000,,332720000000.000000,332720000000.000000,,,,,,,,,1685782000000.000000,13697461000000.000000,,,62768000000.000000,11380149000000.000000,11375843000000.000000,4306000000.000000,,11380149000000.000000,274065000000.000000,,,274065000000.000000,,,43421000000.000000,,43421000000.000000,,,,,,,,,,,,,,,,,,,,,,,319836000000.000000,12080239000000.000000,,94394000000.000000,,1522828000000.000000,18878000000.000000,1503950000000.000000,1522828000000.000000,,,1617222000000.000000,13697461000000.000000,943936190.000000
12M 2009,,443429000000.000000,927627000000.000000,,773898000000.000000,,,773898000000.000000,,773898000000.000000,,15419829000000.000000,33976000000.000000,,15453805000000.000000,56182000000.000000,,361002000000.000000,361002000000.000000,,,,,,,,,4256303000000.000000,22272246000000.000000,,,100602000000.000000,18514788000000.000000,18498330000000.000000,16458000000.000000,,18514788000000.000000,45603000000.000000,,,45603000000.000000,,,66742000000.000000,,66742000000.000000,743594000000.000000,743594000000.000000,,,743594000000.000000,,,,,,,,,,,,,,,,,,762604000000.000000,20233933000000.000000,,94394000000.000000,,1943251000000.000000,18878000000.000000,1924373000000.000000,1943251000000.000000,,668000000.000000,2038313000000.000000,22272246000000.000000,943936190.000000
12M 2010,,701345000000.000000,2247952000000.000000,,5312524000000.000000,,,5312524000000.000000,,5312524000000.000000,,22957306000000.000000,30165000000.000000,,22987471000000.000000,54080000000.000000,,365601000000.000000,365601000000.000000,,,,,,,,,2853600000000.000000,34522573000000.000000,,,158870000000.000000,25526479000000.000000,25499011000000.000000,27468000000.000000,,25526479000000.000000,88200000000.000000,,,88200000000.000000,,,106545000000.000000,,106545000000.000000,3135505000000.000000,3135505000000.000000,,,3135505000000.000000,135000000000.000000,,135000000000.000000,,,,,,,,,,,,,,,1154683000000.000000,30305282000000.000000,,113272000000.000000,1293458000000.000000,2808743000000.000000,18878000000.000000,2789865000000.000000,2808743000000.000000,,1818000000.000000,4217291000000.000000,34522573000000.000000,1132723428.000000
12M 2011,,820624000000.000000,3218561000000.000000,,8408227000000.000000,,,8408227000000.000000,,8408227000000.000000,,29968321000000.000000,32321000000.000000,,30000642000000.000000,28590000000.000000,,470850000000.000000,470850000000.000000,,,,,,,,,3703647000000.000000,46651141000000.000000,,,208313000000.000000,35618000000000.000000,35589145000000.000000,28855000000.000000,,35618000000000.000000,115069000000.000000,,,115069000000.000000,,,,,,3631842000000.000000,3631842000000.000000,,,3631842000000.000000,748900000000.000000,,748900000000.000000,,,,,,,,,,,,,,,711819000000.000000,41033943000000.000000,,113272000000.000000,1293458000000.000000,4208806000000.000000,22654000000.000000,4186152000000.000000,4208806000000.000000,,1662000000.000000,5617198000000.000000,46651141000000.000000,5663617140.000000
12M 2012,,929454000000.000000,4049000000000.000000,,9891257000000.000000,,,9891257000000.000000,285000000.000000,9891542000000.000000,,38810006000000.000000,34090000000.000000,151418000000.000000,38995514000000.000000,34680000000.000000,,489118000000.000000,489118000000.000000,,,,,,,162784000000.000000,162784000000.000000,4538040000000.000000,59090132000000.000000,,,10105000000.000000,45237216000000.000000,45040151000000.000000,32452000000.000000,164613000000.000000,45237216000000.000000,5998000000.000000,,,5998000000.000000,,,274300000000.000000,274300000000.000000,274300000000.000000,4577691000000.000000,4533156000000.000000,,44535000000.000000,4577691000000.000000,623536000000.000000,623536000000.000000,623536000000.000000,158374000000.000000,,,,,,,,,,,,,,468985000000.000000,51356205000000.000000,,116806000000.000000,1429385000000.000000,6187792000000.000000,23361000000.000000,6164431000000.000000,6187792000000.000000,,-56000000.000000,7733927000000.000000,59090132000000.000000,5840287257.000000
12M 2013,,1102840000000.000000,4311653000000.000000,,4997629000000.000000,,,4997629000000.000000,1758000000.000000,4999387000000.000000,,46073248000000.000000,32189000000.000000,117777000000.000000,46223214000000.000000,61773000000.000000,,755104000000.000000,755104000000.000000,,,,,,,167240000000.000000,167240000000.000000,12043662000000.000000,69664873000000.000000,,,7126000000.000000,52406089000000.000000,51963582000000.000000,232277000000.000000,210230000000.000000,52406089000000.000000,16079000000.000000,16048000000.000000,31000000.000000,16079000000.000000,,,334261000000.000000,334261000000.000000,334261000000.000000,5022994000000.000000,4967186000000.000000,,55808000000.000000,5022994000000.000000,1377753000000.000000,1377753000000.000000,1377753000000.000000,117590000000.000000,,,,,,,,,,,,,,475116000000.000000,59757008000000.000000,,116806000000.000000,1429385000000.000000,8318897000000.000000,23361000000.000000,8295536000000.000000,8318897000000.000000,,42777000000.000000,9907865000000.000000,69664873000000.000000,5840287257.000000
12M 2014,,1129677000000.000000,4628496000000.000000,,6714266000000.000000,,,6714266000000.000000,-966000000.000000,6713300000000.000000,,49459226000000.000000,35261000000.000000,2606488000000.000000,52100975000000.000000,66400000000.000000,,729723000000.000000,729723000000.000000,,,,,,,276310000000.000000,276310000000.000000,9369856000000.000000,75014737000000.000000,,,19740000000.000000,51364467000000.000000,51052488000000.000000,88362000000.000000,223617000000.000000,51364467000000.000000,100000000.000000,99000000.000000,1000000.000000,100000000.000000,,,181716000000.000000,181716000000.000000,181716000000.000000,4454263000000.000000,4409501000000.000000,,44762000000.000000,4454263000000.000000,3804506000000.000000,3804506000000.000000,3804506000000.000000,99154000000.000000,,,2204303000000.000000,,,2190103000000.000000,2190103000000.000000,,4161000000.000000,4161000000.000000,2194264000000.000000,10039000000.000000,2204303000000.000000,825954000000.000000,62954203000000.000000,,116806000000.000000,1429385000000.000000,10171919000000.000000,23361000000.000000,10148558000000.000000,10171919000000.000000,249363000000.000000,93061000000.000000,12060534000000.000000,75014737000000.000000,5840287257.000000
12M 2015,,1352401000000.000000,4774422000000.000000,,6205640000000.000000,6205640000000.000000,,6205640000000.000000,3009000000.000000,6208649000000.000000,,54887064000000.000000,22292000000.000000,3801053000000.000000,58710409000000.000000,91281000000.000000,,876223000000.000000,876223000000.000000,,,,,,,380034000000.000000,380034000000.000000,8646244000000.000000,81039663000000.000000,,,40818000000.000000,57475018000000.000000,56806168000000.000000,415809000000.000000,253041000000.000000,57475018000000.000000,160000000.000000,160000000.000000,,160000000.000000,,,195898000000.000000,195898000000.000000,195898000000.000000,2634511000000.000000,2605384000000.000000,,29127000000.000000,2634511000000.000000,2778276000000.000000,2778276000000.000000,2778276000000.000000,121084000000.000000,,,3062571000000.000000,,,3047295000000.000000,3047295000000.000000,,4124000000.000000,4124000000.000000,3051419000000.000000,11152000000.000000,3062571000000.000000,807468000000.000000,67115804000000.000000,,116806000000.000000,1429385000000.000000,11881251000000.000000,23361000000.000000,11857890000000.000000,11881251000000.000000,347791000000.000000,148626000000.000000,13923859000000.000000,81039663000000.000000,5840287257.000000
12M 2016,,1448180000000.000000,4625356000000.000000,,7003585000000.000000,7003585000000.000000,,7003585000000.000000,1857000000.000000,7005442000000.000000,,58147138000000.000000,24460000000.000000,5076021000000.000000,63247619000000.000000,122597000000.000000,,1632265000000.000000,1632265000000.000000,,,,,,,635375000000.000000,635375000000.000000,12654553000000.000000,91371387000000.000000,,,95984000000.000000,62042218000000.000000,60429532000000.000000,1377266000000.000000,235420000000.000000,62042218000000.000000,914596000000.000000,914535000000.000000,61000000.000000,914596000000.000000,8344000000.000000,,166669000000.000000,166669000000.000000,166669000000.000000,2507266000000.000000,2469143000000.000000,,38123000000.000000,2507266000000.000000,3731362000000.000000,3731362000000.000000,3731362000000.000000,204048000000.000000,,,4407034000000.000000,,,4387844000000.000000,4387844000000.000000,,6870000000.000000,6870000000.000000,4394714000000.000000,12320000000.000000,4407034000000.000000,981438000000.000000,75058959000000.000000,,116806000000.000000,1429385000000.000000,13625342000000.000000,23361000000.000000,13601981000000.000000,13625342000000.000000,474532000000.000000,666363000000.000000,16312428000000.000000,91371387000000.000000,5840287257.000000
