Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Bunga Dan Pendapatan Syariah,Penerimaan Bunga,Pendapatan Syariah,Total Penerimaan Bunga Dan Pendapatan Syariah,Pendapatan Operasional Lainnya,Pendapatan Provisi Dan Komisi,Pembayaran Bunga Dan Bagi Hasil Syariah,Pembayaran Bunga,Pembayaran Bagi Hasil Syariah,Total Pembayaran Bunga Dan Bagi Hasil Syariah,Penerimaan Kembali Atas Kredit Yang Telah Dihapusbukukan,Pembayaran Beban Tenaga Kerja,Beban Operasional Lainnya,Pendapatan (Beban) Non-Operasional,Pendapatan Non-Operasional,Beban Non-Operasional,Total Pendapatan (Beban) Non-Operasional,Pembayaran Pajak Kini,Pajak Atas Revaluasi Aset Tetap,Adjustment,Penurunan/(Kenaikan) Dalam Aset Dan Liabilitas Operasi,Penempatan Pada Bank Indonesia Dan Bank Lain,Efek-Efek Jatuh Tempo Lebih Dari 3 Bulan,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Tagihan Atas Surat Berharga Yang Dibeli Dengan Janji Dijual Kembali,Pinjaman Yang Diberikan,Pembiayan/Piutang Syariah,Tagihan Derivative,Piutang Pembiayaan,Tagihan Akseptasi,Aset Lain-Lain,Liabilitas Segera,Simpanan Nasabah,Simpanan Nasabah,Giro,Tabungan,Deposito Berjangka,Deposito On Call Dan Sertifikat Deposito,Total Simpanan Nasabah,Total Simpanan Nasabah,Simpanan Nasabah Syariah,Simpanan Dari Bank Lain,Liabilitas Derivatif,Liabilitas Akseptasi,Akrual Dan Liabilitas Lain-Lain,Utang Pajak,Utang Lain-Lain,Total Akrual Dan Liabilitas Lain-Lain,Dana Syirkah Temporer,Tabungan Mudharabah,Deposito Mudharabah,Total Dana Syirkah Temporer,Total Penurunan/(Kenaikan) Dalam Aset Dan Liabilitas Operasi,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Terbengkalai,Efek-Efek,Efek-Efek Dan Obligasi Pemerintah,Efek-Efek Jatuh Tempo Lebih Dari 3 Bulan,Total Efek-Efek,Penerimaan Dari Pelepasan Efek-Efek,"Pembelian Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Pembayaran Untuk Akuisisi Entitas Anak,Kenaikan Efek-Efek Yang Dimiliki Hingga Jatuh Tempo,Pembelian Surat Berharga,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Pengalihan Kas Dan Setara Kas Sehubungan Dengan Penggabungan Usaha,Perolehan Aset Tak Berwujud,Pembayaran Utang Sewa Guna Usaha,Perolehan Aset Hak Guna,Penyertaan Saham,Lain Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Obligasi Yang Diterbitkan,Penerimaan (Pembayaran) Dari Efek-Efek Yang Diterbitkan,Pembayaran Untuk Obligasi Yang Telah Jatuh Tempo,Biaya Emisi Obligasi,Pelunasan Atas Efek Yang Diterbitkan,Pinjaman Yang Diterima,Pembayaran Angsuran Dan Pelunasan Pinjaman Yang Diterima,Biaya Surat Berharga Yang Diterbitkan,Penerimaan Dari Penerbitan Saham,Penerimaan Dari Pinjaman Subordinasi,Tambahan Modal Disetor,Hasil Right Issues,Biaya Emisi Right Issues,Biaya Transaksi Atas Pinjaman Yang Diterima,Pembayaran Pokok Liabilitas Sewa,Pembayaran Pinjaman Subordinasi,Sewa Pembiayaan,Pembayaran Dividen,Akuisisi Saham Tresuri,Penjualan Saham Tresuri Ke Publik,Eksekusi Opsi Saham,Akuisisi Kepentingan Pada Entitas Anak Dari Kepentingan Non-Pengendali,Biaya Emisi Ekuitas,Kenaikan (Penurunan) Efek Yang Dijual,Dana Yang Diterima Oleh Entitas Anak Atas Penawaran Umum Perdana,Imbalan Yang Dibayarkan Kepada Kepentingan Non Pengendali,Dana Setoran Modal Dan Kepentingan Non-Pengendali,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2007,414802000000.000000,,1632994000000.000000,,1632994000000.000000,381266000000.000000,,,-640103000000.000000,,-640103000000.000000,921000000.000000,-352487000000.000000,-265809000000.000000,,,-12934000000.000000,-12934000000.000000,-187483000000.000000,,,,15461000000.000000,-920815000000.000000,,,-2942301000000.000000,,,,,-20121000000.000000,,,,59675000000.000000,195615000000.000000,2948964000000.000000,472245000000.000000,3676499000000.000000,3676499000000.000000,,33914000000.000000,,,,12689000000.000000,3111000000.000000,15800000000.000000,,,,,-141563000000.000000,,414802000000.000000,-112550000000.000000,,,,,,,,,,,499000000.000000,-113049000000.000000,,,,,,,-112550000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302252000000.000000,459227000000.000000,,,761479000000.000000
12M 2008,215663000000.000000,,2381905000000.000000,,2381905000000.000000,250288000000.000000,,,-1049810000000.000000,,-1049810000000.000000,5192000000.000000,-471167000000.000000,-398558000000.000000,,,-17563000000.000000,-17563000000.000000,-306206000000.000000,,,,-231984000000.000000,-97418000000.000000,,,-2612511000000.000000,,,,,-51057000000.000000,,,,-19553000000.000000,290097000000.000000,2696879000000.000000,-389725000000.000000,2577698000000.000000,2577698000000.000000,,115136000000.000000,,,,13619000000.000000,108099000000.000000,121718000000.000000,,,,,-178418000000.000000,,215663000000.000000,-144023000000.000000,,,,,,,,,,,16854000000.000000,-161894000000.000000,,,1017000000.000000,,,,-144023000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71640000000.000000,761479000000.000000,,,833119000000.000000
12M 2009,-84589000000.000000,,3520803000000.000000,,3520803000000.000000,378562000000.000000,,,-1606742000000.000000,,-1606742000000.000000,4636000000.000000,-888126000000.000000,-766513000000.000000,,,-13135000000.000000,-13135000000.000000,-152276000000.000000,,,,-110907000000.000000,-1795634000000.000000,,,-5297279000000.000000,,,,,-674220000000.000000,,,,19187000000.000000,660884000000.000000,6452848000000.000000,1720000000.000000,7134639000000.000000,7134639000000.000000,,-228462000000.000000,,,,-4656000000.000000,414721000000.000000,410065000000.000000,,,,,-561798000000.000000,,-84589000000.000000,-78997000000.000000,,,,,,,,,,,4252000000.000000,-83249000000.000000,,,,,,,-78997000000.000000,750891000000.000000,750000000000.000000,,,,,,,,,,,,,,,,,,,,,,,891000000.000000,,,,,750891000000.000000,,587305000000.000000,833119000000.000000,,,1420424000000.000000
12M 2010,-765998000000.000000,,5483271000000.000000,,5483271000000.000000,135041000000.000000,,,-1994630000000.000000,,-1994630000000.000000,25790000000.000000,-1222219000000.000000,-805742000000.000000,,,-17808000000.000000,-17808000000.000000,-269026000000.000000,,,,,-1998326000000.000000,,,-7899905000000.000000,,,,,408172000000.000000,,,,139647000000.000000,1245175000000.000000,5626869000000.000000,,7011691000000.000000,7011691000000.000000,,42597000000.000000,,,,10546000000.000000,324550000000.000000,335096000000.000000,,,,,-2100675000000.000000,,-765998000000.000000,-71112000000.000000,,,,,,,,,,,5968000000.000000,-77080000000.000000,,,,,,,-71112000000.000000,3847336000000.000000,2400000000000.000000,,,,,135000000000.000000,,,,,1321510000000.000000,,,,,,,,,,,,-9174000000.000000,,,,,,3847336000000.000000,,2995949000000.000000,5338452000000.000000,,,8334401000000.000000
12M 2011,-1544298000000.000000,,7396795000000.000000,,7396795000000.000000,,190792000000.000000,,-2779251000000.000000,,-2779251000000.000000,138129000000.000000,-1452909000000.000000,-1128685000000.000000,,,-27325000000.000000,-27325000000.000000,-370819000000.000000,,,,-4760899000000.000000,-117275000000.000000,,,-7596553000000.000000,,,,,-704071000000.000000,3158000000.000000,10091521000000.000000,,,,,,,10091521000000.000000,,26869000000.000000,,,,,-453775000000.000000,-453775000000.000000,,,,,-3511025000000.000000,,-1544298000000.000000,-186261000000.000000,7476000000.000000,,,,,,,,,,9072000000.000000,-202809000000.000000,,,,,,,-186261000000.000000,1113900000000.000000,500000000000.000000,,,,,613900000000.000000,,,,,,,,,,,,,,,,,,,,,,,1113900000000.000000,,-621716000000.000000,8334401000000.000000,,,7712685000000.000000
12M 2012,6620540000000.000000,,9191782000000.000000,,9191782000000.000000,,282805000000.000000,,-3181267000000.000000,,-3181267000000.000000,152058000000.000000,-1833713000000.000000,-1431826000000.000000,66818000000.000000,,,66818000000.000000,-354193000000.000000,,,,4725975000000.000000,731915000000.000000,-1567422000000.000000,,-9067118000000.000000,,,,,-423254000000.000000,-1343000000.000000,9454603000000.000000,,,,,,,9454603000000.000000,,-109071000000.000000,,,,23806000000.000000,-40015000000.000000,-16209000000.000000,,,,,3728076000000.000000,,6620540000000.000000,-361573000000.000000,13708000000.000000,,,,,,,,,,13000000.000000,-375294000000.000000,,,,,,,-361573000000.000000,908234000000.000000,,900000000000.000000,,-5862000000.000000,,,,,,,,,,,,,14096000000.000000,,,,,,,,,,,,908234000000.000000,,7167201000000.000000,7712685000000.000000,,,14879886000000.000000
12M 2013,-5278598000000.000000,,10868323000000.000000,,10868323000000.000000,,400394000000.000000,,-3800526000000.000000,,-3800526000000.000000,149947000000.000000,-2145734000000.000000,-1560822000000.000000,,8435000000.000000,-2587000000.000000,5848000000.000000,-716903000000.000000,,,,-12076000000.000000,-1530210000000.000000,-5857259000000.000000,,-7899063000000.000000,,,,,-276852000000.000000,-2979000000.000000,7123256000000.000000,,,,,,,7123256000000.000000,,10050000000.000000,,,,12045000000.000000,-46037000000.000000,-33992000000.000000,,,,,-8479125000000.000000,,-5278598000000.000000,-393179000000.000000,2807000000.000000,,,,,,,,,,250000000.000000,-396236000000.000000,,,,,,,-393179000000.000000,1174241000000.000000,1550000000000.000000,,-1115000000000.000000,-8960000000.000000,,970200000000.000000,-214073000000.000000,,,,,,,,,,-7926000000.000000,,,,,,,,,,,,1174241000000.000000,,-4497536000000.000000,14879886000000.000000,,,10382350000000.000000
12M 2014,2384975000000.000000,,12281281000000.000000,,12281281000000.000000,,739520000000.000000,,-5178450000000.000000,,-5178450000000.000000,171379000000.000000,-2400404000000.000000,-1549302000000.000000,,3964000000.000000,-7448000000.000000,-3484000000.000000,-826438000000.000000,,,,-3000000000.000000,,5036120000000.000000,,-6786887000000.000000,,,,,-465963000000.000000,12614000000.000000,242612000000.000000,,,,,,,242612000000.000000,,-15949000000.000000,,,,17502000000.000000,217181000000.000000,234683000000.000000,,13827000000.000000,882816000000.000000,896643000000.000000,-849127000000.000000,,2384975000000.000000,-2109479000000.000000,,-1817018000000.000000,,,-1817018000000.000000,,691654000000.000000,-521820000000.000000,,,1067000000.000000,-463362000000.000000,,,,,,,-2109479000000.000000,1858798000000.000000,,,-565000000000.000000,,,3562017000000.000000,-1128347000000.000000,,,,,,,,,,-9872000000.000000,,,,,,,,,,,,1858798000000.000000,,2134294000000.000000,10382350000000.000000,,,12516644000000.000000
12M 2015,3497600000000.000000,,12948561000000.000000,,12948561000000.000000,,705835000000.000000,,-5338078000000.000000,,-5338078000000.000000,123881000000.000000,-2721189000000.000000,-1930397000000.000000,,,-29272000000.000000,-29272000000.000000,-689364000000.000000,,,,,1294160000000.000000,,,-7470568000000.000000,,,,,-404523000000.000000,21078000000.000000,6081127000000.000000,,,,,,,6081127000000.000000,,61000000.000000,,,,,49133000000.000000,49133000000.000000,,9522000000.000000,847633000000.000000,857155000000.000000,427623000000.000000,,3497600000000.000000,-816413000000.000000,,-189721000000.000000,,,-189721000000.000000,,,,,,2026000000.000000,-628718000000.000000,,,,,,,-816413000000.000000,-2848694000000.000000,,,-1810000000000.000000,,,3683405000000.000000,-4724222000000.000000,,,,,,,-42582000000.000000,,,-3295000000.000000,,,,,,,,,,48000000000.000000,,-2848694000000.000000,,-167507000000.000000,12516644000000.000000,,,12349137000000.000000
12M 2016,2682181000000.000000,,13590661000000.000000,,13590661000000.000000,,605028000000.000000,,-4509652000000.000000,-296128000000.000000,-4805780000000.000000,98810000000.000000,-2991436000000.000000,-2840363000000.000000,,,-3305000000.000000,-3305000000.000000,-768371000000.000000,,,,,,-1602366000000.000000,,-4018262000000.000000,-1389618000000.000000,-43652000000.000000,,,,,4350521000000.000000,,,,,,,4350521000000.000000,234300000000.000000,914375000000.000000,8344000000.000000,,,,,,,37040000000.000000,1306255000000.000000,1343295000000.000000,-203063000000.000000,,2682181000000.000000,-1394563000000.000000,,-710900000000.000000,,,-710900000000.000000,,,,,,687000000.000000,-304215000000.000000,,-380135000000.000000,,,,,-1394563000000.000000,543118000000.000000,1000000000000.000000,,-1135000000000.000000,-6483000000.000000,,3405988000000.000000,-2451777000000.000000,,,,,,,-6082000000.000000,,,-1124000000.000000,,-262404000000.000000,,,,,,,,,,543118000000.000000,,1830736000000.000000,12349137000000.000000,4914000000.000000,,14184787000000.000000
