Period,Total Pendapatan,Pendapatan Pembiayaan Konsumen,Pendapatan Anjak Piutang,Total Pendapatan,Total Beban Usaha,Beban Umum Dan Administrasi,Pembentukan Cadangan Kerugian Penurunan Nilai,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,3683399800.000000,2901104168.000000,782295632.000000,3683399800.000000,-2920990024.000000,-2924563712.000000,3573688.000000,,-2920990024.000000,762409776.000000,8592351656.000000,,8592351656.000000,8592351656.000000,9354761432.000000,-510280503.000000,-515203787.000000,4923284.000000,,-510280503.000000,8844480929.000000,-31177024.000000,8813303905.000000,8844480929.000000,8844480929.000000,,8844480929.000000,8813303905.000000,8813303905.000000,,8813303905.000000
12M 2017,3932945406.000000,2886451390.000000,1046494016.000000,3932945406.000000,-3873741339.000000,-3627170880.000000,-246570459.000000,,-3873741339.000000,59204067.000000,8770308690.000000,,8770308690.000000,8770308690.000000,8829512757.000000,-135865730.000000,-193706125.000000,57840395.000000,,-135865730.000000,8693647027.000000,14001195452.000000,22694842479.000000,8693647027.000000,8693647027.000000,,8693647027.000000,22694842479.000000,22694842479.000000,,22694842479.000000
12M 2018,4165847897.000000,2887472227.000000,1278375670.000000,4165847897.000000,-3959923557.000000,-3977844384.000000,17920827.000000,,-3959923557.000000,205924340.000000,1537467478.000000,,1537467478.000000,1537467478.000000,1743391818.000000,-92706719.000000,-99834373.000000,7127654.000000,,-92706719.000000,1650685099.000000,-8632360778.000000,-6981675679.000000,1650685099.000000,1650685099.000000,,1650685099.000000,-6981675679.000000,-6981675679.000000,,-6981675679.000000
12M 2019,3876173956.000000,2838888890.000000,1037285066.000000,3876173956.000000,-3423971605.000000,-3404603352.000000,-19368253.000000,,-3423971605.000000,452202351.000000,11322456263.000000,,11322456263.000000,11322456263.000000,11774658614.000000,92084059.000000,-110700020.000000,202784079.000000,,92084059.000000,11866742673.000000,5798501112.000000,17665243785.000000,11866742673.000000,11866742673.000000,,11866742673.000000,17665243785.000000,17665243785.000000,,17665243785.000000
12M 2020,2562466026.000000,1139838499.000000,1422627527.000000,2562466026.000000,-4813509628.000000,-3915232979.000000,-898276649.000000,,-4813509628.000000,-2251043602.000000,678018212.000000,,678018212.000000,678018212.000000,-1573025390.000000,313979918.000000,,313979918.000000,,313979918.000000,-1259045472.000000,-29435873433.000000,-30694918905.000000,-1259045472.000000,-1259045472.000000,,-1259045472.000000,-30694918905.000000,-30694918905.000000,,-30694918905.000000
12M 2021,1927919151.000000,1102253768.000000,825665383.000000,1927919151.000000,-6556067674.000000,-5224089280.000000,-1331978394.000000,,-6556067674.000000,-4628148523.000000,407313632.000000,,407313632.000000,407313632.000000,-4220834891.000000,-422745599.000000,,-422745599.000000,,-422745599.000000,-4643580490.000000,-5075219842.000000,-9718800332.000000,-4643580490.000000,-4643580490.000000,,-4643580490.000000,-9718800332.000000,-9718800332.000000,,-9718800332.000000
12M 2022,2068463220.000000,881274067.000000,1187189153.000000,2068463220.000000,-14041465741.000000,-4123865744.000000,-9917599997.000000,,-14041465741.000000,-11973002521.000000,826882080.000000,,826882080.000000,826882080.000000,-11146120441.000000,-154458556.000000,,,-154458556.000000,-154458556.000000,-11300578997.000000,-10160076204.000000,-21460655201.000000,-11300578997.000000,-11300578997.000000,,-11300578997.000000,-21460655201.000000,-21460655201.000000,,-21460655201.000000
12M 2023,1672918103.000000,1672918103.000000,,1672918103.000000,-4786471742.000000,-4793082950.000000,6611208.000000,,-4786471742.000000,-3113553639.000000,,,,,-3113553639.000000,-153700725.000000,,,-153700725.000000,-153700725.000000,-3267254364.000000,-6373323467.000000,-9640577831.000000,-3267254364.000000,-3267254364.000000,,-3267254364.000000,-9640577831.000000,-9640577831.000000,,-9640577831.000000
