Period,Aset,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Pembiayaan Konsumen,Pihak Berelasi,Pihak Ketiga,Total Piutang Pembiayaan Konsumen,Piutang Lain-Lain,Efek Tersedia Untuk Dijual,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Lain-Lain,Utang Usaha,Beban Akrual,Utang Pajak,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,2683708103.000000,31637450000.000000,,796562296.000000,4999666515.000000,5796228811.000000,756869622.000000,,31172415.000000,80485425.000000,20032902403.000000,61018816779.000000,,,101389835.000000,,105249739.000000,273414799.000000,221900699.000000,351586366.000000,1053541438.000000,,33800000000.000000,-202810333.000000,26437879745.000000,2350000000.000000,24087879745.000000,26437879745.000000,,-69794071.000000,59965275341.000000,61018816779.000000,676000000.000000
12M 2017,,2416095980.000000,,,730055247.000000,14626648991.000000,15356704238.000000,694417726.000000,45120800000.000000,97659750.000000,147743127.000000,19970861278.000000,83804282099.000000,,,186670917.000000,,118697299.000000,177094802.000000,225696263.000000,436004998.000000,1144164279.000000,,33800000000.000000,-202810333.000000,35131526772.000000,2400000000.000000,32731526772.000000,35131526772.000000,,13931401381.000000,82660117820.000000,83804282099.000000,676000000.000000
12M 2018,,4612982670.000000,,,2539425940.000000,11043116422.000000,13582542362.000000,467086113.000000,37867250000.000000,176622047.000000,,20043417302.000000,76749900494.000000,,,212407092.000000,,137091354.000000,160273857.000000,82180035.000000,479506015.000000,1071458353.000000,,33800000000.000000,-202810333.000000,36782211871.000000,2450000000.000000,34332211871.000000,36782211871.000000,,5299040603.000000,75678442141.000000,76749900494.000000,676000000.000000
12M 2019,,19211994473.000000,,,127492897.000000,15372506493.000000,15499999390.000000,3875478043.000000,34796300000.000000,121305746.000000,134869043.000000,20993224569.000000,94633171264.000000,,,820924333.000000,,124735802.000000,86922771.000000,,256902432.000000,1289485338.000000,,33800000000.000000,-202810333.000000,48648954544.000000,2450000000.000000,46198954544.000000,48648954544.000000,,11097541715.000000,93343685926.000000,94633171264.000000,676000000.000000
12M 2020,,6563110031.000000,,,10329099045.000000,3528446625.000000,13857545670.000000,3102853892.000000,39051600000.000000,61992466.000000,447792237.000000,19946920741.000000,83031815037.000000,,,243920519.000000,,20437822.000000,23005922.000000,,296492581.000000,583856844.000000,,34363333300.000000,19033047539.000000,47389909072.000000,2450000000.000000,44939909072.000000,47389909072.000000,,-18338331718.000000,82447958193.000000,83031815037.000000,676000000.000000
12M 2021,,16159662034.000000,,,9109914386.000000,3108167295.000000,12218081681.000000,1999670579.000000,22985070000.000000,20036513.000000,,20127122484.000000,73509643291.000000,,,203430569.000000,,16399822.000000,14263978.000000,,546391061.000000,780485430.000000,,33800000000.000000,19596380839.000000,43688714082.000000,2450000000.000000,41238714082.000000,43688714082.000000,,-24355937060.000000,72729157861.000000,73509643291.000000,676000000.000000
12M 2022,,16358797033.000000,,,,10249593896.000000,10249593896.000000,1992912139.000000,12793475000.000000,3027923.000000,,10281567747.000000,51679373738.000000,,,177669331.000000,,1379968.000000,7663286.000000,,224158493.000000,410871078.000000,,33800000000.000000,19596380839.000000,32398735085.000000,2450000000.000000,29948735085.000000,32398735085.000000,,-34526613264.000000,51268502660.000000,51679373738.000000,676000000.000000
12M 2023,,12996170146.000000,,,,9595084304.000000,9595084304.000000,2202042576.000000,6951216000.000000,1284251.000000,,10286311588.000000,42032108865.000000,,,100617993.000000,,47175000.000000,21814318.000000,,234576725.000000,404184036.000000,,33800000000.000000,19596380839.000000,29131480721.000000,2450000000.000000,26681480721.000000,29131480721.000000,,-40899936731.000000,41627924829.000000,42032108865.000000,676000000.000000
