Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pembiayaan Konsumen,Penerimaan Dari Anjak Piutang,Penerimaan Dari Pelanggan,Penerimaan Dari Pembiayaan Investasi,Pembayaran Untuk Pembiayaan Konsumen,Pembayaran Untuk Anjak Piutang,Pembayaran Untuk Pembiayaan Investasi,Pembayaran Untuk Beban Umum Dan Administrasi,Pembayaran Untuk Aktivitas Operasi Lain-Lain,Pembayaran Pajak,Pengembalian Uang Jaminan,Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Investasi,Penjualan Surat Berharga,Pembelian Surat Berharga,Pengeluaran Untuk Perolehan Investasi,Pembayaran Untuk Perolehan Surat Berharga Yang Tidak Diperjualbelikan,Pencairan Deposito,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Peneribitan Modal Saham,Pembayaran Untuk Kegiatan Pendanaan Lainnya,Pembayaran Untuk Perolehan Kepentingan Pihak Non-Pengendali Pada Entitas Anak,Pembayaran Beban Penerbitan Modal Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,2843875573.000000,3667307410.000000,2588104169.000000,,,-2568500000.000000,,,-2726343716.000000,,-518998635.000000,33667560.000000,2368638785.000000,2843875573.000000,-552605000.000000,,,,-540000000.000000,,,-12605000.000000,-552605000.000000,,,,,,,2291270573.000000,392437530.000000,,2683708103.000000
12M 2017,-9415252123.000000,4961883320.000000,22886451390.000000,,,-13484185000.000000,-20000000000.000000,,-3409712025.000000,,-429927422.000000,,60237614.000000,-9415252123.000000,9147640000.000000,33775200000.000000,,,-24534060000.000000,,,-93500000.000000,9147640000.000000,,,,,,,-267612123.000000,2683708103.000000,,2416095980.000000
12M 2018,2303805236.000000,4718361721.000000,23125222223.000000,,,-1680000000.000000,-20000000000.000000,,-3782240380.000000,,-247686968.000000,,170148640.000000,2303805236.000000,-106918546.000000,3825200000.000000,,,-3800000000.000000,,,-132118546.000000,-106918546.000000,,,,,,,2196886690.000000,2416095980.000000,,4612982670.000000
12M 2019,-4878833697.000000,4418966322.000000,22891888890.000000,,222719064.000000,-3344641176.000000,-20000000000.000000,-1620375088.000000,-3929290100.000000,-5699525534.000000,-238787851.000000,,2420211776.000000,-4878833697.000000,19477845500.000000,21066283000.000000,,,-1578937500.000000,,,-9500000.000000,19477845500.000000,,,,,,,14599011803.000000,4612982670.000000,,19211994473.000000
12M 2020,720404378.000000,3938007537.000000,16216738638.000000,,,-1688051955.000000,-14500000000.000000,,-3512290270.000000,,-352809590.000000,,618810018.000000,720404378.000000,-33728614920.000000,,,,-33728614920.000000,,,,-33728614920.000000,20359326100.000000,20843332100.000000,,,-484006000.000000,20359326100.000000,-12648884442.000000,19211994473.000000,,6563110031.000000
12M 2021,-1656199554.000000,2788154195.000000,825665383.000000,,,-616130000.000000,,,-4568740776.000000,,-559994623.000000,,474846267.000000,-1656199554.000000,11252751557.000000,,12829446165.000000,,-1572886588.000000,,,-3808020.000000,11252751557.000000,,,,,,,9596552003.000000,6563110031.000000,,16159662034.000000
12M 2022,-462142901.000000,2783284721.000000,1187189153.000000,,,,,,-4187372545.000000,-501250000.000000,-340151698.000000,,596157468.000000,-462142901.000000,160027900.000000,,160027900.000000,,,,,,160027900.000000,,,,,,,-302115001.000000,16159662034.000000,,15857547033.000000
12M 2023,-2567117611.000000,743100000.000000,122092293.000000,,,,,,-3708137277.000000,,-338188860.000000,,614016233.000000,-2567117611.000000,-795509276.000000,,4116104216.000000,-4911613492.000000,,,,,-795509276.000000,,,,,,,-3362626887.000000,16358797033.000000,,12996170146.000000
