Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Utang Pihak Berelasi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Real Estat,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Bank Jangka Pendek,Utang Pajak,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Sewa Pembiayaan,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Bank Jangka Panjang,Utang Pihak Berelasi,Dana Syirkah Temporer,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,269588634472.000000,24354233073.000000,11496253008.000000,12857980065.000000,24354233073.000000,,,,,376692110414.000000,351716251041.000000,1022351229000.000000,,,,,,,,,,,,,1022351229000.000000,,,76301922484.000000,56999413148.000000,,,56999413148.000000,,4892745513.000000,7671144000.000000,,,7671144000.000000,,2122140050.000000,4616479773.000000,76301922484.000000,677447546579.000000,338700000000.000000,,47546579.000000,338700000000.000000,,677447546579.000000,753749469063.000000,,29998800000.000000,96400000000.000000,135820359937.000000,,,135820359937.000000,,6382600000.000000,268601759937.000000,1022351229000.000000,600.000000
12M 2018,,,858487409278.000000,63094292524.000000,17891538448.000000,45202754076.000000,63094292524.000000,,,,,677756890286.000000,22959521707.000000,1622298113795.000000,,,,,,,,,,,,,1622298113795.000000,,,474616715136.000000,218629410367.000000,,,218629410367.000000,,28247599678.000000,,,,,,454854950.000000,227284850141.000000,474616715136.000000,66668352842.000000,66033000000.000000,,75724979.000000,,559627863.000000,66668352842.000000,541285067978.000000,,320366000000.000000,697662824184.000000,56601621633.000000,,,56601621633.000000,,6382600000.000000,1081013045817.000000,1622298113795.000000,3203660000.000000
12M 2019,,,917292193308.000000,191094464179.000000,17374441623.000000,173720022556.000000,191094464179.000000,166381875000.000000,,,166381875000.000000,882238401148.000000,44658625467.000000,2201665559102.000000,,62478000000.000000,,,,,44025000000.000000,,28783411702.000000,,,135286411702.000000,2336951970804.000000,,,810782041974.000000,489868788332.000000,,,489868788332.000000,90000000000.000000,4212929344.000000,,,,,,3051031838.000000,223649292460.000000,810782041974.000000,259949539276.000000,,258000000000.000000,,,1949539276.000000,259949539276.000000,1070731581250.000000,,323212258600.000000,760849780584.000000,175774747737.000000,,,175774747737.000000,1002633.000000,6382600000.000000,1266220389554.000000,2336951970804.000000,3232122586.000000
12M 2020,,,101488132786.000000,22683370502.000000,10717653925.000000,11965716577.000000,22683370502.000000,605926149810.000000,,,605926149810.000000,1394604480038.000000,160255388106.000000,2284957521242.000000,,62478000000.000000,,,,,1564585565477.000000,,26642858368.000000,,3000000000.000000,1656706423845.000000,3941663945087.000000,,,1679220849324.000000,509043964600.000000,,,509043964600.000000,86000000000.000000,26082532568.000000,157700000000.000000,,,157700000000.000000,,33587049525.000000,866807302631.000000,1679220849324.000000,174519689567.000000,,172000000000.000000,,,2519689567.000000,174519689567.000000,1853740538891.000000,,323212258800.000000,760851027168.000000,89228460113.000000,,,89228460113.000000,970247144650.000000,-55615484535.000000,2087923406196.000000,3941663945087.000000,3232122586.000000
12M 2021,,,153957838342.000000,26893687897.000000,12538381201.000000,14355306696.000000,26893687897.000000,556367310811.000000,,,556367310811.000000,1468863621901.000000,163140474559.000000,2369222933510.000000,,182478000000.000000,,,,,1476496815477.000000,,24238696557.000000,,3000000000.000000,1686213512034.000000,4055436445544.000000,,,1945072622069.000000,519573942640.000000,,,519573942640.000000,86000000000.000000,24919285184.000000,336198380000.000000,,,336198380000.000000,,37579928188.000000,940801086057.000000,1945072622069.000000,87466284239.000000,,86000000000.000000,,,1466284239.000000,87466284239.000000,2032538906308.000000,,323212264000.000000,641302150122.000000,154941455718.000000,,,154941455718.000000,970309603901.000000,-66867934535.000000,2022897539206.000000,4055436445514.000000,3232122586.000000
12M 2022,,,160189801080.000000,11785395569.000000,9097971842.000000,2687423727.000000,11785395569.000000,626927669440.000000,33315214440.000000,593612455000.000000,626927669440.000000,1517071202125.000000,164180932914.000000,2480155001128.000000,,182478000000.000000,,,,,1476449815477.000000,12729900542.000000,12060299218.000000,583178693.000000,105350000000.000000,1789651193930.000000,4269806195058.000000,,,2242419433110.000000,460795492106.000000,,,460795492106.000000,492000000000.000000,14206171060.000000,,306198380000.000000,8426403510.000000,314624783510.000000,,59204775005.000000,901588211429.000000,2242419433110.000000,1390190532.000000,,,,,1390190532.000000,1390190532.000000,2243809623642.000000,,323212264000.000000,641300908338.000000,159562821355.000000,,,159562821355.000000,968788510840.000000,-66867933117.000000,2025996571416.000000,4269806195058.000000,3232122586.000000
12M 2023,,,13921128944.000000,17953547508.000000,7380520971.000000,10573026537.000000,17953547508.000000,741988683848.000000,55522633061.000000,686466050787.000000,741988683848.000000,1415110336429.000000,145900897168.000000,2334874593897.000000,,182478000000.000000,,,,,1476480743312.000000,29368990265.000000,12847814743.000000,,99200000000.000000,1800375548320.000000,4135250142217.000000,,,2082465385622.000000,452371830979.000000,,,452371830979.000000,492000000000.000000,10226151761.000000,,306198380000.000000,8746218235.000000,314944598235.000000,187710171.000000,59199682972.000000,753535411504.000000,2082465385622.000000,1664911720.000000,454774812.000000,,,,1210136908.000000,1664911720.000000,2084130297342.000000,,323212264000.000000,641300908338.000000,185020061849.000000,,,185020061849.000000,968454543805.000000,-66867933117.000000,2051119844875.000000,4135250142217.000000,3232122586.000000
