Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Pendapatan Bersih Ventura Bersama,Laba Kotor Setelah Ventura Bersama,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Final,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,36601826366.000000,-20559857660.000000,16041968706.000000,,16041968706.000000,-4529793377.000000,-1375704215.000000,-2239043503.000000,-915045659.000000,-4529793377.000000,11512175329.000000,-1131815392.000000,239530670.000000,-1371466062.000000,120000.000000,-1131815392.000000,10380359937.000000,,,,,10380359937.000000,,10380359937.000000,,10380359937.000000,10380359937.000000,10380359937.000000,,10380359937.000000,10380359937.000000,10380359937.000000,,10380359937.000000
12M 2018,332645100146.000000,-213596513813.000000,119048586333.000000,,119048586333.000000,-70690122903.000000,-22057443806.000000,-33710605886.000000,-14922073211.000000,-70690122903.000000,48358463430.000000,-2137201734.000000,5597315374.000000,-9410551152.000000,1676034044.000000,-2137201734.000000,46221261696.000000,,,,,46221261696.000000,,46221261696.000000,,46221261696.000000,46221261696.000000,46221261696.000000,,46221261696.000000,46221261696.000000,46221261696.000000,,46221261696.000000
12M 2019,438561853293.000000,-293577707687.000000,144984145606.000000,,144984145606.000000,-54811821462.000000,-35345962005.000000,-13196819851.000000,-6269039606.000000,-54811821462.000000,90172324144.000000,29057123632.000000,45067914067.000000,-15917256942.000000,-93533493.000000,29057123632.000000,119229447776.000000,,,,,119229447776.000000,,119229447776.000000,-56319039.000000,119173128737.000000,119229447776.000000,119229445143.000000,2633.000000,119229447776.000000,119173128737.000000,119173126104.000000,2633.000000,119173128737.000000
12M 2020,128943932680.000000,-101351453812.000000,27592478868.000000,,27592478868.000000,-48808565283.000000,-44314475407.000000,-1301570104.000000,-3192519772.000000,-48808565283.000000,-21216086415.000000,139602522081.000000,54220091723.000000,-28298127117.000000,113680557475.000000,139602522081.000000,118386435666.000000,-19112812180.000000,,,-19112812180.000000,99273623486.000000,,99273623486.000000,1256083044.000000,100529706530.000000,99273623486.000000,85061409893.000000,14212213593.000000,99273623486.000000,100529706530.000000,86317492937.000000,14212213593.000000,100529706530.000000
12M 2021,71126409759.000000,-50269442220.000000,20856967539.000000,,20856967539.000000,-37151237855.000000,-33326278431.000000,-2211697566.000000,-1613261858.000000,-37151237855.000000,-16294270316.000000,101529141971.000000,6126369281.000000,-33074030112.000000,128476802802.000000,101529141971.000000,85234871655.000000,-21240010660.000000,,,-21240010660.000000,63994860995.000000,,63994860995.000000,1778885464.000000,65773746459.000000,63994860995.000000,63934110141.000000,60750854.000000,63994860995.000000,65773746459.000000,65712995605.000000,60750854.000000,65773746459.000000
12M 2022,39804064636.000000,-30449590487.000000,9354474149.000000,,9354474149.000000,-32679129163.000000,-30954418015.000000,-737573518.000000,-987137630.000000,-32679129163.000000,-23324655014.000000,48393368088.000000,25454618901.000000,-35864354657.000000,58803103844.000000,48393368088.000000,25068713074.000000,-13815189740.000000,,,-13815189740.000000,11253523334.000000,,11253523334.000000,308181926.000000,11561705260.000000,11253523334.000000,11771800704.000000,-518277370.000000,11253523334.000000,11561705260.000000,12079982630.000000,-518277370.000000,11561705260.000000
12M 2023,221525651655.000000,-169531129221.000000,51994522434.000000,,51994522434.000000,-36257091190.000000,-30429700409.000000,-139933189.000000,-5687457592.000000,-36257091190.000000,15737431244.000000,12839397301.000000,16684260269.000000,-4318638962.000000,473775994.000000,12839397301.000000,28576828545.000000,-3650919360.000000,,,-3650919360.000000,24925909185.000000,,24925909185.000000,197364274.000000,25123273459.000000,24925909185.000000,25259876220.000000,-333967035.000000,24925909185.000000,25123273459.000000,25457240494.000000,-333967035.000000,25123273459.000000
