Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Kas Operasional Lainnya,Pembayaran Pajak,Penerimaan Bunga,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Pembelian Aset,Perolehan Aset Tetap,Perolehan Properti Investasi,Investasi Pada Entitas Anak,Kas Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Disetor,Pembelian Saham Treasury,Penerimaan Modal Dari Entitas Non Pengendali,Pengeluaran Untuk Pinjaman,Penerimaan/Pembayaran Piutang Pihak Berelasi,Penerimaan/Pembayaran Utang Pihak Berelasi,Pembayaran Utang Bank,Pembayaran Liabilitas Sewa,Pembayaran (Penerimaan) Dana Syirkah,Pembayaran Biaya Emisi,Penerimaan Dari Utang Bank,Penerimaan Dari Lembaga Keuangan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Pemindahan Dana Perusahaan Yang Dibatasi Penggunaannya,Kas Dan Setara Kas Akhir Periode
12M 2017,-246469612108.000000,16864073066.000000,-258519286917.000000,,-3614747717.000000,-67835147.000000,,-1131815393.000000,-246469612108.000000,-338700000000.000000,,,,,-338700000000.000000,-338700000000.000000,854758246580.000000,96400000000.000000,,,,80910700000.000000,47546580.000000,,,338700000000.000000,,,338700000000.000000,854758246580.000000,269588634472.000000,,,,269588634472.000000
12M 2018,97963372222.000000,516573411063.000000,-352934904183.000000,,-58031110119.000000,-3830788761.000000,,-3813235778.000000,97963372222.000000,359409200000.000000,-2615800000.000000,,,,362025000000.000000,359409200000.000000,131526202584.000000,436302200000.000000,,,,,28178400.000000,,,-362025000000.000000,-8812175816.000000,,66033000000.000000,131526202584.000000,588898774806.000000,269588634472.000000,,,858487409278.000000
12M 2019,-184665478442.000000,240544248957.000000,-375486835698.000000,,-47681535888.000000,-28686568094.000000,42562469223.000000,-15917256942.000000,-184665478442.000000,-41976227549.000000,-1700000000.000000,-29277227549.000000,,-10999000000.000000,,-41976227549.000000,285446490021.000000,215000.000000,,,-62478000000.000000,,-75724979.000000,-46000000000.000000,,,,394000000000.000000,,285446490021.000000,58804784030.000000,858487409278.000000,,,917292193308.000000
12M 2020,-165829041793.000000,212678334580.000000,-294260386085.000000,,-98280066998.000000,-11888887896.000000,54220091723.000000,-28298127117.000000,-165829041793.000000,-551210424550.000000,,-275784550.000000,,-550934640000.000000,,-551210424550.000000,-89998753216.000000,1246784.000000,,,,,,-90000000000.000000,,,,,,-89998753216.000000,-807038219559.000000,917292193309.000000,,-8765840964.000000,101488132786.000000
12M 2021,210825595584.000000,119669865130.000000,-14909766443.000000,,147812831652.000000,-14799673924.000000,6126369281.000000,-33074030112.000000,210825595584.000000,-52948182.000000,,-52948182.000000,,,,-52948182.000000,-158302941846.000000,-119548871846.000000,-11252450000.000000,,,178498380000.000000,-120000000000.000000,-86000000000.000000,,,,,,-158302941846.000000,52469705556.000000,101488132786.000000,,,153957838342.000000
12M 2022,-281466460799.000000,54912356964.000000,-305816960383.000000,,,-20152121624.000000,25454618901.000000,-35864354657.000000,-281466460799.000000,-3132040463.000000,,-3132040463.000000,,,,-3132040463.000000,290830464000.000000,,,,,830464000.000000,-30000000000.000000,-172000000000.000000,,,,492000000000.000000,,290830464000.000000,6231962738.000000,153957838342.000000,,,160189801080.000000
12M 2023,-143997302876.000000,67260968031.000000,-213880473818.000000,,,-5643418396.000000,12584260269.000000,-4318638962.000000,-143997302876.000000,-2271369260.000000,,-2271369260.000000,,,,-2271369260.000000,,,,,,,,,,,,,,,-146268672136.000000,160189801080.000000,,,13921128944.000000
