Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Final,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,33282111830.000000,-3602469764.000000,29679642066.000000,-25041919301.000000,,-4298839463.000000,-20743079838.000000,,,-25041919301.000000,4637722765.000000,1125903415.000000,779329346.000000,-5753445.000000,,54625000.000000,,,,297702514.000000,1125903415.000000,5763626180.000000,-698798962.000000,,,-698798962.000000,5064827218.000000,,5064827218.000000,,,5064827218.000000,5064827218.000000,,5064827218.000000,,,,,
12M 2010,40012241112.000000,-3852512774.000000,36159728338.000000,-29202770634.000000,,-5388413952.000000,-23814356682.000000,,,-29202770634.000000,6956957704.000000,1272062312.000000,1174237056.000000,10955729.000000,-32883525.000000,,,,,119753052.000000,1272062312.000000,8229020016.000000,-2203293823.000000,,,-2203293823.000000,6025726193.000000,,6025726193.000000,,,6025726193.000000,6025726193.000000,,6025726193.000000,,,,,
12M 2011,44720287117.000000,-6520443718.000000,38199843399.000000,-31529372280.000000,,-10339931985.000000,-21189440295.000000,,,-31529372280.000000,6670471119.000000,2155248123.000000,2182027031.000000,-110169.000000,-35872932.000000,,,,,9204193.000000,2155248123.000000,8825719242.000000,-2130353300.000000,,,-2130353300.000000,6695365942.000000,,6695365942.000000,,6695365942.000000,6695365942.000000,6695365942.000000,,6695365942.000000,6695365942.000000,6695365942.000000,,,6695365942.000000
12M 2012,47988854744.000000,-7176338337.000000,40812516407.000000,-34075693512.000000,,-11083736891.000000,-22997892602.000000,,5935981.000000,-34075693512.000000,6736822895.000000,2046817613.000000,2082690545.000000,,-35872932.000000,,,,,,2046817613.000000,8783640508.000000,-1953537017.000000,,,-1953537017.000000,6830103491.000000,,6830103491.000000,66800000.000000,6896903491.000000,6830103491.000000,6830103491.000000,,6830103491.000000,6896903491.000000,6896903491.000000,,,6896903491.000000
12M 2013,49356827379.000000,-7348136423.000000,42008690956.000000,-35328759891.000000,,-11812504084.000000,-23542328421.000000,,26072614.000000,-35328759891.000000,6679931065.000000,1844918130.000000,1851688868.000000,,-6770738.000000,,,,,,1844918130.000000,8524849195.000000,-1907044012.000000,,,-1907044012.000000,6617805183.000000,,6617805183.000000,34937500.000000,6652742683.000000,6617805183.000000,6617805183.000000,,6617805183.000000,6652742683.000000,6652742683.000000,,,6652742683.000000
12M 2014,45962078514.000000,-8234155007.000000,37727923507.000000,-35902203632.000000,,-10582220668.000000,-25937140258.000000,,617157294.000000,-35902203632.000000,1825719875.000000,3053351063.000000,3053351063.000000,,,,,,,,3053351063.000000,4879070938.000000,-1859043342.000000,,,-1859043342.000000,3020027596.000000,,3020027596.000000,-128527500.000000,2891500096.000000,3020027596.000000,3026091028.000000,-6063432.000000,3020027596.000000,2891500096.000000,2897563528.000000,-6063432.000000,,2891500096.000000
12M 2015,53385189675.000000,-17202216035.000000,36182973640.000000,-43681617080.000000,,-12047050654.000000,-31742708249.000000,,108141823.000000,-43681617080.000000,-7498643440.000000,4328032923.000000,4328032923.000000,,,,,,,,4328032923.000000,-3170610517.000000,-1167020957.000000,,,-1167020957.000000,-4337631474.000000,,-4337631474.000000,262917259.000000,-4074714215.000000,-4337631474.000000,-4337261883.000000,-369591.000000,-4337631474.000000,-4074714215.000000,-4074344624.000000,-369591.000000,,-4074714215.000000
12M 2016,9649714603.000000,-3326333666.000000,6323380937.000000,-12601551849.000000,,-1050000.000000,-12600501849.000000,,,-12601551849.000000,-6278170912.000000,-68787832.000000,950905384.000000,,-3209589041.000000,2656807984.000000,,,,-466912159.000000,-68787832.000000,-6346958744.000000,-1700191916.000000,,,-1700191916.000000,-8047150660.000000,6748742197.000000,-1298408463.000000,215712040.000000,-1082696423.000000,-1298408463.000000,-1298408738.000000,275.000000,-1298408463.000000,-1082696423.000000,-1082698269.000000,1846.000000,,-1082696423.000000
12M 2017,26755052488.000000,-9230026535.000000,17525025953.000000,-14865855136.000000,,,-14865855136.000000,,,-14865855136.000000,2659170817.000000,-2891301309.000000,277264713.000000,,-3157597591.000000,-2020608.000000,,,,-8947823.000000,-2891301309.000000,-232130492.000000,-825173596.000000,,,-825173596.000000,-1057304088.000000,,-1057304088.000000,284674352.000000,-772629736.000000,-1057304076.000000,-1057313664.000000,9588.000000,-1057304076.000000,-772629724.000000,-772641367.000000,11643.000000,,-772629724.000000
12M 2018,34614253351.000000,-12489497301.000000,22124756050.000000,-14412225935.000000,,,-14412225935.000000,,,-14412225935.000000,7712530115.000000,-14872231478.000000,75842646.000000,,-10364798072.000000,-50124847.000000,,,,-4533151205.000000,-14872231478.000000,-7159701363.000000,-922257726.000000,,,-922257726.000000,-8081959089.000000,,-8081959089.000000,-19617567217.000000,-27699526306.000000,-8081959089.000000,-8081980878.000000,21789.000000,-8081959089.000000,-27699526306.000000,-27699405229.000000,-121077.000000,,-27699526306.000000
