Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,1351074.35,0.00,1351074.35,,,,(18 B),11 B
12M 2010,1.32,201.10,1.32,201.10,0 B,0 B,0 B,(43 B),38 B
12M 2011,1.12,224.51,1.12,224.51,0 B,0 B,0 B,(56 B),46 B
12M 2012,1.04,248.62,1.04,248.62,0 B,,0 B,(63 B),56 B
12M 2013,0.93,271.88,0.93,271.88,,,,(61 B),65 B
12M 2014,0.72,282.01,0.72,282.01,,,,(75 B),70 B
12M 2015,0.74,266.28,0.74,266.28,,,,(75 B),68 B
12M 2016,0.00,267.21,0.00,267.21,58 B,,58 B,41 B,(19 B)
12M 2017,1.39,264.84,1.39,264.84,65 B,26 B,91 B,85 B,(25 B)
12M 2018,1.18,298.95,1.18,298.95,9 B,32 B,41 B,38 B,(17 B)
12M 2019,0.96,232.29,0.96,232.29,,,,(90 B),83 B
12M 2020,0.95,242.50,0.95,242.50,,,,(95 B),85 B
12M 2021,1.57,255.57,1.57,255.57,,,,(102 B),81 B
12M 2022,1.11,288.45,1.11,288.45,,,,(78 B),59 B
12M 2023,0.98,293.07,0.98,293.06,,,,(48 B),27 B
12M 2024,0.91,312.80,0.91,312.80,,,,(49 B),28 B
